#TimeStamp;Runtime;Requests
0.88;1.01;32
1.88;0.55;2
2.93;0.56;2
3.97;0.35;2
5.01;0.33;2
6.05;0.35;3
7.08;0.32;4
8.08;0.08;4
9.08;0.06;5
10.12;0.12;5
11.13;0.04;4
12.27;0.04;3
13.27;0.04;3
14.36;0.03;2
15.4;0.04;4
16.45;0.03;5
17.46;0.02;3
18.47;0.03;4
19.47;0.02;3
20.51;0.07;5
21.51;0.04;1
22.52;0.15;4
23.52;0.23;4
24.52;0.25;5
25.57;0.77;7
26.57;0.16;2
27.57;0.06;4
28.65;0.05;5
29.7;0.09;4
30.74;0.02;2
31.79;0.03;1
32.83;1;2
33.87;1;1
34.92;1.01;1
35.93;1;3
36.94;1;3
37.94;1;5
38.95;1;4
39.99;1.01;6
40.99;1.01;7
42.03;1;4
43.03;0.97;1
44.03;0.19;2
45.11;0.14;2
46.5;0.3;1
47.55;1.02;2
48.83;1.01;1
49.86;0.36;3
50.91;0.23;6
51.94;1;5
52.95;0.48;2
53.98;0.21;2
55.05;0.12;1
56.07;0.12;1
57.07;0.12;2
58.16;0.04;1
59.26;0.04;2
60.31;0.06;1
61.31;0.03;1
62.32;0.07;3
63.37;0.07;3
64.5;0.08;2
65.5;0.03;2
66.5;0.03;4
67.54;0.22;3
68.59;0.18;3
69.62;0.06;3
70.63;0.08;3
71.67;0.04;4
72.67;0.02;4
73.67;0.03;5
74.76;0.1;2
75.81;0.08;2
77.13;0.13;1
78.13;0.12;1
79.15;0.09;1
80.19;0.02;2
84.62;0.05;1
94.81;0.02;1
97.55;0.02;1
99;0.01;1
105.45;0.01;1
112.45;0.01;1
114.66;0.01;1
115.67;0.02;1
116.68;0.02;1
117.68;0.02;1
118.72;0.01;1
119.77;0.02;1
120.81;0.01;1
121.82;0.01;1
122.87;0.01;2
125.04;0.01;1
135.2;0;1
139.95;0;1
142.72;0;1
146.17;0.01;2
153.55;0.01;1
157.84;0.01;1
172.01;0;1
181.25;0;1
186.5;0;1
189.41;0;1
196.47;0;1
198.82;0;1
204.27;0;1
205.32;0;1
207.49;0;2
212.57;0.01;1
213.95;0;1
220.6;0.01;1
232;0.01;1
233.18;0.01;1
234.34;0.01;1
243.09;0.01;1
247.76;0;1
250.28;0.01;1
262.1;0;1
269.47;0;1
270.47;0;1
271.49;0;1
274.54;0.01;1
275.78;0.01;1
278.12;0;1
279.94;0;1
294.53;0;1
298.54;0;1
300.66;0.01;1
301.7;0.02;1
