#TimeStamp;Bot;Pod;InputStation;TurnoverTime;ThroughputTime
63.18;3;353;3;63.18;63.14
65.37;22;378;1;65.32;64.48
73.34;3;353;3;73.34;73.29
75.41;22;378;1;75.37;74.53
83.38;3;353;3;83.38;83.34
85.45;22;378;1;85.41;84.57
91.67;12;321;0;91.67;91.62
93.39;3;353;3;93.39;93.34
95.48;22;378;1;95.44;94.6
98;15;439;2;95.4;95.02
101.67;12;321;0;101.67;101.62
103.43;3;353;3;103.43;103.39
105.52;22;378;1;105.48;104.64
108.11;15;439;2;105.51;105.13
111.67;12;321;0;111.67;111.62
113.48;3;353;3;113.48;113.43
115.53;22;378;1;115.49;114.65
118.15;15;439;2;115.55;115.18
121.71;12;321;0;121.71;121.67
123.52;3;353;3;123.52;123.48
125.58;22;378;1;125.53;124.69
128.18;15;439;2;125.59;125.21
131.76;12;321;0;131.76;131.71
133.56;3;353;3;133.56;133.52
135.62;22;378;1;135.58;134.74
138.23;15;439;2;135.63;135.26
141.8;12;321;0;141.8;141.76
143.6;3;353;3;143.6;143.56
145.66;22;378;1;145.62;144.78
148.27;15;439;2;145.67;145.3
151.83;12;321;0;151.83;151.78
153.61;3;353;3;153.61;153.56
155.71;22;378;1;155.66;154.82
158.32;15;439;2;155.72;155.34
161.87;12;321;0;161.87;161.83
163.65;3;353;3;163.65;163.61
165.75;22;378;1;165.71;164.87
168.36;15;439;2;165.76;165.39
171.92;12;321;0;171.92;171.87
173.7;3;353;3;173.7;173.65
175.77;22;378;1;175.73;174.89
178.41;15;439;2;175.81;175.43
181.96;12;321;0;181.96;181.92
183.72;3;353;3;183.72;183.67
185.8;22;378;1;185.76;184.92
188.45;15;439;2;185.85;185.48
192;12;321;0;192;191.96
193.76;3;353;3;193.76;193.72
195.85;22;378;1;195.8;194.96
198.5;15;439;2;195.9;195.52
202.05;12;321;0;202.05;202
203.77;3;353;3;203.77;203.72
205.89;22;378;1;205.85;205.01
208.54;15;439;2;205.94;205.57
212.08;12;321;0;212.08;212.04
213.81;3;353;3;213.81;213.77
215.93;22;378;1;215.88;215.04
218.58;15;439;2;215.99;215.61
222.13;12;321;0;222.13;222.08
223.82;3;353;3;223.82;223.78
225.97;22;378;1;225.93;225.09
228.63;15;439;2;226.03;225.66
232.15;12;321;0;232.15;232.11
233.86;3;353;3;233.86;233.82
236.02;22;378;1;235.97;235.13
238.65;15;439;2;236.05;235.68
242.16;12;321;0;242.16;242.11
243.91;3;353;3;243.91;243.86
246.06;22;378;1;246.02;245.18
248.69;15;439;2;246.09;245.72
252.16;12;321;0;252.16;252.12
253.93;3;353;3;253.93;253.89
256.11;22;378;1;256.06;255.22
258.7;15;439;2;256.1;255.73
262.2;12;321;0;262.2;262.16
263.98;3;353;3;263.98;263.93
266.11;22;378;1;266.07;265.23
268.75;15;439;2;266.15;265.77
272.25;12;321;0;272.25;272.2
274.02;3;353;3;274.02;273.98
276.16;22;378;1;276.11;275.27
278.79;15;439;2;276.19;275.82
282.29;12;321;0;282.29;282.25
284.07;3;353;3;284.07;284.02
286.17;22;378;1;286.12;285.28
288.84;15;439;2;286.24;285.86
292.34;12;321;0;292.34;292.29
294.09;3;353;3;294.09;294.05
296.21;22;378;1;296.17;295.33
298.88;15;439;2;296.28;295.91
302.38;12;321;0;302.38;302.34
304.13;3;353;3;304.13;304.09
306.25;22;378;1;306.21;305.37
308.93;15;439;2;306.33;305.95
312.43;12;321;0;312.43;312.38
314.18;3;353;3;314.18;314.13
316.29;22;378;1;316.25;315.41
318.96;15;439;2;316.36;315.99
322.46;12;321;0;322.46;322.41
324.22;3;353;3;324.22;324.18
326.34;22;378;1;326.29;325.45
329.01;15;439;2;326.41;326.03
332.5;12;321;0;332.5;332.46
334.27;3;353;3;334.27;334.22
336.38;22;378;1;336.34;335.5
339.01;15;439;2;336.41;336.03
342.51;12;321;0;342.51;342.46
344.31;3;353;3;344.31;344.27
346.43;22;378;1;346.38;345.54
349.05;15;439;2;346.45;346.08
352.55;12;321;0;352.55;352.51
354.34;3;353;3;354.34;354.29
356.45;22;378;1;356.41;355.57
359.07;15;439;2;356.47;356.1
362.59;12;321;0;362.59;362.55
364.38;3;353;3;364.38;364.34
366.47;22;378;1;366.43;365.59
369.12;15;439;2;366.52;366.14
372.64;12;321;0;372.64;372.59
374.42;3;353;3;374.42;374.38
376.47;22;378;1;376.43;375.59
379.16;15;439;2;376.56;376.19
382.68;12;321;0;382.68;382.64
384.43;3;353;3;384.43;384.38
392.54;23;239;1;390.99;390.61
392.68;12;321;0;392.68;392.64
396.02;31;228;2;395.13;394.67
400.47;6;184;3;400.47;400.43
402.59;23;239;1;401.03;400.66
402.73;12;321;0;402.73;402.68
406.03;31;228;2;405.15;404.68
410.5;6;184;3;410.5;410.46
412.59;23;239;1;411.04;410.66
412.74;12;321;0;412.74;412.7
416.06;31;228;2;415.18;414.71
420.55;6;184;3;420.55;420.5
422.59;23;239;1;421.04;420.66
426.1;31;228;2;425.22;424.76
428.97;18;350;0;428.09;427.63
430.59;6;184;3;430.59;430.55
432.64;23;239;1;431.08;430.71
436.15;31;228;2;435.26;434.8
439.02;18;350;0;438.13;437.67
440.62;6;184;3;440.62;440.58
442.68;23;239;1;441.13;440.75
446.19;31;228;2;445.3;444.84
449.02;18;350;0;448.14;447.67
450.66;6;184;3;450.66;450.62
452.73;23;239;1;451.17;450.8
456.19;31;228;2;455.31;454.84
459.06;18;350;0;458.17;457.71
460.69;6;184;3;460.69;460.64
462.77;23;239;1;461.22;460.84
466.21;31;228;2;465.32;464.86
469.1;18;350;0;468.22;467.75
470.73;6;184;3;470.73;470.69
472.82;23;239;1;471.26;470.89
476.25;31;228;2;475.37;474.9
479.15;18;350;0;478.26;477.8
480.75;6;184;3;480.75;480.7
482.86;23;239;1;481.51;480.93
486.3;31;228;2;485.41;484.95
489.19;18;350;0;488.31;487.84
490.78;6;184;3;490.78;490.74
492.87;23;239;1;491.52;490.94
496.34;31;228;2;495.46;494.99
499.23;18;350;0;498.35;497.89
500.83;6;184;3;500.83;500.78
502.91;23;239;1;501.56;500.98
506.39;31;228;2;505.5;505.04
509.23;18;350;0;508.35;507.89
510.87;6;184;3;510.87;510.83
512.96;23;239;1;511.61;511.03
516.43;31;228;2;515.55;515.08
519.28;18;350;0;518.39;517.93
520.87;6;184;3;520.87;520.83
522.99;23;239;1;521.64;521.06
526.47;31;228;2;525.59;525.13
529.29;18;350;0;528.4;527.94
530.91;6;184;3;530.91;530.86
533.02;23;239;1;531.67;531.09
536.52;31;228;2;535.63;535.17
539.29;18;350;0;538.41;537.95
540.94;6;184;3;540.94;540.9
543.04;23;239;1;541.7;541.12
546.56;31;228;2;546.52;545.21
549.34;18;350;0;548.45;547.99
550.99;6;184;3;550.99;550.94
553.09;23;239;1;551.74;551.16
556.61;31;228;2;556.56;555.26
559.38;18;350;0;558.5;558.03
561.03;6;184;3;561.03;560.99
563.13;23;239;1;561.78;561.2
566.65;31;228;2;566.61;565.3
569.43;18;350;0;568.54;568.08
571.04;6;184;3;571.04;571
573.18;23;239;1;571.83;571.25
576.7;31;228;2;576.65;575.35
579.47;18;350;0;578.59;578.12
581.07;6;184;3;581.07;581.03
583.22;23;239;1;581.67;581.29
586.72;31;228;2;586.68;585.37
589.52;18;350;0;588.63;588.17
591.07;6;184;3;591.07;591.03
593.27;23;239;1;591.71;591.34
596.73;31;228;2;595.84;595.38
599.56;18;350;0;598.68;598.21
601.12;6;184;3;601.12;601.07
603.31;23;239;1;601.76;601.38
606.77;31;228;2;605.89;605.42
609.6;18;350;0;608.71;608.25
611.16;6;184;3;611.16;611.12
613.36;23;239;1;611.8;611.43
616.82;31;228;2;615.93;615.47
619.64;18;350;0;618.76;618.29
621.21;6;184;3;621.21;621.16
623.4;23;239;1;621.85;621.47
626.86;31;228;2;625.98;625.51
629.68;18;350;0;628.8;628.34
631.25;6;184;3;631.25;631.21
633.44;23;239;1;631.89;631.52
636.9;31;228;2;636.02;635.55
639.73;18;350;0;638.84;638.38
641.3;6;184;3;641.3;641.25
643.49;23;239;1;641.94;641.56
646.92;31;228;2;646.04;645.57
649.77;18;350;0;648.89;648.42
651.34;6;184;3;651.34;651.3
653.53;23;239;1;651.98;651.6
656.96;31;228;2;656.08;655.62
659.82;18;350;0;658.93;658.47
661.37;6;184;3;661.37;661.33
663.58;23;239;1;662.02;661.65
667.01;31;228;2;666.12;665.66
669.86;18;350;0;668.98;668.51
671.42;6;184;3;671.42;671.37
673.6;23;239;1;672.05;671.67
677.05;31;228;2;676.17;675.7
679.91;18;350;0;679.02;678.56
681.46;6;184;3;681.46;681.42
683.64;23;239;1;682.09;681.71
687.1;31;228;2;686.21;685.75
689.95;18;350;0;689.07;688.6
691.51;6;184;3;691.51;691.46
697.12;31;228;2;696.24;695.78
699.68;22;31;1;698.33;698.13
699.99;18;350;0;699.11;698.64
701.55;6;184;3;701.55;701.51
709.77;22;31;1;708.42;708.22
710.03;18;350;0;709.14;708.68
711.6;6;184;3;711.6;711.55
714.05;20;527;2;713.16;712.7
719.82;22;31;1;718.47;718.26
720.07;18;350;0;719.19;718.72
724.09;20;527;2;723.21;722.74
