#TimeStamp;Bot;Pod;OutputStation
35.24;11;433;1
36.59;29;70;3
41.13;25;373;0
45.28;11;433;1
51.18;19;97;0
51.38;10;482;2
53.98;5;73;3
55.33;11;433;1
61.22;19;97;0
61.44;10;482;2
64.03;5;73;3
65.45;11;433;1
71.27;19;97;0
71.52;10;482;2
74.11;5;73;3
75.5;11;433;1
81.54;19;97;0
81.62;10;482;2
84.37;5;73;3
86.26;2;135;1
91.65;19;97;0
91.69;10;482;2
94.62;5;73;3
96.31;2;135;1
101.69;14;303;0
101.79;10;482;2
104.69;7;406;3
106.46;2;135;1
111.74;14;303;0
111.83;10;482;2
114.78;7;406;3
116.56;2;135;1
121.87;14;303;0
121.92;30;427;2
124.83;7;406;3
126.77;2;135;1
131.92;14;303;0
131.96;30;427;2
134.92;7;406;3
136.91;26;13;1
141.96;14;303;0
142.13;30;427;2
144.97;7;406;3
147.33;26;13;1
152.01;14;303;0
152.45;30;427;2
155.01;7;406;3
157.61;26;13;1
162.07;4;265;0
162.74;30;427;2
165.06;7;406;3
168.06;26;13;1
172.19;4;265;0
173.16;8;141;2
175.2;29;459;3
178.19;26;13;1
182.48;4;265;0
183.24;8;141;2
185.35;29;459;3
188.24;24;170;1
192.74;4;265;0
193.28;8;141;2
195.74;29;459;3
198.28;24;170;1
203.07;4;265;0
203.38;8;141;2
205.78;29;459;3
208.56;24;170;1
213.38;4;265;0
213.69;8;141;2
215.85;29;459;3
218.78;24;170;1
223.72;27;334;0
223.96;28;87;2
225.89;16;347;3
228.91;24;170;1
233.91;27;334;0
234.26;28;87;2
235.94;16;347;3
238.96;24;170;1
243.97;27;334;0
244.58;28;87;2
245.99;16;347;3
249;24;170;1
254.01;27;334;0
254.83;28;87;2
256.04;16;347;3
259.06;0;498;1
264.09;27;334;0
265.25;28;87;2
266.08;16;347;3
269.1;0;498;1
274.14;27;334;0
275.48;28;87;2
276.13;16;347;3
279.15;0;498;1
284.23;1;84;0
285.57;28;87;2
286.17;16;347;3
289.19;0;498;1
294.46;1;84;0
295.62;21;398;2
296.22;16;347;3
299.27;11;76;1
304.56;1;84;0
305.76;21;398;2
306.27;16;347;3
309.73;11;76;1
314.6;1;84;0
315.83;21;398;2
316.69;9;267;3
320.15;11;76;1
324.84;1;84;0
325.91;21;398;2
327.13;9;267;3
330.33;26;388;1
335.26;1;84;0
335.95;21;398;2
337.54;9;267;3
340.54;26;388;1
345.64;19;213;0
346.13;21;398;2
347.96;9;267;3
350.75;26;388;1
356.04;19;213;0
356.4;10;502;2
358.38;7;381;3
360.99;26;388;1
366.15;19;213;0
366.44;10;502;2
368.83;7;381;3
371.03;26;388;1
376.44;19;213;0
376.49;10;502;2
378.93;7;381;3
381.08;26;388;1
386.49;14;509;0
386.53;10;502;2
389.35;7;381;3
391.12;2;207;1
396.53;14;509;0
396.58;10;502;2
399.58;7;381;3
401.2;2;207;1
406.58;14;509;0
406.74;10;502;2
409.62;7;381;3
411.4;2;207;1
416.74;14;509;0
417.04;10;502;2
419.74;5;51;3
421.82;2;207;1
427.05;14;509;0
427.1;10;502;2
429.89;29;223;3
432.24;2;207;1
437.12;25;172;0
438.39;30;333;2
439.93;29;223;3
442.55;0;7;1
447.19;25;172;0
448.59;30;333;2
450;29;223;3
452.98;0;7;1
457.24;25;172;0
458.68;30;333;2
460.09;29;223;3
463.07;0;7;1
467.53;25;172;0
468.89;30;333;2
470.36;29;223;3
473.11;0;7;1
477.95;4;130;0
478.94;30;333;2
480.64;16;204;3
483.18;0;7;1
488.31;4;130;0
488.98;30;333;2
490.9;16;204;3
493.22;0;7;1
498.74;4;130;0
499.05;30;333;2
501.04;16;204;3
503.27;0;7;1
508.91;4;130;0
509.1;30;333;2
511.11;9;202;3
513.72;0;7;1
519.1;4;130;0
519.14;28;278;2
521.25;9;202;3
524.14;24;179;1
529.14;4;130;0
529.2;28;278;2
531.29;9;202;3
534.2;24;179;1
539.2;4;130;0
539.36;28;278;2
541.33;9;202;3
544.33;24;179;1
549.36;4;130;0
549.7;28;278;2
551.38;9;202;3
554.38;24;179;1
559.7;19;484;0
560.11;21;263;2
561.42;9;202;3
564.42;24;179;1
570;19;484;0
570.16;21;263;2
571.47;7;330;3
574.47;24;179;1
580.16;19;484;0
580.2;21;263;2
581.51;7;330;3
584.51;24;179;1
590.2;19;484;0
590.25;21;263;2
591.56;7;330;3
594.6;24;179;1
600.25;19;484;0
600.29;21;263;2
601.6;7;330;3
604.64;24;179;1
610.29;19;484;0
610.34;21;263;2
611.65;7;330;3
614.69;26;186;1
620.35;1;533;0
620.4;8;40;2
621.69;5;116;3
624.74;26;186;1
630.4;1;533;0
630.44;8;40;2
631.73;5;116;3
634.84;26;186;1
640.44;1;533;0
640.49;8;40;2
641.78;5;116;3
644.91;26;186;1
650.49;27;313;0
650.53;8;40;2
651.84;29;260;3
655.35;11;402;1
660.53;27;313;0
660.57;8;40;2
662.26;29;260;3
665.52;11;402;1
670.57;27;313;0
670.62;10;357;2
672.68;29;260;3
675.69;11;402;1
680.63;27;313;0
680.68;10;357;2
682.73;29;260;3
685.73;11;402;1
690.7;25;53;0
691;10;357;2
692.98;29;260;3
695.95;2;232;1
701;25;53;0
701.2;10;357;2
703.02;29;260;3
706.02;2;232;1
711.24;25;53;0
711.65;10;357;2
713.36;29;260;3
716.35;2;232;1
721.39;25;53;0
721.86;10;357;2
723.78;29;260;3
726.56;2;232;1
731.81;14;539;0
732.11;10;357;2
734.06;16;469;3
736.95;2;232;1
741.9;14;539;0
742.15;30;428;2
744.12;16;469;3
747.1;2;232;1
751.94;14;539;0
754.48;21;497;2
754.48;16;469;3
757.14;0;471;1
761.99;14;539;0
764.71;21;497;2
764.71;16;469;3
767.27;0;471;1
772.2;14;539;0
774.78;21;497;2
774.78;16;469;3
777.4;24;150;1
782.52;14;539;0
785.01;21;497;2
785.01;16;469;3
787.63;24;150;1
792.7;4;429;0
795.13;21;497;2
795.13;7;108;3
798.07;24;150;1
802.78;4;429;0
805.29;28;512;2
805.29;7;108;3
808.11;26;519;1
813.2;4;429;0
815.71;28;512;2
815.71;9;427;3
818.22;26;519;1
823.54;4;429;0
826.13;28;512;2
826.13;9;427;3
828.39;26;519;1
833.63;4;429;0
836.55;8;347;2
836.55;9;427;3
838.43;26;519;1
843.72;4;429;0
846.72;8;347;2
846.72;5;388;3
848.63;26;519;1
853.8;4;429;0
856.8;8;347;2
856.8;5;388;3
858.83;26;519;1
863.89;19;386;0
866.85;8;347;2
866.85;5;388;3
868.93;26;519;1
874.01;19;386;0
876.91;10;341;2
876.91;5;388;3
878.98;11;43;1
884.45;19;386;0
887.18;10;341;2
887.18;29;235;3
889.02;11;43;1
894.7;1;334;0
897.23;10;341;2
897.23;29;235;3
899.07;11;43;1
904.74;1;334;0
907.27;10;341;2
907.27;29;235;3
909.11;11;43;1
914.79;1;334;0
917.32;30;133;2
917.32;29;235;3
919.17;11;43;1
924.83;27;134;0
927.4;30;133;2
927.4;7;90;3
929.35;11;43;1
934.88;27;134;0
937.44;30;133;2
937.44;7;90;3
939.77;11;43;1
944.92;27;134;0
947.49;30;133;2
947.49;7;90;3
949.81;11;43;1
954.96;27;134;0
957.57;30;133;2
957.57;7;90;3
960.04;11;43;1
965.01;14;7;0
967.61;21;258;2
967.61;7;90;3
970.23;11;43;1
975.05;14;7;0
977.73;21;258;2
977.73;7;90;3
980.65;11;43;1
985.1;25;171;0
987.96;21;258;2
987.96;16;273;3
990.96;11;43;1
995.19;25;171;0
998.18;28;312;2
998.18;16;273;3
1001.01;2;352;1
1005.61;25;171;0
1008.23;8;162;2
1008.23;16;273;3
1011.23;2;352;1
1016.03;4;181;0
1018.39;8;162;2
1019.57;9;495;3
1021.31;0;398;1
1026.18;4;181;0
1028.44;8;162;2
1029.68;9;495;3
1031.44;0;398;1
1036.27;4;181;0
1038.5;10;229;2
1040.1;9;495;3
1041.52;0;398;1
1046.36;19;536;0
1048.73;10;229;2
1050.16;9;495;3
1051.74;24;131;1
1056.46;19;536;0
1058.78;10;229;2
1060.21;9;495;3
1061.82;24;131;1
1066.72;19;536;0
1068.82;10;229;2
1070.47;9;495;3
1071.86;24;131;1
1076.97;19;536;0
1078.92;10;229;2
1080.62;9;495;3
1081.94;24;131;1
1087.39;19;536;0
1089.15;30;27;2
1090.77;5;472;3
1091.98;26;168;1
1097.76;1;135;0
1099.33;30;27;2
1101.07;5;472;3
1102.03;26;168;1
1107.86;1;135;0
1109.55;30;27;2
1111.19;5;472;3
1112.21;26;168;1
1117.99;1;135;0
1119.98;30;27;2
1121.42;5;472;3
1122.47;26;168;1
1128.04;1;135;0
1130.02;30;27;2
1131.61;29;141;3
1132.7;2;4;1
1138.44;27;245;0
1140.44;30;27;2
1142.03;29;141;3
1142.83;2;4;1
1148.5;27;245;0
1150.52;30;27;2
1152.12;29;141;3
1153.25;2;4;1
1158.92;27;245;0
1160.89;30;27;2
1162.2;7;313;3
1163.67;2;4;1
1169.13;27;245;0
1171.18;30;27;2
1172.24;7;313;3
1174.09;2;4;1
1179.37;27;245;0
1181.41;28;51;2
1182.29;16;365;3
1184.27;2;4;1
1189.42;27;245;0
1192.33;16;365;3
1194.32;2;4;1
1196.75;21;376;2
1199.47;27;245;0
1202.38;16;365;3
1204.37;11;43;1
1207.19;21;376;2
1209.51;27;245;0
1212.42;16;365;3
1214.69;11;43;1
1217.65;8;242;2
1221.13;14;205;0
1222.51;9;388;3
1224.79;0;159;1
1227.75;8;242;2
1231.46;14;205;0
1232.61;9;388;3
1234.93;0;159;1
1237.79;8;242;2
1241.82;14;205;0
1242.75;9;388;3
1246.64;24;347;1
1247.83;8;242;2
1252.17;14;205;0
1253.99;5;108;3
1256.68;24;347;1
1257.99;8;242;2
1262.52;14;205;0
1264.21;5;108;3
1267.05;24;347;1
1268.21;10;40;2
1272.64;4;148;0
1274.63;5;108;3
1277.27;26;126;1
1278.31;10;40;2
1282.69;4;148;0
1284.73;7;100;3
1287.61;26;126;1
1288.51;21;540;2
1292.76;4;148;0
1295.1;7;100;3
1297.89;26;126;1
1298.56;21;540;2
1302.81;19;69;0
1305.33;7;100;3
1307.99;26;126;1
1308.61;21;540;2
1312.85;19;69;0
1315.42;7;100;3
1318.27;26;126;1
1318.68;21;540;2
1322.9;19;69;0
1325.46;29;297;3
1328.32;26;126;1
1328.77;21;540;2
1332.94;25;355;0
1335.51;29;297;3
1338.54;26;126;1
1339.01;30;324;2
1343.39;25;355;0
1345.59;29;297;3
1348.58;26;126;1
1349.05;30;324;2
1353.43;25;355;0
1355.66;29;297;3
1358.66;2;283;1
1359.31;30;324;2
1363.89;25;355;0
1365.73;29;297;3
1368.73;2;283;1
1369.37;30;324;2
1374.05;25;355;0
1375.77;29;297;3
1378.78;2;283;1
1379.59;30;324;2
1384.09;25;355;0
1385.84;29;297;3
1388.83;2;283;1
1389.63;30;324;2
1394.47;1;478;0
1396.18;29;297;3
1399.21;2;283;1
1399.68;30;324;2
1404.88;1;478;0
1406.3;29;297;3
1409.29;2;283;1
1409.76;28;233;2
1414.98;1;478;0
1416.37;16;9;3
1419.37;2;283;1
1420.18;28;233;2
1425.2;1;478;0
1426.46;16;9;3
1430.09;11;543;1
1430.6;8;179;2
1435.25;1;478;0
1436.54;16;9;3
1440.29;11;543;1
1440.67;8;179;2
1445.7;1;478;0
1446.59;16;9;3
1450.35;11;543;1
1450.87;8;179;2
1455.76;1;478;0
1456.63;16;9;3
1460.51;11;543;1
1461.29;8;179;2
1465.81;1;478;0
1466.68;9;227;3
1470.58;11;543;1
1471.64;10;301;2
1475.9;4;266;0
1476.72;9;227;3
1480.68;0;279;1
1481.72;10;301;2
1486.2;4;266;0
1486.76;9;227;3
1490.83;0;279;1
1491.76;10;301;2
1496.25;27;295;0
1496.82;9;227;3
1500.91;0;279;1
1501.83;10;301;2
1506.41;27;295;0
1507.14;5;354;3
1511.21;0;279;1
1512.24;10;301;2
1516.48;27;295;0
1517.39;5;354;3
1521.39;0;279;1
1522.29;21;43;2
1526.52;27;295;0
1527.43;5;354;3
1531.45;24;246;1
1535.07;30;461;2
1536.88;27;295;0
1537.85;5;354;3
1541.53;24;246;1
1545.18;30;461;2
1546.93;27;295;0
1548.05;7;190;3
1551.86;24;246;1
1555.37;30;461;2
1556.97;14;124;0
1558.18;7;190;3
1562.28;24;246;1
1565.67;30;461;2
1567.02;14;124;0
1568.49;7;190;3
1572.4;26;87;1
1576.09;30;461;2
1577.06;19;155;0
1578.91;7;190;3
1582.85;26;87;1
1586.26;30;461;2
1587.11;19;155;0
1588.99;7;190;3
1592.92;26;87;1
1596.37;28;133;2
1597.15;19;155;0
1599.08;7;190;3
1602.98;26;87;1
1606.44;28;133;2
1607.2;19;155;0
1609.13;7;190;3
1613.02;2;147;1
1616.48;28;133;2
1617.24;19;155;0
1619.17;29;55;3
1623.07;2;147;1
1626.63;28;133;2
1627.39;19;155;0
1629.48;29;55;3
1633.11;2;147;1
1636.73;28;133;2
1637.81;25;234;0
1639.73;29;55;3
1643.16;2;147;1
1646.97;28;133;2
1648.23;25;234;0
1649.78;29;55;3
1653.22;11;341;1
1657.02;28;133;2
1658.65;25;234;0
1659.82;16;209;3
1663.29;24;115;1
1667.06;8;502;2
1668.89;25;234;0
1669.91;16;209;3
1673.71;24;115;1
1677.2;8;502;2
1678.99;25;234;0
1680.15;16;209;3
1683.8;24;115;1
1687.24;8;502;2
1689.22;25;234;0
1690.27;16;209;3
1693.84;24;115;1
1697.28;10;221;2
1699.31;25;234;0
1700.31;16;209;3
1704.01;0;335;1
1707.33;10;221;2
1709.36;25;234;0
1710.39;16;209;3
1714.07;0;335;1
1717.37;10;221;2
1719.41;25;234;0
1720.46;9;204;3
1724.2;0;335;1
