#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/32,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.96;3;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/19,Rest/1
119.67;18;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
179.88;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/13,Rest/6
239.98;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
299.7;16;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
359.98;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
419.88;8;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
479.81;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
539.98;16;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
599.98;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
659.96;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
719.77;12;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/15,Rest/4
779.67;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
839.75;14;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/16,Rest/4
899.96;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/17,Rest/1
959.87;18;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
1019.89;12;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/14,Rest/3
1079.98;8;None/0,ParkPod/7,RepositionPod/0,Insert/11,Extract/14,Rest/0
1139.99;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
1199.91;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
1259.58;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/13,Rest/4
1319.99;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/17,Rest/1
1379.9;14;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/19,Rest/1
