#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
45.64;1;45.64;45.64;-1754.36
46.72;3;46.72;46.72;-7153.28
53.79;0;53.79;53.79;-1746.21
55.7;1;55.7;55.7;-1744.3
61.5;2;61.5;61.5;-7138.5
63.95;0;63.95;18.24;-7136.05
64.46;3;64.46;64.46;-7135.54
65.93;1;65.93;20.23;-7134.07
71.57;2;71.57;71.57;-7128.43
74.03;0;74.03;20.12;-7125.97
74.39;3;74.39;74.39;-7125.61
76.05;1;76.05;30.34;-7123.95
81.65;2;81.65;27.74;-7118.35
84.12;0;84.12;20.12;-7115.88
84.47;3;84.47;84.47;-7115.53
86.15;1;86.15;30.39;-7113.85
91.91;2;91.91;91.91;-1708.09
94.09;0;94.09;20.02;-7105.91
94.63;3;94.63;47.87;-7105.37
96.28;1;96.28;30.3;-7103.72
101.96;2;101.96;20.08;-7098.04
104.32;0;104.32;104.32;-1695.68
104.41;3;104.41;50.5;-7095.59
106.26;1;106.26;30.16;-7093.74
112.04;2;112.04;30.16;-7087.96
114.37;0;114.37;20.17;-7085.63
114.87;3;114.87;114.87;-7085.13
116.13;1;116.13;29.93;-7083.87
122.08;2;122.08;122.08;-7077.92
124.48;0;124.48;30.28;-7075.52
124.96;3;124.96;124.96;-7075.04
126.67;1;126.67;126.67;-1673.33
132.41;2;132.41;132.41;-7067.59
134.62;0;134.62;134.62;-1665.38
135.08;3;135.08;135.08;-7064.92
136.59;1;136.59;136.59;-1663.41
142.52;2;142.52;142.52;-7057.48
144.67;0;144.67;144.67;-1655.33
145.04;3;145.04;40.67;-7054.96
146.97;1;146.97;40.6;-1653.03
152.33;2;152.33;40.34;-7047.67
155.17;0;155.17;155.17;-1644.83
155.22;3;155.22;50.4;-7044.78
157.61;1;157.61;42.83;-7042.39
162.98;2;88.91;50.9;-7111.09
165.22;0;109.45;40.44;-7090.55
165.26;3;165.26;165.26;-7034.74
167.66;1;167.66;51.2;-7032.34
172.86;2;172.86;172.86;-7027.14
