#TimeStamp;DistanceTraveled
59.96;1316.52
119.93;836.15
179.65;188.83
239.96;184.21
299.75;366.71
359.97;310.99
419.96;553.78
479.97;485.34
539.9;353.38
599.92;334.07
659.89;477.08
719.97;392.68
779.98;602.76
839.99;689.12
899.69;483.79
959.96;452.42
1019.76;531.92
1079.68;561.86
1139.89;493.74
1199.89;323.54
1259.97;472.78
1319.88;430.59
1379.89;574.09
1439.88;523.36
1499.87;402.21
1559.73;496.64
1619.99;443.68
1679.95;572.24
1740;637.03
1799.8;406.44
1859.97;402.06
1919.95;521.7
1979.89;600.12
2039.93;562.98
2099.83;459.06
2159.99;375.81
2219.9;561.3
2279.65;587.97
2339.77;646.72
2399.96;479.4
2459.98;389.1
2519.72;499.06
2579.7;579.15
2639.73;648.2
2699.84;555.73
2759.97;419.6
2819.83;570.7
2879.96;526.84
2939.91;615.79
2999.94;535.73
3059.88;528.5
3119.88;473.82
3179.98;620.24
3239.91;561.43
3299.75;547.07
3359.98;371.39
3419.7;391.14
3479.98;478.74
3539.96;609.69
3599.84;561.27
3659.75;422.41
3719.92;581.31
3779.86;572.67
3839.69;639.77
3899.96;461.89
3959.83;332.51
4019.88;570.22
4079.74;752.98
4139.73;551.06
4199.95;337.35
4259.96;465.93
4319.98;602.02
4379.77;559.73
4439.9;628.9
4499.72;518.28
4559.93;436.03
4619.96;485.61
4679.99;709.31
4739.69;579.98
4799.99;501.06
4859.89;517.55
4919.92;571.32
4979.97;724.82
5039.97;660.92
5099.94;503.95
5159.97;499.06
5219.94;579.69
5279.9;630.87
5339.87;508.88
5399.92;443.92
5459.99;555.45
5519.99;647.98
5580;521.93
5639.92;654.45
5699.99;670.51
5759.81;605.41
5819.92;544.56
5879.85;450.73
5939.9;614.39
5999.82;477.84
6059.97;510.33
6119.97;602.38
6179.81;523
6239.89;590.44
6299.97;632.58
6359.99;577.26
6419.75;643.47
6479.92;674.8
6539.93;493.09
6599.96;426.19
6659.82;597.31
6719.85;630.33
6779.82;532.78
6839.99;419.15
6899.75;628.15
6959.61;480.41
7019.69;577.56
7079.89;539.62
7139.99;426.74
7199.96;491.26
7259.87;529.93
7319.98;545.52
7380;685.22
7439.74;615.01
7499.97;449.88
7559.87;410.06
7619.92;527.43
7679.89;626.31
7739.98;526.6
7800;504.18
7859.66;541.5
7919.87;574.45
7979.87;710.19
8039.94;596.26
8099.99;494.62
8159.91;515.36
8219.94;466.56
8279.77;563.51
8339.78;533.38
8399.97;486.95
8459.97;476.52
8520;519.18
8579.95;616.07
8639.96;586.16
8699.79;588.55
8759.88;483.46
8819.86;571.76
8879.89;578.2
8939.96;610.85
8999.97;586.47
9059.95;456.22
9119.73;548.13
9179.66;488.51
9239.96;583.9
9299.96;506.98
9359.96;508.07
9419.84;586.74
9479.78;588.56
9539.99;685.95
9599.94;552.29
9659.98;439.18
9719.91;515.98
9779.63;400.09
9839.84;573.5
9899.99;610.88
