#ItemDescriptionID;Weight;OrderCount;MeasuredFrequency;StaticFrequency
0;1;17;0.5862068965517241;1
1;1;13;0.4482758620689655;1
2;1;13;0.4482758620689655;1
3;1;14;0.4827586206896552;1
4;1;12;0.41379310344827586;1
5;1;12;0.41379310344827586;1
6;1;18;0.6206896551724138;1
7;1;17;0.5862068965517241;1
8;1;21;0.7241379310344828;1
9;1;17;0.5862068965517241;1
10;1;17;0.5862068965517241;1
11;1;15;0.5172413793103449;1
12;1;20;0.6896551724137931;1
13;1;13;0.4482758620689655;1
14;1;18;0.6206896551724138;1
15;1;13;0.4482758620689655;1
16;1;21;0.7241379310344828;1
17;1;16;0.5517241379310345;1
18;1;22;0.7586206896551724;1
19;1;22;0.7586206896551724;1
20;1;23;0.7931034482758621;1
21;1;9;0.3103448275862069;1
22;1;10;0.3448275862068966;1
23;1;21;0.7241379310344828;1
24;1;18;0.6206896551724138;1
25;1;14;0.4827586206896552;1
26;1;20;0.6896551724137931;1
27;1;17;0.5862068965517241;1
28;1;15;0.5172413793103449;1
29;1;18;0.6206896551724138;1
30;1;22;0.7586206896551724;1
31;1;16;0.5517241379310345;1
32;1;18;0.6206896551724138;1
33;1;19;0.6551724137931034;1
34;1;12;0.41379310344827586;1
35;1;17;0.5862068965517241;1
36;1;15;0.5172413793103449;1
37;1;14;0.4827586206896552;1
38;1;10;0.3448275862068966;1
39;1;19;0.6551724137931034;1
40;1;8;0.27586206896551724;1
41;1;14;0.4827586206896552;1
42;1;9;0.3103448275862069;1
43;1;24;0.8275862068965517;1
44;1;13;0.4482758620689655;1
45;1;19;0.6551724137931034;1
46;1;11;0.3793103448275862;1
47;1;17;0.5862068965517241;1
48;1;14;0.4827586206896552;1
49;1;15;0.5172413793103449;1
50;1;10;0.3448275862068966;1
51;1;17;0.5862068965517241;1
52;1;11;0.3793103448275862;1
53;1;14;0.4827586206896552;1
54;1;21;0.7241379310344828;1
55;1;17;0.5862068965517241;1
56;1;18;0.6206896551724138;1
57;1;8;0.27586206896551724;1
58;1;10;0.3448275862068966;1
59;1;11;0.3793103448275862;1
60;1;16;0.5517241379310345;1
61;1;21;0.7241379310344828;1
62;1;14;0.4827586206896552;1
63;1;21;0.7241379310344828;1
64;1;16;0.5517241379310345;1
65;1;15;0.5172413793103449;1
66;1;26;0.896551724137931;1
67;1;16;0.5517241379310345;1
68;1;21;0.7241379310344828;1
69;1;12;0.41379310344827586;1
70;1;17;0.5862068965517241;1
71;1;18;0.6206896551724138;1
72;1;12;0.41379310344827586;1
73;1;17;0.5862068965517241;1
74;1;21;0.7241379310344828;1
75;1;13;0.4482758620689655;1
76;1;14;0.4827586206896552;1
77;1;22;0.7586206896551724;1
78;1;17;0.5862068965517241;1
79;1;17;0.5862068965517241;1
80;1;17;0.5862068965517241;1
81;1;13;0.4482758620689655;1
82;1;14;0.4827586206896552;1
83;1;15;0.5172413793103449;1
84;1;13;0.4482758620689655;1
85;1;14;0.4827586206896552;1
86;1;9;0.3103448275862069;1
87;1;16;0.5517241379310345;1
88;1;17;0.5862068965517241;1
89;1;18;0.6206896551724138;1
90;1;15;0.5172413793103449;1
91;1;17;0.5862068965517241;1
92;1;11;0.3793103448275862;1
93;1;18;0.6206896551724138;1
94;1;16;0.5517241379310345;1
95;1;13;0.4482758620689655;1
96;1;17;0.5862068965517241;1
97;1;12;0.41379310344827586;1
98;1;14;0.4827586206896552;1
99;1;12;0.41379310344827586;1
100;1;17;0.5862068965517241;1
101;1;22;0.7586206896551724;1
102;1;16;0.5517241379310345;1
103;1;18;0.6206896551724138;1
104;1;18;0.6206896551724138;1
105;1;16;0.5517241379310345;1
106;1;18;0.6206896551724138;1
107;1;24;0.8275862068965517;1
108;1;16;0.5517241379310345;1
109;1;14;0.4827586206896552;1
110;1;19;0.6551724137931034;1
111;1;16;0.5517241379310345;1
112;1;12;0.41379310344827586;1
113;1;18;0.6206896551724138;1
114;1;13;0.4482758620689655;1
115;1;10;0.3448275862068966;1
116;1;21;0.7241379310344828;1
117;1;11;0.3793103448275862;1
118;1;18;0.6206896551724138;1
119;1;25;0.8620689655172413;1
120;1;15;0.5172413793103449;1
121;1;18;0.6206896551724138;1
122;1;21;0.7241379310344828;1
123;1;17;0.5862068965517241;1
124;1;12;0.41379310344827586;1
125;1;12;0.41379310344827586;1
126;1;18;0.6206896551724138;1
127;1;9;0.3103448275862069;1
128;1;13;0.4482758620689655;1
129;1;13;0.4482758620689655;1
130;1;25;0.8620689655172413;1
131;1;14;0.4827586206896552;1
132;1;14;0.4827586206896552;1
133;1;13;0.4482758620689655;1
134;1;15;0.5172413793103449;1
135;1;11;0.3793103448275862;1
136;1;16;0.5517241379310345;1
137;1;21;0.7241379310344828;1
138;1;18;0.6206896551724138;1
139;1;22;0.7586206896551724;1
140;1;14;0.4827586206896552;1
141;1;13;0.4482758620689655;1
142;1;15;0.5172413793103449;1
143;1;13;0.4482758620689655;1
144;1;15;0.5172413793103449;1
145;1;13;0.4482758620689655;1
146;1;14;0.4827586206896552;1
147;1;18;0.6206896551724138;1
148;1;18;0.6206896551724138;1
149;1;21;0.7241379310344828;1
150;1;21;0.7241379310344828;1
