#TimeStamp;TripTime;Type
27;12;O
28;15;O
35;15;O
42;22;O
45;20;O
45;27;O
46;21;O
54;34;O
58;41;I
58;15;I
62;34;I
62;40;O
68;39;O
68;48;O
70;38;O
72;26;I
73;40;O
79;43;O
81;44;O
82;42;O
83;36;O
85;47;I
86;58;O
88;63;O
89;23;I
91;43;I
96;37;I
102;52;I
107;39;O
110;48;I
115;48;O
122;78;O
123;47;I
137;22;O
168;44;O
254;32;O
266;34;O
269;29;O
271;25;O
279;23;O
299;20;O
305;20;O
310;25;O
313;27;O
325;9;O
329;19;O
330;19;O
391;30;O
392;20;O
403;22;O
416;22;O
422;25;O
427;13;I
464;38;O
464;41;O
471;42;I
477;43;O
479;42;O
481;36;I
499;31;O
507;34;O
511;23;O
512;23;O
519;31;O
521;17;O
527;51;I
531;23;O
595;24;O
604;14;O
610;35;O
625;26;O
631;23;O
634;29;O
637;16;O
638;33;O
641;42;O
646;20;O
654;23;O
703;32;O
711;51;O
738;30;O
745;51;O
748;23;O
753;32;O
764;51;O
773;26;O
774;40;I
781;47;O
792;33;I
805;42;I
808;26;O
810;30;I
812;26;O
824;20;O
832;22;O
850;29;O
851;36;O
877;24;O
880;10;O
887;27;O
898;19;O
902;32;O
904;17;O
907;41;O
916;42;O
920;34;O
927;22;O
938;24;O
940;25;O
972;35;O
980;32;O
1017;29;O
1018;18;O
1053;21;O
1054;36;O
1060;24;O
1075;49;O
1075;34;O
1084;33;O
1091;29;O
1093;35;I
1105;25;O
1114;16;O
1122;58;I
1128;31;I
1132;35;O
1135;28;O
1140;40;I
1187;37;O
1187;16;O
1220;49;O
1221;53;O
1224;22;O
1229;29;O
1244;33;O
1248;16;O
1249;29;O
1260;34;O
1267;27;O
1284;30;O
1286;29;O
1329;19;O
1359;32;O
1374;24;I
1374;25;O
1378;22;O
1380;6;O
1385;31;I
1392;24;O
1405;26;O
1406;23;O
1408;20;O
1425;19;I
1434;27;O
1435;29;O
1437;21;O
1447;19;O
1461;34;O
1477;61;I
1487;23;O
1493;26;O
1510;34;O
1533;26;O
1541;30;O
1554;32;O
1569;31;O
1588;35;O
1589;29;O
1600;29;O
1602;57;O
1604;31;O
1616;37;O
1628;19;O
1634;43;O
1635;53;O
1661;22;O
1665;30;O
1673;38;O
1678;26;I
1684;30;O
1699;40;O
1706;39;I
1712;26;I
1717;18;O
1731;42;O
1746;30;O
1754;22;O
1755;35;I
1761;33;O
1772;38;O
1773;35;O
1775;19;O
1798;23;O
1810;28;O
1840;34;O
1851;29;O
1857;19;O
1868;18;O
1868;30;O
1872;42;O
1878;33;O
1903;28;O
1909;20;O
1913;15;O
1918;25;O
1925;25;O
1952;24;O
1961;15;O
1966;60;O
1967;35;O
1994;19;O
2020;52;I
2022;34;O
2022;49;I
2025;30;O
2048;49;O
2058;37;O
2069;6;O
2069;21;O
2070;57;I
2079;20;O
2084;42;I
2095;61;O
2098;34;O
2104;29;O
2105;22;O
2115;26;O
2121;36;O
2138;28;O
2138;24;O
2144;28;O
2145;26;O
2165;25;O
2173;19;O
2174;27;O
2202;46;O
2215;27;O
2240;43;O
2260;42;O
2261;47;O
2262;17;O
2264;38;O
2267;33;I
2268;39;O
2277;15;O
2281;25;O
2289;35;I
2300;44;O
2304;28;O
2316;37;O
2319;54;O
2320;31;I
2322;39;O
2330;19;O
2347;30;O
2347;23;O
2364;27;O
2373;19;O
2396;48;O
2417;63;I
2417;29;O
2429;23;O
2441;33;O
2448;14;O
2452;47;O
2454;48;O
2458;31;O
2471;21;O
2474;43;O
2478;27;O
2478;50;O
2526;16;O
2534;24;O
2559;25;O
2566;26;O
2571;31;O
2576;38;I
2579;18;O
2581;21;O
2585;43;O
2588;43;O
2593;8;O
2611;31;O
2624;6;I
2631;43;I
2631;21;O
2639;45;I
2647;20;O
2661;26;O
2674;21;O
2680;36;O
2702;24;O
2729;29;O
2732;33;O
2740;42;O
2759;32;O
2770;29;O
2784;46;O
2797;28;O
2798;20;O
2799;37;O
2814;21;O
2830;43;O
2841;19;O
2853;33;I
2853;32;O
2856;23;O
2864;48;O
2876;25;O
2880;41;O
2886;30;O
2908;16;O
2913;30;O
2919;36;O
2920;34;I
2929;20;O
2933;21;O
2945;24;O
2953;39;O
2954;21;O
2958;64;I
2977;30;O
2979;44;I
2992;39;O
3007;21;O
3007;36;O
3037;31;O
3038;28;O
3045;27;O
3061;32;O
3067;60;O
3079;16;O
3119;64;O
3126;6;O
3129;49;O
3130;62;O
3140;43;I
3142;16;O
3153;19;O
3166;35;O
3167;26;O
3178;32;O
3180;51;O
3180;44;O
3185;43;O
3203;7;O
3212;33;I
3212;25;O
3223;30;O
3232;28;O
3243;44;O
3245;45;I
3247;18;O
3268;40;O
3276;22;O
3284;18;O
3297;59;I
3303;27;O
3323;21;O
3323;40;O
3324;37;O
3334;70;O
3344;43;O
3345;36;O
3353;39;O
3367;44;O
3382;42;O
3395;26;O
3409;23;O
3418;34;O
3429;33;O
3431;34;O
3445;16;O
3451;60;I
3477;33;O
3491;26;O
3491;38;O
3500;42;O
3501;22;O
3507;33;O
3508;22;O
3521;48;I
3527;24;O
3538;25;O
3541;69;I
3543;27;O
3562;46;I
3567;34;O
3578;60;O
3613;28;O
3633;23;O
3647;12;O
3648;32;O
3648;21;O
3650;30;O
3672;25;O
3679;37;O
3680;49;O
3714;54;I
3722;28;O
3722;33;O
3729;25;O
3730;18;O
3744;37;O
3750;25;O
3758;16;O
3763;21;O
3768;19;O
3773;23;O
3790;54;I
3808;67;O
3812;55;I
3836;29;O
3838;19;O
3850;32;O
3851;16;O
3873;45;O
3897;16;O
3910;32;O
3913;13;O
3915;18;O
3928;20;O
3929;82;I
3954;20;O
3971;32;O
3977;28;O
3984;33;O
3990;27;O
3999;34;O
4008;40;O
4010;44;I
4016;36;O
4019;19;O
4045;37;O
4062;41;O
4065;32;O
4065;25;O
4068;27;O
4073;37;O
4079;48;I
4095;15;O
4112;35;O
4121;30;O
4131;45;I
4186;32;O
4192;37;I
4193;22;O
4195;18;O
4201;30;O
4203;33;O
4206;46;O
4212;21;O
4217;50;O
4219;58;O
4238;33;O
4285;28;O
4286;20;O
4287;21;O
4290;23;O
4292;20;O
4295;35;O
4321;25;O
4327;26;O
4332;30;O
4332;26;O
4352;33;O
4359;29;I
4365;76;I
4379;54;O
4404;47;I
4407;28;O
4412;21;O
4416;39;O
4416;49;O
4424;23;O
4426;45;O
4454;18;O
4476;33;O
4486;32;O
4488;39;O
4491;26;O
4495;30;O
4495;36;O
4521;47;I
4536;16;O
4538;39;O
4549;8;O
4561;24;O
4566;22;O
4601;35;O
4615;19;O
4623;25;O
4624;52;I
4635;23;O
4641;22;O
4647;62;O
4657;34;O
4659;16;O
4670;106;O
4692;57;I
4704;45;O
4704;26;O
4711;49;I
4717;22;O
4746;41;O
4787;19;O
4792;49;O
4792;43;O
4807;29;O
4810;37;O
4811;25;O
4813;32;O
4814;25;O
4818;28;O
4821;20;O
4835;36;O
4840;49;I
4843;38;O
4849;18;O
4863;27;O
4871;30;O
4875;25;O
4887;13;O
4887;12;O
4912;40;I
4917;8;O
4944;23;O
4946;24;O
4962;28;O
4969;45;I
4971;19;O
4972;25;O
4985;24;O
4992;20;O
4995;30;O
4999;44;O
5002;50;I
5018;29;O
5045;37;O
5047;28;O
5058;26;O
5061;26;O
5064;42;O
5072;36;O
5087;31;O
5088;43;O
5090;28;O
5104;36;O
5107;29;O
5115;42;O
5142;18;O
5145;56;I
5154;28;O
5155;23;O
5161;29;O
5175;43;O
5182;40;I
5183;28;O
5205;32;O
5209;21;O
5221;28;O
5223;32;O
5225;46;O
5236;35;O
5237;28;O
5243;23;O
5255;27;O
5269;48;I
5270;18;O
5282;26;O
5284;29;O
5308;35;O
5326;31;O
5332;51;I
5337;41;O
5345;23;O
5362;37;O
5377;22;O
5380;30;O
5388;36;O
5411;47;I
5432;38;O
5436;39;O
5447;33;O
5457;41;O
5460;30;O
5466;22;O
5476;34;O
5483;23;O
5484;13;O
5488;23;O
5497;24;O
5516;54;I
5533;44;O
5534;64;O
5539;49;I
5553;51;O
5564;74;O
5568;27;O
5571;41;O
5582;37;O
5595;46;O
5616;35;O
5617;31;O
5625;53;I
5648;30;O
5664;39;O
5664;30;O
5666;29;O
5674;26;O
5683;23;O
5702;37;O
5708;34;O
5710;29;O
5713;54;I
5721;46;O
5723;29;O
5732;33;O
5762;22;O
5764;32;O
5788;28;O
5791;32;O
5807;28;O
5808;38;O
5814;14;O
5816;45;I
5823;20;O
5831;53;I
5850;19;O
5862;42;O
5889;38;O
5892;15;O
5896;63;O
5910;68;O
5926;65;O
5926;37;O
5933;31;O
5933;61;I
5933;54;O
5934;40;O
5946;24;O
5951;23;O
5956;23;O
5982;31;O
6004;40;O
6006;47;I
6033;37;O
6041;35;O
6045;48;O
6055;40;O
6063;32;O
6068;23;O
6089;84;O
6091;37;O
6098;35;O
6103;42;O
6113;55;I
6123;35;O
6136;21;O
6141;24;O
6143;50;O
6144;31;O
6147;36;O
6149;21;O
6160;67;I
6169;35;O
6172;20;O
6179;36;O
6210;28;O
6213;42;O
6246;68;I
6258;29;O
6268;22;O
6272;19;O
6288;31;O
6294;59;O
6302;60;O
6304;32;O
6306;28;O
6308;38;O
6312;25;O
6314;43;O
6321;74;O
6323;63;I
6333;28;O
6349;20;O
6365;24;O
6370;50;O
6373;25;O
6386;42;O
6400;74;O
6404;15;O
6412;50;O
6427;47;O
6430;51;I
6430;60;I
6441;23;O
6445;44;O
6446;27;O
6454;46;O
6469;48;O
6497;27;O
6503;7;O
6506;27;O
6515;26;O
6518;40;O
6530;29;O
6537;50;O
6537;56;I
6548;25;O
6551;31;O
6557;41;O
6574;50;O
6587;22;O
6602;27;O
6613;33;O
6613;32;O
6617;18;O
6629;48;I
6632;36;O
6637;17;O
6657;34;O
6685;67;O
6690;44;O
6694;52;O
6713;42;O
6714;32;O
6714;28;O
6716;40;O
6716;40;O
6721;25;O
6733;35;O
6758;67;I
6764;27;O
6770;40;O
6772;29;O
6780;54;O
6783;55;I
6794;42;O
6795;34;O
6823;27;O
6824;51;I
6830;31;O
6843;27;O
6848;20;O
6858;35;O
6865;39;O
6866;24;O
6871;37;O
6888;28;O
6898;21;O
6906;62;O
6952;35;O
6955;65;I
6962;29;O
6964;28;O
6975;21;O
6996;21;O
7002;39;O
7002;16;O
7003;25;O
7009;10;O
7014;33;O
7033;14;O
7046;57;I
7063;32;O
7065;53;I
7087;14;O
7098;32;O
7105;22;O
7110;20;O
7118;39;O
7124;32;O
7130;29;O
7138;69;I
7141;38;O
7151;24;O
7158;6;O
7167;37;O
7173;37;O
7182;33;O
7213;47;I
7223;49;O
7232;14;O
7243;48;O
7249;44;O
7249;21;O
7264;26;O
7297;23;O
7307;22;O
7312;51;I
7318;32;O
7318;22;O
7320;23;O
7328;16;O
7328;21;O
7340;23;O
7342;37;I
7343;30;O
7345;19;O
7364;24;O
7393;46;I
7405;24;O
7407;27;O
7409;25;O
7414;42;O
7427;35;O
7432;15;O
7444;52;O
7469;30;O
