#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;100;100;0;0;0;0;0;0.43
59.96;100;100;53.66;51.59;53.92;59.96;0.37;0.44
119.98;100;100;113.65;92.7;113.92;114.26;0.37;0.44
179.79;100;100;172.67;100.62;173.67;156.55;0.37;0.44
239.98;100;100;230.55;108.68;233.77;200.79;0.38;0.41
299.71;100;100;288.84;88.05;293.45;230.22;0.38;0.44
359.95;100;100;349.01;71.21;353.65;214.1;0.38;0.45
419.86;100;100;406.79;75.32;413.03;237.44;0.38;0.46
479.82;100;100;463.25;76.48;471.76;289.67;0.38;0.47
540;100;100;517.32;66.68;528.97;316.15;0.38;0.46
600;100;100;577.19;65.27;588.91;293.94;0.39;0.45
659.91;100;100;632.73;65.93;646.16;301.67;0.39;0.48
719.97;100;100;692.64;67.89;706.15;312.81;0.39;0.48
779.97;100;100;742.21;68.42;759.53;333.06;0.39;0.46
839.94;100;100;796.87;69.1;815.75;406.59;0.39;0.47
899.82;100;100;856.5;64.44;875.5;372.06;0.39;0.48
959.81;100;100;910.22;68.35;930.82;329.88;0.4;0.48
1020;100;100;964.03;63.33;986.12;281.49;0.4;0.49
1079.79;100;100;1009.36;68.55;1035.03;236.78;0.4;0.44
1139.99;100;100;1069.14;68.38;1094.96;347.42;0.37;0.42
1199.97;100;100;1121.36;62.36;1148.76;367.38;0.38;0.45
1259.98;100;100;1180.9;65.12;1208.47;307.51;0.38;0.5
1319.99;100;100;1223.27;66.1;1254.43;347.77;0.38;0.5
1379.97;100;100;1274.96;60.41;1307.54;374.13;0.38;0.48
1439.96;100;100;1334.34;59.7;1367.12;295.79;0.38;0.44
1500;100;100;1383.61;73.49;1418.24;384.24;0.38;0.44
1559.97;100;100;1442.92;75.22;1477.74;529.37;0.38;0.47
1619.85;100;100;1473;69.48;1512.24;393.73;0.39;0.45
1679.98;100;100;1532.29;69.37;1571.76;288.88;0.39;0.44
1739.99;100;100;1591.42;67.7;1631.13;326.16;0.39;0.43
1799.99;100;100;1638.01;63.59;1679.77;388.32;0.39;0.44
1859.99;100;100;1663.48;65.18;1709.62;395.27;0.39;0.45
1919.99;100;100;1722.36;67.92;1768.76;316.51;0.39;0.45
1979.84;100;100;1781.07;69.83;1827.74;362.66;0.4;0.46
2039.96;100;100;1842;66.38;1888.49;497.47;0.4;0.49
2099.93;100;100;1888.83;63.81;1936.84;502.35;0.4;0.5
2159.99;100;100;1935.92;64.64;1985.38;494.35;0.4;0.5
2219.84;100;100;1969.07;67.47;2021.12;367.71;0.4;0.45
2279.94;100;100;2032.81;64.15;2084.07;317.56;0.4;0.45
2339.85;100;100;2094.76;54.09;2145.39;391.81;0.41;0.47
2399.78;100;100;2141.47;64.02;2192.96;369.16;0.41;0.46
2459.78;100;100;2159.25;67.17;2214.11;267.15;0.41;0.48
