#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;1000;0;0;0;0;0;0;0;0;0
600;0.6;1000;0;0;0;0;0;0;0;0;0
1199.97;0.6;1000;0;0;0;0;0;0;0;0;0
1799.99;0.6;1000;0;0;0;0;0;0;0;0;0
2399.78;0.6;1000;0;0;0;0;0;0;0;0;0
2999.88;0.6;1000;0;0;0;0;0;0;0;0;0
3599.91;0.6;1000;0;0;0;0;0;0;0;0;0
4199.66;0.6;1000;0;0;0;0;0;0;0;0;0
4799.87;0.6;1000;0;0;0;0;0;0;0;0;0
5399.96;0.6;1000;0;0;0;0;0;0;0;0;0
5999.99;0.6;1000;0;0;0;0;0;0;0;0;0
6599.93;0.6;1000;0;0;0;0;0;0;0;0;0
7199.71;0.6;1000;0;0;0;0;0;0;0;0;0
7799.96;0.6;1000;0;0;0;0;0;0;0;0;0
8399.7;0.6;1000;0;0;0;0;0;0;0;0;0
8999.78;0.6;1000;0;0;0;0;0;0;0;0;0
9599.78;0.6;1000;0;0;0;0;0;0;0;0;0
10199.95;0.6;1000;0;0;0;0;0;0;0;0;0
10799.86;0.6;1000;0;0;0;0;0;0;0;0;0
11399.98;0.6;1000;0;0;0;0;0;0;0;0;0
11999.71;0.6;1000;0;0;0;0;0;0;0;0;0
12599.91;0.6;1000;0;0;0;0;0;0;0;0;0
13199.99;0.6;1000;0;0;0;0;0;0;0;0;0
13799.82;0.6;1000;0;0;0;0;0;0;0;0;0
14399.83;0.6;1000;0;0;0;0;0;0;0;0;0
14999.96;0.6;1000;0;0;0;0;0;0;0;0;0
15599.97;0.6;1000;0;0;0;0;0;0;0;0;0
16199.83;0.6;1000;0;0;0;0;0;0;0;0;0
16799.99;0.6;1000;0;0;0;0;0;0;0;0;0
17399.98;0.6;1000;0;0;0;0;0;0;0;0;0
17999.85;0.6;1000;0;0;0;0;0;0;0;0;0
18599.75;0.6;1000;0;0;0;0;0;0;0;0;0
19199.79;0.6;1000;0;0;0;0;0;0;0;0;0
19799.84;0.6;1000;0;0;0;0;0;0;0;0;0
20399.93;0.6;1000;0;0;0;0;0;0;0;0;0
20999.9;0.6;1000;0;0;0;0;0;0;0;0;0
21599.77;0.6;1000;0;0;0;0;0;0;0;0;0
22199.97;0.6;1000;0;0;0;0;0;0;0;0;0
22799.97;0.6;1000;0;0;0;0;0;0;0;0;0
23399.72;0.6;1000;0;0;0;0;0;0;0;0;0
23999.91;0.6;1000;0;0;0;0;0;0;0;0;0
24599.95;0.6;1000;0;0;0;0;0;0;0;0;0
25199.88;0.6;1000;0;0;0;0;0;0;0;0;0
25799.93;0.6;1000;0;0;0;0;0;0;0;0;0
26399.98;0.6;1000;0;0;0;0;0;0;0;0;0
26999.93;0.6;1000;0;0;0;0;0;0;0;0;0
27599.99;0.6;1000;0;0;0;0;0;0;0;0;0
28199.92;0.6;1000;0;0;0;0;0;0;0;0;0
28799.98;0.6;1000;0;0;0;0;0;0;0;0;0
