#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.6;1000;0;0;0;0;0;0;0;0;0
599.94;0.6;1000;0;0;0;0;0;0;0;0;0
1199.99;0.6;1000;0;0;0;0;0;0;0;0;0
1799.86;0.6;1000;0;0;0;0;0;0;0;0;0
2400;0.6;1000;0;0;0;0;0;0;0;0;0
3000;0.6;1000;0;0;0;0;0;0;0;0;0
3599.84;0.6;1000;0;0;0;0;0;0;0;0;0
4199.97;0.6;1000;0;0;0;0;0;0;0;0;0
4800;0.6;1000;0;0;0;0;0;0;0;0;0
5399.72;0.6;1000;0;0;0;0;0;0;0;0;0
5999.98;0.6;1000;0;0;0;0;0;0;0;0;0
6600;0.6;1000;0;0;0;0;0;0;0;0;0
7199.77;0.6;1000;0;0;0;0;0;0;0;0;0
7799.72;0.6;1000;0;0;0;0;0;0;0;0;0
8399.99;0.6;1000;0;0;0;0;0;0;0;0;0
8999.82;0.6;1000;0;0;0;0;0;0;0;0;0
9599.66;0.6;1000;0;0;0;0;0;0;0;0;0
10199.84;0.6;1000;0;0;0;0;0;0;0;0;0
10799.91;0.6;1000;0;0;0;0;0;0;0;0;0
11399.94;0.6;1000;0;0;0;0;0;0;0;0;0
11999.93;0.6;1000;0;0;0;0;0;0;0;0;0
12599.84;0.6;1000;0;0;0;0;0;0;0;0;0
13199.79;0.6;1000;0;0;0;0;0;0;0;0;0
13799.78;0.6;1000;0;0;0;0;0;0;0;0;0
14399.66;0.6;1000;0;0;0;0;0;0;0;0;0
14999.91;0.6;1000;0;0;0;0;0;0;0;0;0
15599.99;0.6;1000;0;0;0;0;0;0;0;0;0
16199.94;0.6;1000;0;0;0;0;0;0;0;0;0
16799.96;0.6;1000;0;0;0;0;0;0;0;0;0
17399.85;0.6;1000;0;0;0;0;0;0;0;0;0
17999.85;0.6;1000;0;0;0;0;0;0;0;0;0
18599.58;0.6;1000;0;0;0;0;0;0;0;0;0
19199.83;0.6;1000;0;0;0;0;0;0;0;0;0
19799.73;0.6;1000;0;0;0;0;0;0;0;0;0
20399.99;0.6;1000;0;0;0;0;0;0;0;0;0
21000;0.6;1000;0;0;0;0;0;0;0;0;0
21599.98;0.6;1000;0;0;0;0;0;0;0;0;0
22199.95;0.6;1000;0;0;0;0;0;0;0;0;0
22799.97;0.6;1000;0;0;0;0;0;0;0;0;0
23399.74;0.6;1000;0;0;0;0;0;0;0;0;0
23999.98;0.6;1000;0;0;0;0;0;0;0;0;0
24599.87;0.6;1000;0;0;0;0;0;0;0;0;0
25199.85;0.6;1000;0;0;0;0;0;0;0;0;0
25799.91;0.6;1000;0;0;0;0;0;0;0;0;0
26399.95;0.6;1000;0;0;0;0;0;0;0;0;0
26999.66;0.6;1000;0;0;0;0;0;0;0;0;0
27599.98;0.6;1000;0;0;0;0;0;0;0;0;0
28199.98;0.6;1000;0;0;0;0;0;0;0;0;0
28799.94;0.6;1000;0;0;0;0;0;0;0;0;0
