#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;100;100;0;0;0;0;0;0.43
59.87;100;100;53.82;54.59;54.07;59.87;0.37;0.42
119.97;100;100;113.89;96.1;114.15;116.28;0.37;0.45
179.73;100;100;172.87;115.38;173.85;153.22;0.37;0.47
239.99;100;100;230.79;123.68;234.02;198.51;0.37;0.5
299.98;100;100;289.24;96.88;293.96;239.02;0.37;0.46
359.82;100;100;349.02;80.04;353.76;266.26;0.37;0.46
419.98;100;100;407.05;64.4;413.39;252.27;0.38;0.45
479.97;100;100;463.91;64.92;472.24;238.92;0.38;0.47
539.96;100;100;516.92;67.34;528.89;284.54;0.38;0.49
599.75;100;100;576.58;62.11;588.62;291.8;0.38;0.44
659.97;100;100;636.67;65.06;648.79;313.99;0.38;0.42
719.93;100;100;691.78;61.91;705.83;284.05;0.38;0.46
780;100;100;745.8;63.1;762.12;256.03;0.39;0.44
839.97;100;100;794.89;65.51;814.43;351.86;0.39;0.42
899.99;100;100;854.64;65.63;874.31;393.07;0.39;0.47
959.9;100;100;908.17;58.24;929.33;271.14;0.39;0.48
1019.88;100;100;967.84;63.92;989.13;262.53;0.39;0.46
1079.97;100;100;1027.63;61.8;1049.05;302.86;0.4;0.47
1139.73;100;100;1065.46;60.41;1092.17;374.67;0.4;0.47
1199.97;100;100;1125.26;59.45;1152.13;300.65;0.4;0.47
1259.99;100;100;1175.93;66.43;1203.99;305.86;0.4;0.45
1319.99;100;100;1235.46;64.18;1263.67;292.53;0.4;0.44
1379.98;100;100;1268.72;64.32;1302.61;326.41;0.4;0.46
1439.99;100;100;1328.07;59.81;1362.17;338.66;0.41;0.47
1499.93;100;100;1387.35;63.86;1421.65;289.01;0.41;0.44
1559.95;100;100;1437.44;75.86;1473.26;331.68;0.41;0.43
1619.92;100;100;1497.02;74.22;1533;365.71;0.41;0.47
1679.91;100;100;1528;71.14;1567.98;449.52;0.41;0.43
1739.73;100;100;1589.99;57.83;1629.47;482.35;0.41;0.48
1799.95;100;100;1641.16;65.3;1681.55;513.72;0.41;0.5
1860;100;100;1703.35;65.96;1743.3;494.19;0.42;0.51
1919.82;100;100;1730.25;62.02;1774.13;310.31;0.42;0.48
1979.99;100;100;1790.59;65.52;1834.31;364.17;0.42;0.46
2039.94;100;100;1851.1;62.4;1894.65;385.75;0.42;0.48
2099.96;100;100;1898.21;68.36;1943.14;398.17;0.42;0.48
2159.85;100;100;1945.16;58.57;1991.44;327.42;0.43;0.45
2219.98;100;100;1980.02;63.17;2028.68;407.42;0.43;0.48
2279.66;100;100;2039.69;61.34;2088.25;442.6;0.43;0.53
2339.76;100;100;2098.35;67.8;2147.21;438.74;0.43;0.51
2399.76;100;100;2141.77;70.57;2192.48;399.97;0.43;0.5
2459.98;100;100;2155.39;71.72;2210.61;376.69;0.43;0.5
2519.99;100;100;2213.9;63.13;2269.35;440.22;0.43;0.52
2579.82;100;100;2273.04;60.91;2328.35;429.03;0.44;0.55
2639.75;100;100;2334.22;65.89;2388.75;264.69;0.44;0.54
2699.74;100;100;2377.39;65.19;2432.82;279.56;0.44;0.5
2759.98;100;100;2385.82;67.36;2445.04;305.88;0.44;0.47
2819.67;100;100;2447.33;60.38;2506.05;298.63;0.44;0.51
2879.97;100;100;2509.69;68.19;2568;348.22;0.44;0.51
2939.94;100;100;2569.9;64.37;2628.18;418.22;0.45;0.54
2999.99;100;100;2612.44;68.66;2671.91;433.11;0.45;0.57
3059.99;100;100;2616.74;70.58;2680.38;479.22;0.42;0.52
3119.96;100;100;2675.91;69.89;2739.74;510.05;0.42;0.53
3179.69;100;100;2737.25;78.27;2801.09;469.36;0.42;0.51
3239.99;100;100;2798.96;67.49;2862.77;454.65;0.43;0.46
3299.96;100;100;2838.78;58.68;2904.09;357.44;0.43;0.47
3359.75;100;100;2840.83;68.87;2910.03;305.76;0.43;0.5
3419.9;100;100;2905.44;63.88;2974.23;254.13;0.43;0.49
3479.99;100;100;2972.84;59.41;3040.78;387.01;0.43;0.46
3539.87;100;100;3042.91;57.85;3109.49;469.68;0.43;0.54
3599.79;100;100;3089.57;65.34;3156.05;431.22;0.43;0.55
