#TimeStamp;Runtime;Requests
0.88;1.01;32
1.88;1;4
2.93;1.01;3
3.97;0.16;1
4.97;0.27;1
6.06;0.14;1
7.08;0.09;2
8.08;0.07;2
9.08;0.05;3
10.12;0.1;2
11.13;0.02;2
12.27;0.01;3
13.27;0.01;5
14.36;0.02;4
15.4;0.01;5
16.4;0.01;5
17.41;0.02;8
18.42;0.02;2
19.46;0.01;1
20.5;0.01;1
21.53;0.05;3
22.92;0.05;2
24.13;0.08;2
25.13;0.05;8
26.16;0.64;7
27.2;0.34;4
28.2;0.49;5
29.22;0.1;2
30.26;0.08;3
31.3;0.02;1
32.39;0.03;3
33.45;1;5
34.47;0.81;2
35.5;0.86;2
36.52;1;2
37.53;0.5;2
38.54;1.01;3
39.92;1;1
40.97;1;3
42;1;1
43.17;1;1
44.27;0.18;2
45.63;0.2;2
46.67;0.65;2
47.68;0.22;3
48.7;0.67;1
49.7;1.01;1
50.79;1;3
51.84;1.01;6
52.88;1;3
53.88;1;4
54.88;1;3
55.88;1;2
56.93;1;4
57.97;1;2
59;1;3
60.01;1;5
61.02;1;5
62.02;1;6
63.06;0.02;7
64.07;0.02;6
65.11;0.03;6
66.15;1;6
67.16;0.19;4
68.19;0.07;4
69.36;0.06;3
70.49;0.07;2
71.53;0.02;2
72.56;0.02;1
73.64;0.07;1
74.64;0.04;3
75.8;0.05;2
76.84;0.04;5
77.86;0.04;5
78.89;0.04;4
80;0.04;5
81.18;0.05;5
82.21;0.03;4
83.25;0.03;4
84.25;0.02;4
85.29;0.03;4
86.32;0.02;3
87.41;0.02;3
88.41;0.01;2
89.45;0.02;2
90.49;0.02;2
91.51;0.02;2
92.56;0.02;2
93.6;0.01;2
94.64;0.02;2
95.66;0.01;2
96.71;0.01;2
97.74;0.01;2
98.78;0.01;4
99.83;0.01;4
100.87;0.01;2
101.91;0.01;2
102.94;0.01;2
103.98;0.01;3
105.03;0.01;2
106.07;0.01;2
107.11;0.01;2
108.16;0.01;2
109.2;0.01;2
110.25;0.01;2
111.29;0.01;1
117.07;0.01;1
118.07;0.01;1
119.11;0.01;1
120.16;0;2
121.16;0;1
122.21;0.01;2
131.16;0;1
134.58;0.01;1
137.96;0.01;1
142.43;0.01;1
145.88;0.01;1
147.07;0.01;1
148.08;0.01;1
149.39;0.01;1
150.76;0.01;2
151.8;0.01;1
152.94;0.01;1
155.94;0.01;1
161.45;0;1
168.66;0;1
179.48;0;1
180.72;0;1
181.8;0;1
185.04;0;1
198.39;0;1
200.78;0;1
202.08;0;1
212.37;0;1
221.43;0;1
222.5;0;1
229.77;0;1
238.97;0;1
240.02;0;1
242.83;0.01;1
245.98;0;1
249.43;0;1
254.4;0.01;1
256.19;0.01;1
261.88;0.01;1
262.93;0.01;1
267.63;0;1
278.66;0;1
279.88;0;1
280.9;0.01;2
282.1;0;1
283.21;0;2
284.41;0;1
285.48;0.01;2
290.23;0;1
292.14;0;1
299.74;0;1
300.78;0;1
302.52;0;1
303.57;0;1
306.91;0;1
307.96;0;1
308.98;0;1
310.13;0.01;2
311.13;0.01;2
312.14;0;2
313.15;0.01;4
314.2;0.01;2
316.15;0.01;1
317.39;0;1
319.27;0.01;1
322.11;0;1
325.49;0.01;1
328.96;0.01;1
336.71;0;1
337.71;0.01;2
338.75;0.01;2
339.8;0.01;3
340.84;0.02;1
341.89;0.03;3
343.04;0.01;3
344.17;0.01;2
345.26;0.02;1
346.29;0.01;1
347.34;0.02;1
348.35;0.01;1
349.38;0.01;1
350.42;0.01;1
351.47;0.01;1
354.3;0.01;1
358.74;0.01;1
359.84;0.01;1
360.84;0.01;1
362.01;0.01;1
363.29;0.01;1
368.24;0.01;1
369.34;0.01;1
370.71;0;1
371.91;0;1
372.96;0;1
383.93;0;1
387.16;0;1
388.38;0;2
392.61;0;1
393.84;0;1
395;0;1
396.11;0;1
399.85;0;1
403.96;0;1
406;0;1
408.23;0;1
412.98;0;1
414.05;0;2
415.16;0.01;2
416.23;0.01;1
417.28;0.01;1
418.36;0.01;1
420.65;0.01;1
421.7;0.01;1
423.74;0.01;1
427.58;0.01;1
430.08;0.01;1
431.29;0.01;1
432.46;0.01;1
433.5;0.01;1
434.52;0.01;1
439.36;0.01;1
440.44;0.01;2
441.94;0.01;1
442.97;0.01;1
445.48;0;1
452.74;0.01;1
456.74;0.01;1
459.52;0.01;1
463.82;0.01;1
469.52;0.01;1
470.69;0.01;1
476.48;0.01;1
478.83;0.01;1
485.2;0.01;1
486.24;0.01;1
487.24;0.01;1
488.29;0.01;1
489.29;0.01;2
490.34;0.01;1
496.54;0;1
497.87;0;1
504.39;0;1
519.13;0;1
520.46;0;1
523.71;0;1
526.71;0.01;1
527.75;0;1
529.6;0;1
530.6;0;1
531.64;0;1
532.69;0;1
533.73;0;1
540.8;0;1
546.01;0.01;1
549.2;0.01;1
550.27;0;1
555.31;0;1
556.65;0.01;2
558;0;1
559.03;0.01;2
560.66;0;1
574.47;0;1
575.5;0;1
576.5;0;1
577.54;0;1
578.59;0;2
579.59;0;1
580.67;0.01;1
583.6;0;1
587.37;0;1
588.75;0;1
590.55;0;1
593.08;0;1
597.83;0;1
598.84;0.01;2
599.97;0;1
601.13;0.01;1
602.47;0;1
603.65;0;3
604.68;0.01;1
606.13;0;1
607.37;0.01;2
612.65;0.01;1
615.7;0.01;1
616.85;0.01;1
617.93;0.01;1
619.15;0.02;2
621.19;0.02;1
623.76;0.03;1
624.81;0.03;1
625.85;0.08;2
626.9;0.03;1
627.93;0.03;2
630.74;0.01;1
632.6;0.01;1
633.61;0.01;3
634.66;0.01;2
637.02;0.01;1
638.4;0.01;1
639.7;0.01;1
642.1;0.01;1
645.6;0.01;1
646.6;0.01;2
647.64;0;1
648.65;0.01;1
649.7;0;1
650.74;0;1
651.85;0.01;1
655.51;0;1
656.69;0.01;1
663.75;0;1
666.35;0;1
673.81;0;1
674.88;0.01;2
684.92;0.01;1
689.59;0.01;1
690.61;0.01;1
692.86;0.01;2
695.28;0.01;1
699.33;0.01;1
702.28;0.01;1
707.66;0;1
708.67;0;1
711.48;0;1
715.3;0;1
717.39;0;1
718.51;0.01;2
721.94;0;1
723.04;0.01;1
724.17;0.01;1
725.24;0.01;2
729.51;0.01;1
732.96;0.01;1
735.02;0.01;1
736.32;0.01;2
737.32;0.01;1
738.36;0.01;1
740.59;0;1
742.29;0;1
743.34;0;1
744.35;0;2
748.3;0;1
749.57;0;1
751.09;0.01;1
753.5;0.01;1
754.51;0;1
757.03;0.01;1
758.06;0.01;2
762.35;0.01;1
763.37;0.01;1
766.92;0.01;1
771.87;0.01;1
773.07;0.01;1
774.1;0.01;1
776.74;0.01;1
777.83;0.01;1
778.87;0.01;1
780.97;0.01;1
782.19;0.01;1
783.36;0.01;1
784.36;0.01;1
791.07;0.01;1
792.16;0.01;1
801.33;0.01;1
805.16;0.01;1
807.77;0.01;1
813.95;0;1
815.16;0;2
818.45;0;1
819.59;0;1
822.5;0;1
827.43;0;1
828.5;0;2
838.44;0;1
839.55;0;1
840.89;0.01;1
841.9;0;1
842.9;0;1
847.68;0.01;1
848.84;0.01;1
850.27;0.01;1
851.35;0.01;1
852.38;0;1
853.44;0;1
854.44;0.01;1
855.8;0;1
856.88;0;1
858.02;0;1
863.85;0;1
868.02;0;1
869.15;0;1
877.45;0;1
883.61;0;1
884.69;0.01;2
885.87;0.01;1
887.02;0.02;1
888.24;0.01;1
889.24;0.01;2
890.24;0.01;2
891.25;0.01;1
892.87;0;1
898.29;0.01;1
899.92;0.02;1
901.08;0.01;1
905.5;0.01;1
906.62;0.01;1
908.85;0.01;1
913.61;0.01;1
914.75;0.01;1
917.38;0.01;1
918.47;0.01;1
919.49;0.01;1
920.54;0.01;1
921.97;0.01;1
922.97;0.01;1
924;0.01;1
925;0.01;2
930.59;0.01;1
932.87;0.01;1
936.7;0.01;1
937.79;0.01;1
938.8;0.01;1
944.26;0.01;1
945.62;0.01;1
946.75;0.01;1
947.75;0.01;1
957.34;0.01;1
958.42;0.01;1
960.38;0.01;1
961.38;0.01;2
966.27;0;1
971.53;0;1
972.65;0;1
977.5;0;1
978.51;0.01;1
980;0.01;1
982.86;0.02;1
998.65;0.01;1
1000.94;0.01;1
1002.61;0;1
1006.57;0;1
1007.58;0;1
1008.65;0;3
1010.99;0;1
1019.49;0;1
1024.12;0;1
1029.89;0;1
1032.08;0;1
1035.03;0;1
1036.05;0;1
1038.21;0.01;1
1039.57;0.01;2
1041.72;0.01;1
1042.85;0.01;1
1043.87;0.01;1
1044.89;0.01;1
1047.4;0;1
1051.21;0;1
1054.63;0;1
1058.79;0.01;1
1060.03;0;1
1065.14;0;1
1068.62;0;1
1069.87;0;2
1071.12;0;1
1074.32;0;1
1075.43;0;1
1076.49;0.01;1
1079.87;0.01;1
