#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
45.67;1;45.67;45.67;-1754.33
45.83;3;45.83;45.83;-7154.17
55.66;1;55.66;55.66;-1744.34
55.93;0;55.93;55.93;-1744.07
63.1;3;63.1;63.1;-7136.9
65.87;1;65.87;20.08;-7134.13
65.98;0;65.98;20.2;-7134.02
70.23;2;70.23;70.23;-1729.77
73.09;3;73.09;73.09;-7126.91
75.98;1;75.98;30.2;-7124.02
76.12;0;76.12;20.14;-7123.88
80.32;2;80.32;17.17;-7119.68
83.23;3;83.23;83.23;-7116.77
86.04;1;86.04;30.21;-7113.96
89.51;0;89.51;89.51;-1710.49
90.6;2;90.6;20.33;-7109.4
93.29;3;93.29;47.41;-7106.71
96.09;1;96.09;30.18;-7103.91
99.52;0;99.52;23.36;-1700.48
100.67;2;100.67;20.31;-7099.33
103.56;3;103.56;47.73;-7096.44
106.3;1;106.3;30.28;-7093.7
109.57;0;63.79;29.21;-1736.21
110.76;2;110.76;110.76;-7089.24
113.69;3;30.41;30.37;-1769.59
116.37;1;116.37;30.28;-7083.63
119.85;0;119.85;30.29;-7080.15
121.05;2;121.05;121.05;-7078.95
126.44;1;126.44;126.44;-1673.56
126.44;3;126.44;126.44;-7073.56
129.86;0;129.86;30.19;-7070.14
130.82;2;130.82;130.82;-7069.18
136.5;1;136.5;136.5;-1663.5
136.5;3;136.5;136.5;-7063.5
140.29;0;140.29;30.58;-7059.71
141.29;2;141.29;41.62;-7058.71
146.99;1;146.99;30.82;-7053.01
146.99;3;146.99;30.82;-7053.01
150.71;0;150.71;150.71;-1649.29
151.65;2;35.48;35.33;-7164.52
157.66;1;157.66;41.13;-7042.34
157.66;3;157.66;157.66;-7042.34
160.79;0;160.79;160.79;-1639.21
161.87;2;161.87;161.87;-7038.13
167.63;1;167.63;167.63;-1632.37
167.63;3;167.63;167.63;-7032.37
170.91;0;170.91;170.91;-1629.09
172.14;2;172.14;172.14;-7027.86
177.49;1;46.31;40.66;-1753.69
177.49;3;177.49;177.49;-7022.51
180.96;0;180.96;40.6;-7019.04
182.51;2;182.51;31.73;-7017.49
188.02;1;132.19;30.32;-7067.81
188.02;3;188.02;104.74;-7011.98
191.27;0;33.56;33.52;-7166.44
192.69;2;192.69;40.85;-7007.31
198.48;1;198.48;198.48;-1601.52
198.48;3;198.48;94.86;-7001.52
201.24;0;201.24;201.24;-1598.76
202.75;2;136.84;40.83;-7063.16
208.42;1;208.42;208.42;-1591.58
208.42;3;30.55;30.13;-7169.45
211.56;0;211.56;211.56;-1588.44
212.84;2;132.47;40.55;-7067.53
218.61;1;218.61;218.61;-1581.39
218.61;3;218.61;218.61;-6981.39
221.72;0;221.72;91.79;-6978.28
