#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;123.71;0.1;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.87;170.81;35.57;PP/33.76,TA/1.39,IS/0.01,PS/0.2,RB/0.01,OB/0.02,RP/0
119.92;172.17;40.87;PP/38.35,TA/1.98,IS/0.01,PS/0.78,RB/0.01,OB/0.03,RP/0
179.87;172.23;40.97;PP/38.39,TA/1.99,IS/0.01,PS/0.79,RB/0.01,OB/0.03,RP/0
239.96;170.07;41.62;PP/38.52,TA/2.45,IS/0.01,PS/0.8,RB/0.01,OB/0.04,RP/0
300;170.05;42.07;PP/38.64,TA/2.71,IS/0.01,PS/0.82,RB/0.01,OB/0.05,RP/0
359.86;170.18;42.62;PP/38.79,TA/3.04,IS/0.01,PS/0.83,RB/0.01,OB/0.05,RP/0
419.87;169.73;43.47;PP/39.03,TA/3.58,IS/0.01,PS/1.09,RB/0.01,OB/0.06,RP/0
479.87;169.74;44.35;PP/39.3,TA/4.11,IS/0.01,PS/1.32,RB/0.01,OB/0.07,RP/0
539.94;169.92;45.44;PP/39.77,TA/4.64,IS/0.01,PS/1.34,RB/0.01,OB/0.07,RP/0
599.92;169.88;45.86;PP/40.01,TA/4.76,IS/0.01,PS/1.36,RB/0.01,OB/0.08,RP/0
659.78;169.87;46.22;PP/40.08,TA/4.99,IS/0.01,PS/1.37,RB/0.01,OB/0.09,RP/0
719.97;169.93;46.83;PP/40.36,TA/5.25,IS/0.01,PS/1.41,RB/0.01,OB/0.09,RP/0
779.99;170.08;47.38;PP/40.57,TA/5.51,IS/0.01,PS/1.5,RB/0.01,OB/0.1,RP/0
839.74;170.18;48.01;PP/40.79,TA/5.84,IS/0.01,PS/1.55,RB/0.01,OB/0.11,RP/0
899.79;170.22;48.16;PP/40.86,TA/5.87,IS/0.01,PS/1.55,RB/0.01,OB/0.11,RP/0
959.92;170.27;48.78;PP/41.03,TA/6.25,IS/0.01,PS/1.56,RB/0.01,OB/0.12,RP/0
1019.86;170.32;49.11;PP/41.18,TA/6.37,IS/0.01,PS/1.58,RB/0.01,OB/0.12,RP/0
1079.98;169.54;50.32;PP/41.77,TA/6.89,IS/0.01,PS/1.66,RB/0.01,OB/0.13,RP/0
1139.89;169.58;51.26;PP/42.46,TA/7.06,IS/0.01,PS/1.69,RB/0.01,OB/0.14,RP/0
1199.61;169.77;51.81;PP/42.67,TA/7.31,IS/0.01,PS/1.71,RB/0.01,OB/0.15,RP/0
1259.99;169.84;52.47;PP/43.03,TA/7.53,IS/0.01,PS/1.73,RB/0.01,OB/0.16,RP/0
1319.72;169.84;53.1;PP/43.32,TA/7.81,IS/0.01,PS/1.76,RB/0.01,OB/0.16,RP/0
1379.73;169.73;54.04;PP/43.95,TA/8.03,IS/0.01,PS/1.83,RB/0.01,OB/0.17,RP/0
1439.76;169.7;54.54;PP/44.15,TA/8.22,IS/0.01,PS/1.87,RB/0.01,OB/0.18,RP/0
1499.89;169.7;55.32;PP/44.45,TA/8.6,IS/0.01,PS/1.87,RB/0.01,OB/0.19,RP/0
1559.96;169.7;55.8;PP/44.65,TA/8.81,IS/0.01,PS/1.89,RB/0.02,OB/0.2,RP/0
1619.6;169.64;56.2;PP/44.81,TA/8.97,IS/0.01,PS/1.9,RB/0.02,OB/0.2,RP/0
1679.98;169.74;56.69;PP/45,TA/9.2,IS/0.01,PS/1.94,RB/0.02,OB/0.21,RP/0
1739.87;169.29;57.15;PP/45.18,TA/9.39,IS/0.01,PS/1.95,RB/0.02,OB/0.22,RP/0
1799.97;169.2;57.79;PP/45.46,TA/9.67,IS/0.01,PS/1.96,RB/0.02,OB/0.23,RP/0
1859.97;169.59;58.75;PP/46.22,TA/9.79,IS/0.01,PS/1.99,RB/0.02,OB/0.23,RP/0
1919.97;169.59;58.96;PP/46.31,TA/9.85,IS/0.01,PS/2.01,RB/0.02,OB/0.24,RP/0
1979.82;169.67;59.45;PP/46.57,TA/10,IS/0.01,PS/2.06,RB/0.02,OB/0.25,RP/0
2039.71;169.73;60.25;PP/46.98,TA/10.3,IS/0.01,PS/2.1,RB/0.02,OB/0.26,RP/0
2099.97;169.28;60.81;PP/47.3,TA/10.44,IS/0.01,PS/2.12,RB/0.02,OB/0.26,RP/0
2159.98;169.12;61.17;PP/47.41,TA/10.61,IS/0.01,PS/2.14,RB/0.02,OB/0.27,RP/0
2219.97;168.79;62.18;PP/48.16,TA/10.79,IS/0.01,PS/2.18,RB/0.02,OB/0.28,RP/0
2279.93;171.14;63.14;PP/48.89,TA/10.91,IS/0.01,PS/2.2,RB/0.02,OB/0.29,RP/0
2339.99;171.14;63.76;PP/49.28,TA/11.04,IS/0.01,PS/2.22,RB/0.02,OB/0.3,RP/0
2399.87;171.22;64.03;PP/49.39,TA/11.14,IS/0.01,PS/2.26,RB/0.02,OB/0.31,RP/0
2459.81;171.22;64.43;PP/49.57,TA/11.28,IS/0.01,PS/2.27,RB/0.02,OB/0.31,RP/0
2519.72;171.1;65.06;PP/49.94,TA/11.46,IS/0.01,PS/2.31,RB/0.02,OB/0.32,RP/0
2579.96;171.1;65.57;PP/50.18,TA/11.63,IS/0.01,PS/2.36,RB/0.02,OB/0.33,RP/0
2639.96;170.7;66.2;PP/50.55,TA/11.81,IS/0.01,PS/2.39,RB/0.02,OB/0.34,RP/0
2699.71;170.07;66.55;PP/50.76,TA/11.88,IS/0.01,PS/2.4,RB/0.02,OB/0.35,RP/0
2759.7;169.51;67.05;PP/51.09,TA/11.98,IS/0.01,PS/2.4,RB/0.02,OB/0.35,RP/0
2819.73;169.71;67.78;PP/51.55,TA/12.16,IS/0.01,PS/2.44,RB/0.02,OB/0.36,RP/0
2879.71;169.35;68.43;PP/52.01,TA/12.26,IS/0.01,PS/2.46,RB/0.02,OB/0.37,RP/0
2939.89;169.31;68.87;PP/52.3,TA/12.33,IS/0.01,PS/2.47,RB/0.02,OB/0.37,RP/0
2999.98;169.23;69.43;PP/52.7,TA/12.4,IS/0.01,PS/2.48,RB/0.02,OB/0.38,RP/0
3059.99;169.41;69.79;PP/52.91,TA/12.47,IS/0.01,PS/2.49,RB/0.02,OB/0.39,RP/0
3119.94;169.86;70.31;PP/53.27,TA/12.54,IS/0.01,PS/2.51,RB/0.02,OB/0.4,RP/0
