#TimeStamp;DistanceTraveled
59.87;1299.32
119.92;798.9
179.87;293.78
239.96;260.38
300;416.07
359.86;357
419.87;453.17
479.87;588.63
539.94;483.66
599.92;436.27
659.78;257.51
719.97;477.5
779.99;578.8
839.74;499.62
899.79;353.02
959.92;347.34
1019.86;359.01
1079.98;507.57
1139.89;687.3
1199.61;356.25
1259.99;445.52
1319.72;389.88
1379.73;507.42
1439.76;494.45
1499.89;518.56
1559.96;391.84
1619.6;413.52
1679.98;545.04
1739.87;462.18
1799.97;508.63
1859.97;492.84
1919.97;329.63
1979.82;429.27
2039.71;648.39
2099.97;467.38
2159.98;468.19
2219.97;538.46
2279.93;569.12
2339.99;585.59
2399.87;359.38
2459.81;433.22
2519.72;480.24
2579.96;569.24
2639.96;673.99
2699.71;519.4
2759.7;382.31
2819.73;461.07
2879.71;592.74
2939.89;603.91
2999.98;506.53
3059.99;476.58
3119.94;470.03
3179.95;707.01
3239.98;547.69
3299.96;467.72
3359.82;504.24
3419.93;437.63
3479.66;640.17
3539.88;586.34
3599.95;483.61
3659.98;496.28
3719.89;607.76
3779.98;570.09
3839.68;553.31
3899.82;429.33
3959.94;618
4019.78;717.8
4079.91;689.97
4139.96;693.7
4199.94;614.24
4259.78;468.01
4320;455.64
4379.89;515.79
4439.65;561.61
4499.85;539.28
4559.64;576.57
4619.97;623.81
4679.93;546.39
4739.79;491.15
4799.97;485.73
4859.78;456
4919.92;483.02
4979.86;662.54
5039.7;668.05
5099.85;551.72
5159.92;417.9
5219.92;436.26
5279.95;571.36
5339.86;607.06
5399.98;424.62
5459.94;447.22
5519.96;491.83
5579.86;641.31
5639.97;631.78
5699.78;576.71
5759.96;495.47
5819.94;437.16
5879.95;556.83
5939.96;519.82
5999.65;504.34
6059.68;434.97
6119.97;428.94
6180;428.86
6239.97;619.46
6299.84;620.34
6359.99;448.43
6419.79;447.8
6479.89;470.25
6539.91;744.67
6599.7;697.2
6659.62;427.87
6719.96;428.89
6779.92;549.71
6839.83;812.79
6899.99;568.23
6959.92;438.98
7019.92;410.32
7079.78;426.72
7139.94;680.97
7199.94;571.72
7259.92;433.92
7319.87;591.91
7379.75;396.56
7439.69;642.08
7499.93;467.1
7559.91;522.35
7619.84;509.38
7679.93;429.57
7739.96;572.68
7799.83;697.49
7859.99;600.97
7919.75;453.55
7979.97;430.45
8039.97;469.63
8099.78;626.1
8159.87;571.55
8219.99;406.69
8279.97;549.57
8339.98;629.1
8399.58;552.91
8459.76;468.51
8519.84;479.07
8579.87;553.8
8639.89;603.28
8699.97;574.06
8759.95;643.22
8819.8;534.84
8880;509.51
8940;564.77
8999.92;656.92
9059.82;632.48
9119.75;672.64
9179.95;683.01
9239.94;567.12
9299.86;428.71
9359.6;677.84
9419.65;465.54
9479.92;426.21
9539.94;590.29
9599.99;579.29
9659.97;606.79
9719.89;564.42
9779.89;571.15
9839.94;478.81
9899.74;499.08
9959.79;541.76
10019.98;519.51
10079.97;503.44
10139.88;585.67
10200;648.07
10259.72;667.09
10319.99;506.51
10379.8;451.11
10439.85;550.3
10499.96;539.7
10559.89;600.25
10619.99;555.29
10679.97;385.77
10739.8;523.11
10799.94;537.96
10859.64;642.54
10919.95;587.2
10979.81;622.53
11039.95;564.01
11099.91;481.34
11159.94;616.73
11219.77;473.91
11279.8;522.35
11339.74;499.71
11399.87;503.4
11459.96;771.7
11519.89;583.99
11579.88;590.31
11639.96;467.49
11699.98;424.06
11759.98;615.55
11819.99;489.87
11879.8;667.11
11939.94;500.82
11999.72;507.16
12059.98;559.09
12119.99;532.77
12179.99;416.34
12239.89;445.79
12299.94;459.57
12359.88;595.75
12419.98;474.23
12480;597.71
12539.84;391.18
12599.71;568.43
12659.97;462.85
12719.98;541
12779.98;520.04
12839.84;653.37
12899.87;558.48
12959.75;603.75
13019.98;599.06
13079.99;453.04
13139.66;510.79
13199.76;474.24
13259.61;582.72
13319.9;519.37
13379.99;540.43
13439.96;498.07
13499.87;637.42
13559.88;684.42
13619.95;461.05
13679.65;525.11
13739.82;512.2
13799.59;477.09
13859.68;520.24
13919.99;451.57
13979.99;504.79
14039.99;540.35
14099.92;543.2
14159.68;630.69
14219.99;578.1
14279.99;693.19
14339.95;593.19
14399.93;416.32
14459.8;484.22
14519.99;412.51
14579.98;572.46
14639.94;508.79
14699.91;476.79
14759.97;447.62
14819.99;508.24
14879.98;669.16
14939.97;590.37
14999.77;538.8
15059.88;523.28
15119.93;568.6
15179.89;491.45
15239.96;646.07
15300;615.6
15359.99;410.35
15419.98;648.74
15479.9;601.2
15539.98;486.86
15599.98;449.13
15659.9;622.38
15719.97;557.66
15779.9;615.27
15839.94;641.12
15899.69;610.27
15959.64;665.32
16019.93;521.89
16079.98;542.15
16139.82;470.95
16199.96;494.71
16259.72;465.14
16319.98;537.17
16379.99;554.85
16439.96;561.04
16499.91;596.35
16559.97;413.78
16619.96;405.08
16679.98;549.96
16739.87;472.77
16799.98;488.2
16859.93;702.17
16919.89;535.97
16979.98;445.11
17039.86;585.76
17100;566.67
17159.94;691.91
17219.92;532.16
17279.77;517.01
17339.82;651.96
17399.98;596.45
17459.97;519.25
17519.91;501.2
17579.96;640.71
17639.61;562.9
17699.99;375.31
17759.88;435.26
17819.93;494.03
17879.91;506.36
17939.98;614.81
17999.94;617.03
18059.87;496.01
18119.99;523.55
18179.88;530.65
18239.97;500.24
18299.87;488.15
18359.98;599.05
18419.98;573.8
18479.99;572.47
18539.99;538.29
18599.93;455.54
18659.97;494.08
18719.7;541.25
18779.72;429.59
18839.95;561.96
18899.94;555.49
18959.79;652.24
19019.99;632.7
19079.64;463.26
19139.9;450.08
19199.79;636.1
19259.92;628.41
19319.83;580.02
19380;463.8
19439.87;653.22
19499.81;694.74
19559.99;576.74
19619.9;584.39
19679.98;555.86
19739.86;450.77
19799.96;522.77
19859.94;427.6
19919.98;436.77
19979.96;514.41
20039.6;520.24
20099.75;571.01
20159.97;608.25
20219.93;497.92
20279.97;477.87
20339.91;552.63
20399.84;524.38
20459.98;581.83
20519.87;481.06
20579.81;558.96
20639.98;507.86
20699.91;652.88
20759.9;465.5
20819.81;507.1
20879.97;582.59
20939.72;538.63
20999.82;586.2
21059.98;718.06
21119.95;653.8
21179.99;424.13
21239.9;572.15
21299.61;504.52
21359.88;623.75
21419.99;604.29
21479.86;554.09
21539.9;398.01
21599.87;492.17
21659.8;520.84
21719.86;563.85
21779.96;641.66
21839.89;409.7
21899.97;590.16
21959.75;468.15
22019.82;539.28
22079.99;597.31
22139.9;506.62
22199.89;542.04
22259.97;696.11
22319.91;500.25
22379.77;519
22439.85;420.55
22499.98;497.53
22559.79;600.78
22619.98;543.9
22679.95;636.59
22739.8;517.63
22799.88;380.6
22859.85;500.01
22919.65;605.71
22979.61;534.58
23039.7;682.43
23099.92;363.52
23159.85;576.54
23219.81;582.4
23279.98;683.05
23339.99;813.66
23399.96;523.43
23459.88;459.55
23519.8;608.35
23579.94;768.06
23639.86;593.74
23699.77;506.28
23759.69;462.33
23819.81;415.58
23879.75;451.34
23939.86;528.41
23999.98;546.35
24059.87;578.23
24119.92;567.36
24179.99;531.6
24239.98;482.12
24299.81;589.03
24359.95;657.71
24419.79;643.72
24479.97;640.35
24539.99;544.74
24599.88;603.85
24659.96;622.13
24719.83;389.35
24779.97;488.6
24839.89;586.68
24899.83;661.17
24959.64;587.58
25019.98;430.39
25080;565.12
25139.97;549.36
25199.96;555.93
25259.98;663.4
25319.76;643.08
25379.91;546.8
25439.96;616.33
25499.9;513.89
25559.96;567.84
25620;553.85
25679.99;594.58
25739.91;645.66
25799.78;576.33
25859.89;473.9
25919.95;544.09
25979.98;479.47
26039.81;439.49
26099.93;432.85
26159.91;616.57
26219.83;617.82
26279.96;521.37
26339.98;636.8
26399.82;611.27
26459.68;624.98
26519.8;601.56
26579.86;603.75
26639.99;609.36
26699.97;669.92
26759.99;436.77
26819.71;490.76
26879.65;476.63
26939.97;561.83
26999.95;558.41
27059.75;650.63
27119.99;666.69
27179.86;726.59
27239.94;401.97
27300;573.79
27359.97;564.51
27419.86;575.02
27479.91;456.33
27539.84;500.5
27599.8;481.65
27659.72;463.03
27719.92;567.9
27779.85;531.8
27839.82;462.77
27899.87;318.81
27959.65;525.2
28019.94;444.89
28079.91;551.27
28139.81;719.79
28199.83;570.29
28259.88;418.31
28319.81;317.87
28379.9;542.52
28440;681.89
28499.97;622.12
28559.99;473.06
28619.97;460.65
28679.98;485.72
28739.93;654.42
28799.84;664.84
