#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;4;4;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/0,1/0,2/0,3/0;0/11,1/11,2/11,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/0
59.96;0;1;4;4;0/59.96,1/59.96,2/59.96,3/59.96;0/46.09,1/36.17,2/59.96,3/43.12;0/59.96,1/59.96,2/59.96,3/59.96;0/59.96,1/59.96,2/59.96,3/59.96;0/893,1/923,2/902,3/897;0/0,1/1,2/1,3/0;0/987,1/985,2/993,3/994;0/11,1/11,2/11,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/0,1/0,2/0,3/1;0/0,1/0,2/0,3/0;0/2,1/3,2/0,3/2
119.99;0;5;4;4;0/92.43,1/66.56,2/108.57,3/64.26;0/47.13,1/36.92,2/61.36,3/50.01;0/119.99,1/119.99,2/119.99,3/119.99;0/119.99,1/119.99,2/119.99,3/119.99;0/893,1/923,2/902,3/897;0/0,1/0,2/1,3/0;0/984,1/979,2/991,3/988;0/11,1/11,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/1,1/1,2/1,3/2;0/3,1/6,2/2,3/6;0/8,1/9,2/6,3/8
179.97;0;10;4;4;0/93.18,1/67.49,2/109.75,3/66.01;0/49.76,1/39.1,2/63.58,3/51.37;0/179.97,1/179.97,2/179.97,3/179.97;0/179.97,1/179.97,2/179.97,3/179.97;0/893,1/946,2/902,3/897;0/0,1/0,2/0,3/0;0/978,1/996,2/985,3/982;0/11,1/11,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/2,1/3,2/2,3/3;0/9,1/12,2/8,3/12;0/14,1/15,2/12,3/14
239.79;0;13;4;4;0/94.28,1/68.43,2/111.08,3/66.55;0/51.38,1/41.1,2/65.6,3/53.6;0/239.79,1/239.79,2/239.79,3/239.79;0/239.79,1/239.79,2/239.79,3/239.79;0/916,1/946,2/902,3/920;0/0,1/2,2/0,3/0;0/995,1/990,2/979,3/999;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/2,1/4,2/3,3/4;0/15,1/18,2/14,3/18;0/20,1/21,2/18,3/19
299.92;0;18;4;4;0/95.59,1/69.55,2/111.48,3/66.98;0/52.86,1/42.45,2/67.32,3/55.72;0/299.92,1/299.92,2/299.92,3/299.92;0/299.92,1/299.92,2/299.92,3/299.92;0/916,1/946,2/925,3/920;0/0,1/0,2/0,3/0;0/989,1/984,2/996,3/993;0/11,1/10,2/10,3/11;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/3,1/5,2/5,3/5;0/21,1/24,2/20,3/24;0/26,1/27,2/24,3/25
359.69;0;21;4;4;0/96.24,1/70.43,2/113.09,3/67.67;0/54.44,1/44.17,2/68.98,3/57.46;0/359.69,1/359.69,2/359.69,3/359.69;0/359.69,1/359.69,2/359.69,3/359.69;0/916,1/946,2/925,3/920;0/0,1/2,2/0,3/0;0/983,1/978,2/990,3/987;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/0,2/0,3/0;0/3,1/7,2/5,3/6;0/27,1/30,2/26,3/30;0/31,1/33,2/30,3/31
419.99;3;26;4;4;0/97.33,1/76.91,2/120.93,3/74.63;0/56.21,1/45.66,2/70.89,3/58.92;0/419.99,1/419.99,2/419.99,3/419.99;0/419.99,1/419.99,2/419.99,3/419.99;0/916,1/939,2/896,3/889;0/0,1/0,2/1,3/0;0/977,1/996,2/985,3/982;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/0,1/1,2/1,3/1;0/5,1/8,2/6,3/7;0/33,1/35,2/31,3/35;0/37,1/38,2/36,3/37
479.92;4;31;4;4;0/105.11,1/77.97,2/121.79,3/75.5;0/58.26,1/46.85,2/72.3,3/61.04;0/479.92,1/479.92,2/479.92,3/479.92;0/479.92,1/479.92,2/479.92,3/479.92;0/913,1/939,2/896,3/889;0/0,1/0,2/0,3/0;0/999,1/990,2/979,3/976;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/5,1/10,2/7,3/9;0/38,1/41,2/37,3/41;0/43,1/44,2/42,3/43
539.97;4;37;4;4;0/106.24,1/78.82,2/122.34,3/76.54;0/59.79,1/48.18,2/73.52,3/63.31;0/539.97,1/539.97,2/539.97,3/539.97;0/539.97,1/539.97,2/539.97,3/539.97;0/913,1/939,2/896,3/916;0/0,1/2,2/0,3/0;0/993,1/984,2/973,3/997;0/10,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/6,1/12,2/9,3/10;0/44,1/47,2/43,3/47;0/49,1/50,2/48,3/49
599.94;4;42;4;4;0/107.32,1/79.61,2/123.53,3/77.9;0/62.13,1/50.4,2/75.6,3/65.59;0/599.94,1/599.94,2/599.94,3/599.94;0/599.94,1/599.94,2/599.94,3/599.94;0/913,1/939,2/924,3/916;0/0,1/0,2/0,3/1;0/987,1/978,2/995,3/991;0/11,1/10,2/10,3/10;0/3,1/2,2/3,3/3;0/6,1/5,2/5,3/5;0/1,1/1,2/1,3/1;0/7,1/13,2/10,3/12;0/50,1/53,2/49,3/53;0/55,1/56,2/54,3/55
