#TimeStamp;TripTime;Type
27;12;O
29;16;O
37;13;O
44;27;O
44;22;O
50;25;O
51;19;O
55;38;I
57;40;O
59;15;I
59;34;O
60;40;O
63;31;O
69;31;O
74;53;O
75;42;O
79;52;O
80;44;I
82;55;O
84;45;O
85;47;I
88;51;O
90;38;O
93;43;I
95;44;I
99;22;I
100;42;I
104;50;I
106;58;O
122;78;O
122;69;I
127;15;O
156;81;I
203;28;O
207;45;O
273;6;O
282;22;O
300;32;O
300;28;O
306;29;O
310;31;O
311;26;O
318;41;O
324;18;O
338;33;O
345;27;O
363;27;O
379;37;O
399;29;O
413;15;O
415;26;O
425;26;O
425;44;O
428;14;I
434;30;O
436;16;O
453;18;O
458;20;O
459;29;O
480;36;I
480;41;I
480;31;O
491;16;O
527;51;I
529;16;O
547;20;O
552;38;O
559;19;O
568;40;O
570;32;O
577;29;O
609;47;O
616;24;O
628;38;O
630;38;O
634;40;O
642;30;O
674;34;O
702;34;O
716;39;O
725;26;O
735;37;O
743;30;O
760;34;O
773;20;O
783;19;O
783;22;O
788;32;I
793;30;O
807;55;I
812;30;I
814;30;O
815;24;O
815;43;I
816;44;O
821;30;O
833;77;O
842;55;O
860;35;O
870;15;O
907;27;O
910;28;O
927;37;O
927;34;O
945;26;O
947;47;O
976;32;O
979;20;O
987;22;O
996;32;O
1012;20;O
1019;19;O
1041;42;O
1046;34;O
1056;21;O
1063;37;O
1071;34;O
1076;17;O
1082;24;O
1103;34;I
1125;19;O
1137;74;I
1138;32;O
1141;40;I
1145;47;O
1147;46;I
1172;28;O
1179;16;O
1183;40;O
1191;20;O
1194;18;O
1208;36;O
1210;30;O
1211;30;O
1216;15;O
1233;36;O
1236;35;O
1237;19;O
1258;58;O
1275;54;O
1296;16;O
1308;56;O
1318;39;O
1319;37;O
1341;53;O
1360;48;O
1362;62;O
1370;22;O
1391;28;I
1404;28;O
1408;19;O
1423;28;O
1437;54;I
1439;43;O
1445;33;I
1448;25;O
1454;39;O
1462;16;O
1469;24;O
1478;61;I
1478;24;O
1482;22;O
1484;24;O
1492;25;O
1498;25;O
1511;10;O
1543;33;O
1552;29;O
1556;32;O
1570;32;O
1585;19;O
1600;49;O
1609;35;O
1614;21;O
1627;42;O
1630;28;O
1644;41;O
1652;47;O
1666;33;O
1673;27;O
1679;31;O
1682;24;I
1690;20;O
1699;21;O
1705;21;O
1714;26;I
1717;39;I
1720;20;I
1734;30;O
1760;33;O
1775;35;O
1790;23;O
1793;23;O
1804;36;O
1810;83;O
1821;32;O
1821;31;O
1825;41;O
1843;32;O
1860;27;O
1867;33;O
1885;32;O
1898;37;O
1900;24;O
1908;28;O
1920;30;O
1921;15;O
1930;22;O
1956;28;O
1960;21;O
1970;45;O
1973;29;O
1993;25;I
2020;29;O
2021;30;I
2036;59;I
2037;51;O
2045;26;O
2045;29;O
2065;53;O
2066;17;O
2069;34;I
2071;26;O
2081;22;O
2084;20;O
2092;37;O
2093;19;O
2110;49;O
2124;41;O
2126;41;O
2161;63;O
2164;37;O
2171;22;O
2181;34;O
2192;47;O
2197;66;O
2207;17;O
2218;28;O
2230;16;O
2231;55;O
2232;13;O
2235;34;O
2255;53;O
2258;23;O
2260;26;O
2281;31;O
2282;44;O
2311;32;O
2314;26;O
2317;35;I
2336;58;I
2351;21;O
2351;43;I
2352;30;O
2353;30;O
2354;28;O
2388;23;O
2396;41;I
2396;30;O
2396;32;O
2399;20;O
2420;45;O
2427;36;O
2433;30;O
2433;56;O
2434;36;O
2439;20;O
2447;29;O
2457;19;O
2515;30;O
2525;31;O
2532;24;O
2532;31;O
2538;23;O
2544;26;O
2547;42;O
2571;37;I
2582;20;O
2584;36;O
2605;27;O
2614;23;O
2622;39;O
2638;18;O
2640;37;O
2641;6;I
2648;52;I
2650;27;O
2658;21;O
2662;36;O
2663;48;I
2666;16;O
2686;27;O
2698;49;O
2750;23;O
2752;45;O
2754;27;O
2765;26;O
2771;31;O
2773;28;O
2781;21;O
2791;45;O
2794;57;O
2798;38;O
2811;28;O
2821;58;O
2834;43;O
2834;27;O
2845;30;O
2865;28;O
2870;34;O
2875;35;I
2885;18;O
2893;31;O
2899;14;O
2905;36;I
2911;37;O
2912;18;O
2926;25;O
2929;30;O
2932;43;I
2981;27;O
2991;30;O
2995;47;I
2996;50;O
3002;23;O
3006;47;O
3021;34;O
3025;23;O
3034;36;O
3043;28;O
3045;26;O
3059;13;O
3061;22;O
3069;27;O
3071;27;O
3127;16;O
3130;21;O
3131;21;O
3145;23;O
3148;25;O
3159;31;O
3169;14;O
3171;43;O
3187;28;O
3187;56;I
3197;19;O
3206;37;O
3209;37;I
3231;38;O
3240;25;O
3242;59;I
3250;19;O
3254;22;O
3266;25;O
3270;21;O
3296;35;O
3297;48;I
3312;27;O
3339;41;O
3341;26;O
3377;36;O
3379;51;O
3385;28;O
3391;35;O
3398;33;O
3400;54;O
3427;20;O
3435;31;O
3438;10;O
3445;34;O
3445;46;I
3452;20;O
3455;32;O
3459;12;O
3464;22;O
3484;32;O
3514;29;O
3522;47;I
3531;52;I
3538;23;O
3545;28;O
3548;23;O
3557;52;O
3579;46;I
3593;28;O
3599;28;O
3619;24;O
3626;35;O
3630;39;O
3632;19;O
3637;31;O
3648;33;O
3648;30;O
3656;21;O
3657;33;O
3663;22;O
3670;34;O
