#TimeStamp;Bot;Pod;OutputStation
35.68;11;433;1
35.79;29;70;3
45.79;11;433;1
45.88;25;373;0
53.06;5;73;3
55.83;11;433;1
55.97;25;373;0
60.22;30;427;2
63.15;5;73;3
65.91;11;433;1
66.06;25;373;0
70.28;30;427;2
73.19;5;73;3
76.03;11;433;1
76.15;25;373;0
80.33;30;427;2
83.25;5;73;3
86.09;11;433;1
86.2;25;373;0
90.71;30;427;2
93.32;5;73;3
96.13;11;433;1
96.24;19;97;0
100.76;30;427;2
106.28;11;433;1
106.36;19;97;0
110.87;8;141;2
116.36;11;433;1
116.68;19;97;0
116.74;9;267;3
120.91;8;141;2
126.72;2;135;1
126.77;19;97;0
126.81;9;267;3
131.22;8;141;2
136.77;2;135;1
136.81;19;97;0
137.03;9;267;3
141.38;8;141;2
146.81;2;135;1
146.85;19;97;0
147.21;9;267;3
151.8;10;482;2
156.85;2;135;1
157.21;19;97;0
157.63;7;406;3
162.11;10;482;2
167.1;26;13;1
167.63;1;84;0
167.68;7;406;3
172.44;10;482;2
177.36;26;13;1
177.68;1;84;0
178.11;7;406;3
182.49;10;482;2
187.68;26;13;1
188.06;1;84;0
188.32;7;406;3
192.66;28;87;2
198.06;26;13;1
198.32;1;84;0
198.65;7;406;3
202.71;28;87;2
208.32;0;498;1
208.54;1;84;0
208.75;7;406;3
212.75;28;87;2
218.54;0;498;1
218.58;1;84;0
218.79;7;406;3
222.81;28;87;2
228.58;0;498;1
228.63;1;84;0
228.84;16;347;3
232.87;28;87;2
238.63;24;170;1
238.88;16;347;3
239.12;14;303;0
243.3;28;87;2
248.67;24;170;1
248.93;16;347;3
249.18;14;303;0
253.38;21;398;2
258.72;24;170;1
259.01;16;347;3
259.6;27;334;0
263.68;21;398;2
268.83;24;170;1
269.06;16;347;3
269.76;27;334;0
274.1;21;398;2
278.88;24;170;1
279.1;16;347;3
279.88;27;334;0
284.35;21;398;2
288.97;24;170;1
289.14;16;347;3
290;4;265;0
294.44;21;398;2
299.02;11;76;1
299.2;16;347;3
300.04;4;265;0
304.57;21;398;2
309.11;11;76;1
309.62;16;347;3
310.09;4;265;0
314.64;21;398;2
319.2;11;76;1
319.83;16;347;3
320.29;4;265;0
324.68;30;502;2
329.24;11;76;1
330;16;347;3
330.71;4;265;0
334.73;30;502;2
339.29;11;76;1
340.04;9;227;3
340.9;4;265;0
344.77;30;502;2
349.34;11;76;1
350.09;9;227;3
351.35;4;265;0
354.82;30;502;2
359.38;11;76;1
360.51;9;227;3
361.78;19;174;0
365.24;30;502;2
369.43;11;76;1
370.69;9;227;3
372.2;19;174;0
375.29;28;549;2
379.47;11;76;1
380.88;5;202;3
382.24;19;174;0
385.33;28;549;2
389.55;11;76;1
390.94;5;202;3
392.29;25;162;0
395.37;8;223;2
399.97;11;76;1
401.16;5;202;3
402.6;25;162;0
405.57;8;223;2
410.02;11;76;1
411.2;5;202;3
412.89;25;162;0
415.79;10;522;2
420.13;11;76;1
421.25;5;202;3
422.94;25;162;0
425.93;10;522;2
430.34;0;283;1
431.29;5;202;3
433.32;14;131;0
436.09;10;522;2
440.46;0;283;1
441.34;5;202;3
443.46;14;131;0
446.29;21;424;2
450.5;0;283;1
451.38;29;108;3
453.5;14;131;0
456.33;21;424;2
460.66;0;283;1
461.43;29;108;3
463.55;14;131;0
466.45;21;424;2
470.79;0;283;1
471.47;29;108;3
473.59;14;131;0
476.59;21;424;2
481.04;2;420;1
481.52;29;108;3
483.64;14;131;0
486.64;21;424;2
491.18;2;420;1
491.57;29;108;3
496.69;21;424;2
497.78;1;130;0
501.23;2;420;1
501.94;7;370;3
507.06;21;424;2
507.83;1;130;0
511.55;2;420;1
512.36;7;370;3
517.32;21;424;2
517.99;1;130;0
521.6;26;260;1
522.4;7;370;3
527.38;30;333;2
528.24;1;130;0
531.64;26;260;1
532.78;16;168;3
537.43;30;333;2
538.3;1;130;0
541.71;26;260;1
542.99;16;168;3
547.48;8;51;2
548.72;27;357;0
551.75;26;260;1
553.12;9;278;3
558.91;27;357;0
561.91;26;260;1
562.06;28;71;2
563.2;9;278;3
569;19;386;0
571.98;26;260;1
572.25;28;71;2
