#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/32,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.96;5;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/20,Rest/1
119.9;16;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
179.88;17;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/14,Rest/7
239.75;14;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/12,Rest/8
299.73;10;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/12,Rest/8
359.82;13;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/14,Rest/6
419.93;11;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/12,Rest/8
479.85;8;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
539.97;15;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/16,Rest/5
599.98;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
660;17;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
719.96;14;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/13,Rest/6
779.96;8;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
839.92;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
899.98;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
959.97;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
1019.64;13;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/16,Rest/4
1079.74;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
1139.63;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/17,Rest/1
1199.98;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
1259.97;15;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/14,Rest/6
1319.87;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
1379.99;8;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/14,Rest/6
1439.86;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
1499.85;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
1559.58;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
1619.89;12;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
1679.95;9;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/18,Rest/0
1739.63;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
1799.88;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
1859.98;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
1919.98;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
1979.94;10;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/14,Rest/4
2039.96;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/17,Rest/3
2099.63;17;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
2159.98;13;None/0,ParkPod/6,RepositionPod/0,Insert/11,Extract/13,Rest/2
2219.95;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
2279.75;11;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/19,Rest/0
2339.96;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
2399.67;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
2460;13;None/0,ParkPod/7,RepositionPod/0,Insert/11,Extract/13,Rest/1
2519.97;13;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/17,Rest/0
2579.85;11;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/13,Rest/3
2639.98;9;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
2699.94;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/12,Rest/4
2759.98;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
2819.84;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/17,Rest/1
2879.67;12;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/15,Rest/3
2939.98;12;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
2999.58;16;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
3059.83;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/13,Rest/4
3119.96;14;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/16,Rest/4
3179.99;9;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
3239.86;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
3299.99;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
3359.98;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
3419.86;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/14,Rest/4
3479.98;10;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/18,Rest/2
3539.91;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
3599.99;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
3659.92;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
3719.74;12;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
3780;8;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
3839.86;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/17,Rest/1
3899.83;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
3960;17;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/17,Rest/0
4019.99;12;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/16,Rest/2
4079.86;11;None/0,ParkPod/7,RepositionPod/0,Insert/11,Extract/14,Rest/0
4139.7;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
4199.68;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
4259.88;11;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/16,Rest/3
4320;8;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/15,Rest/3
4379.98;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
4439.67;13;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
4499.72;14;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
4559.98;11;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/13,Rest/3
4619.96;7;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/14,Rest/3
4679.9;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
4739.86;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
4799.99;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
4859.72;14;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/17,Rest/3
4919.96;11;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/16,Rest/2
4979.97;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
5040;13;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/14,Rest/6
5099.91;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
5159.97;15;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/16,Rest/2
5219.82;9;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
5279.73;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
5339.95;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
5399.99;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/16,Rest/0
5459.9;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
5519.89;8;None/0,ParkPod/6,RepositionPod/0,Insert/11,Extract/13,Rest/2
5580;8;None/0,ParkPod/6,RepositionPod/0,Insert/11,Extract/14,Rest/1
5639.96;15;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
5699.67;16;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
5759.96;10;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/17,Rest/0
5819.99;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
5879.82;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
5939.82;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/17,Rest/0
5999.98;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
6059.99;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
6119.96;12;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/17,Rest/2
6179.76;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
6239.98;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
6299.9;12;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
6359.88;16;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
6419.96;12;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/14,Rest/4
6479.79;8;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/12,Rest/6
6539.95;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
6599.81;14;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/18,Rest/0
6659.98;17;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
6719.96;11;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/15,Rest/3
6779.96;8;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
6839.98;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
6899.98;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
6959.74;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
7019.98;11;None/0,ParkPod/7,RepositionPod/0,Insert/8,Extract/13,Rest/4
7079.94;9;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/14,Rest/5
7140;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
7199.89;17;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
7259.98;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/13,Rest/5
7319.78;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
7379.96;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
7439.91;12;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
7499.91;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
7559.86;14;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/14,Rest/2
7619.97;9;None/0,ParkPod/6,RepositionPod/0,Insert/9,Extract/12,Rest/5
7679.98;8;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
7739.92;17;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/17,Rest/2
7799.94;15;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
7859.8;12;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/15,Rest/5
7919.67;14;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/14,Rest/6
7979.99;7;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/14,Rest/3
8039.94;12;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/14,Rest/3
8099.93;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/15,Rest/3
8159.77;14;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
8219.66;14;None/0,ParkPod/3,RepositionPod/0,Insert/10,Extract/17,Rest/2
8279.89;11;None/0,ParkPod/2,RepositionPod/0,Insert/10,Extract/15,Rest/5
8339.74;11;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
8399.77;13;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
8459.89;13;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
8519.96;15;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/15,Rest/1
8579.94;9;None/0,ParkPod/5,RepositionPod/0,Insert/9,Extract/16,Rest/2
8639.98;9;None/0,ParkPod/6,RepositionPod/0,Insert/11,Extract/15,Rest/0
8699.6;16;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
8759.82;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
8819.96;16;None/0,ParkPod/1,RepositionPod/0,Insert/11,Extract/17,Rest/3
8879.88;14;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/15,Rest/2
8939.71;11;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/16,Rest/3
8999.98;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/13,Rest/5
9059.99;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
9119.92;13;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
9179.86;14;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/16,Rest/2
9239.79;11;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
9299.85;10;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/15,Rest/4
9359.83;11;None/0,ParkPod/4,RepositionPod/0,Insert/11,Extract/16,Rest/1
9419.82;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
9479.94;15;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/16,Rest/2
9539.93;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/16,Rest/2
9599.99;8;None/0,ParkPod/6,RepositionPod/0,Insert/10,Extract/14,Rest/2
9659.97;10;None/0,ParkPod/3,RepositionPod/0,Insert/11,Extract/14,Rest/4
9719.65;14;None/0,ParkPod/0,RepositionPod/0,Insert/11,Extract/18,Rest/3
9779.66;17;None/0,ParkPod/2,RepositionPod/0,Insert/11,Extract/18,Rest/1
9839.89;13;None/0,ParkPod/4,RepositionPod/0,Insert/10,Extract/17,Rest/1
9899.99;11;None/0,ParkPod/5,RepositionPod/0,Insert/10,Extract/14,Rest/3
9959.76;9;None/0,ParkPod/5,RepositionPod/0,Insert/11,Extract/16,Rest/0
