#TimeStamp;Bot;Pod;OutputStation
49.44;11;779;2
52.22;4;473;3
54.15;0;778;1
58.88;23;36;0
64.08;0;778;1
68.9;23;36;0
74.2;0;778;1
76.94;13;6;2
78.86;23;36;0
82.56;17;326;3
86.99;13;6;2
92.25;17;326;3
95.91;5;232;0
97.03;13;6;2
100.51;18;215;1
102.57;17;326;3
106.21;5;232;0
110.55;18;215;1
115.58;6;63;3
116.26;5;232;0
116.77;14;401;2
120.6;18;215;1
125.62;6;63;3
126.71;5;232;0
126.75;14;401;2
130.75;18;215;1
135.67;6;63;3
136.75;14;401;2
138.62;10;626;0
143.12;3;358;1
145.68;6;63;3
146.96;14;401;2
150.05;8;409;0
153.53;3;358;1
156.04;6;63;3
158.25;7;387;2
160;8;409;0
164.77;19;177;1
166.12;6;63;3
168.58;7;387;2
170.14;8;409;0
174.98;19;177;1
177.56;25;549;3
178.63;7;387;2
180.51;8;409;0
185.03;19;177;1
187.56;25;549;3
188.56;7;387;2
190.58;8;409;0
194.98;19;177;1
199.45;4;247;3
200.09;11;474;2
201.98;16;201;0
205.34;19;177;1
209.58;4;247;3
210.31;11;474;2
212.03;16;201;0
217.19;0;468;1
219.67;4;247;3
222.36;16;201;0
222.49;13;424;2
227.24;0;468;1
231.05;17;1;3
232.49;16;201;0
232.54;13;424;2
237.31;0;468;1
241.15;17;1;3
242.56;13;424;2
243.98;23;564;0
247.54;0;468;1
251.49;17;1;3
252.58;13;424;2
253.78;23;564;0
259.58;18;352;1
261.55;17;1;3
262.63;13;424;2
264.14;23;564;0
269.62;18;352;1
271.27;17;1;3
274.03;14;293;2
274.14;23;564;0
280.04;18;352;1
282.88;25;387;3
284.15;23;564;0
284.15;14;293;2
294.23;6;232;3
295.1;5;391;0
295.1;7;196;2
304.35;6;232;3
305.27;5;391;0
305.27;7;196;2
306.25;3;636;1
314.34;6;232;3
315.37;7;196;2
315.48;5;391;0
316.34;3;636;1
325.48;7;196;2
325.52;5;391;0
325.57;4;277;3
335.42;7;196;2
335.57;5;391;0
335.77;4;277;3
345.57;5;391;0
345.93;4;277;3
347.08;11;6;2
349.7;19;49;1
357.19;11;6;2
359.84;19;49;1
369.92;19;49;1
375.54;13;599;2
376.54;17;633;3
379.85;19;49;1
385.83;13;599;2
386.58;17;633;3
387.01;8;492;0
389.97;19;49;1
396.94;8;492;0
398.01;14;201;2
398.01;25;510;3
400.04;19;49;1
408.03;14;201;2
408.08;25;510;3
410.14;19;49;1
418.08;14;201;2
418.14;25;510;3
422.95;0;109;1
424.5;16;86;0
430.3;6;342;3
432.9;0;109;1
434.85;16;86;0
440.53;6;342;3
443.03;0;109;1
444.76;7;121;2
444.9;16;86;0
450.69;6;342;3
454.16;18;217;1
454.92;7;121;2
454.96;16;86;0
461.01;6;342;3
464.2;18;217;1
464.96;7;121;2
465.18;16;86;0
471.11;6;342;3
474.6;18;217;1
475.6;16;86;0
478.05;11;2;2
481.53;6;342;3
486.33;3;618;1
487.3;23;708;0
488.13;11;2;2
491.68;6;342;3
496.73;3;618;1
497.61;23;708;0
502.1;6;342;3
506.74;3;618;1
507.65;23;708;0
512.17;13;362;2
513.76;4;336;3
516.68;3;618;1
517.75;23;708;0
522.22;13;362;2
523.78;4;336;3
526.8;3;618;1
529.74;10;600;0
532.42;13;362;2
535.15;17;490;3
536.87;3;618;1
539.59;10;600;0
542.27;13;362;2
545.5;17;490;3
548.44;19;196;1
549.78;10;600;0
552.46;13;362;2
555.76;17;490;3
559.93;10;600;0
564.69;14;51;2
566.93;0;28;1
567.89;25;335;3
569.96;10;600;0
574.77;14;51;2
576.97;0;28;1
577.95;25;335;3
579.95;10;600;0
584.9;14;51;2
586.99;0;28;1
587.99;25;335;3
591.54;5;247;0
594.95;14;51;2
598.08;25;335;3
601.66;5;247;0
604.99;14;51;2
608.25;25;335;3
614.49;8;193;0
624.86;8;193;0
629.43;18;607;1
630.7;6;699;3
634.96;8;193;0
639.47;18;607;1
640.83;6;699;3
645.25;8;193;0
647.66;7;336;2
649.36;18;607;1
651.01;6;699;3
657.38;16;510;0
657.49;7;336;2
659.3;18;607;1
661.05;6;699;3
667.49;16;510;0
669.53;18;607;1
671.47;6;699;3
681.47;19;404;1
683.15;4;167;3
691.52;19;404;1
692.11;13;775;2
693.61;23;512;0
693.61;4;167;3
702.42;13;775;2
702.87;3;657;1
703.61;23;512;0
703.83;4;167;3
712.83;13;775;2
713.21;3;657;1
713.83;23;512;0
713.83;4;167;3
723.21;3;657;1
723.21;13;775;2
723.87;23;512;0
723.87;4;167;3
733.25;3;657;1
733.25;13;775;2
733.91;23;512;0
743.34;3;657;1
744.29;23;512;0
745.09;11;664;2
