#TimeStamp;Runtime;Requests
0.88;0.62;26
1.88;0.01;1
5.3;0.02;1
10.68;0.01;1
13.2;0.01;1
14.32;0;1
15.37;0;2
16.68;0;2
17.93;0;3
18.98;0;2
20;0;1
21.09;0;1
22.13;0;2
23.18;0;2
24.22;0;1
25.27;0.01;2
26.31;0.02;3
27.31;0.02;2
28.4;0.02;2
29.44;0.01;1
30.48;0.09;5
31.48;0.3;4
32.53;0.01;3
33.57;0.01;4
34.62;0.13;5
35.62;0.02;2
36.62;0.01;2
37.62;0.05;3
38.62;0.04;3
39.62;0.11;3
40.62;0.12;4
41.62;0.05;2
42.62;1.01;3
43.62;1;2
44.62;1;2
45.62;1;2
46.62;0.16;2
47.62;0.04;1
48.62;0.6;1
50.98;0.1;1
52.96;0.64;1
55.2;0.31;1
56.2;0.24;2
57.24;0.38;1
58.24;0.42;1
59.24;0.05;1
60.24;0.04;2
61.27;0.03;3
62.28;0.08;5
63.32;0.1;4
64.37;0.49;4
65.41;0.07;4
66.46;0.07;5
67.5;0.03;4
68.59;0.05;4
69.63;0.11;4
70.68;0.06;5
71.72;0.05;5
72.77;0.08;5
73.81;0.03;5
74.86;0.08;5
75.86;0.04;4
76.94;0.04;4
77.94;0.03;4
78.94;0.03;2
79.99;0.03;2
80.99;0.03;2
81.99;0.02;2
82.99;0.01;3
84;0.01;3
85.03;0.01;3
86.03;0.01;4
87.08;0.01;4
88.12;0.01;4
89.17;0.02;3
90.39;0.01;1
100.55;0.01;1
102.09;0.01;2
103.09;0;1
104.25;0.01;1
105.62;0.01;1
106.66;0.01;1
111.66;0;1
120.45;0;1
125.62;0;1
129.58;0;1
130.71;0;2
134.22;0;1
140.04;0;1
141.87;0;1
148.96;0;1
150.51;0;1
151.56;0;1
152.56;0;1
157.09;0;1
159.59;0;1
163.09;0;1
167.63;0;1
169.58;0;1
170.6;0;1
176.23;0;1
177.27;0.01;1
178.27;0.01;1
180.85;0.01;1
181.92;0.01;1
183.25;0.01;1
184.29;0.01;1
185.34;0.01;2
189.47;0.01;1
191.27;0.01;1
192.32;0;1
193.93;0;1
196.45;0;1
199.03;0;1
200.04;0;1
201.05;0;1
202.06;0;2
203.06;0;1
204.11;0;1
205.11;0;1
206.11;0;1
207.11;0;1
208.19;0;1
209.33;0;2
210.35;0;2
211.4;0;1
212.4;0;2
213.45;0;2
214.49;0.01;4
215.49;0;1
216.67;0;1
217.72;0;1
218.89;0;1
220;0;2
221.06;0;1
222.11;0;1
223.13;0;3
224.13;0;1
225.24;0;1
226.28;0;1
227.29;0.01;1
228.29;0.01;1
231.66;0;1
235.86;0;1
236.86;0.01;2
237.96;0.01;1
238.96;0.01;1
245.81;0.02;1
