method,seed,status,error,sim_duration_sec,total_orders_completed,throughput_per_hour,total_energy_mech_kJ,total_energy_idle_kJ,total_energy_with_idle_kJ,energy_per_order_mech_kJ,energy_per_order_with_idle_kJ,stopgo_count_total,stopgo_count_empty,stopgo_count_loaded,stopgo_energy_empty_kJ,stopgo_energy_loaded_kJ,turn_count,turn_count_loaded,turn_energy_empty_kJ,turn_energy_loaded_kJ,turn_energy_kJ,total_travel_distance_m,loaded_distance_m,move_energy_empty_kJ,move_energy_loaded_kJ,total_wait_time_seconds,wait_energy_kJ,e_support_kJ,e_support_loaded_kJ,e_support_empty_kJ,e_support_per_order_kJ,time_idle_sec,robot_utilization,e_support_to_mech_ratio
CBS-energy,42,ok,,28800.0,208.0,26.0,988.0785491811356,64876.5437035051,65864.62225268624,4.750377640293921,316.6568377532992,1888.0,410.0,1478.0,62.10912443873142,690.4227015602065,1590.0,1215.0,7.15002443873142,108.92330910679924,116.07333354553066,12602.0,8813.0,54.95910000000001,581.4993924534074,701257.8269313268,63113.20442381941,63113.20442418491,27484.175944951683,35629.02847923267,303.4288674239659,10.92,0.9999854166666666,63.87468331995428
CBS-energy,43,ok,,28800.0,304.0,38.0,1244.114215043542,65260.58482631168,66504.6990413552,4.0924809705379666,218.76545737287893,2337.0,537.0,1800.0,82.28834299772275,866.494535898552,1964.0,1475.0,9.327542997722752,134.58751413628076,143.91505713400352,15892.000000000004,10798.0,72.9608,731.9070217622711,700618.5348227086,63055.66813404378,63055.66813447328,41872.288497709946,21183.37963676796,207.4199609686621,10.92,0.9999854166666666,50.68318275928262
CBS-energy,44,ok,,28800.0,271.0,33.875,1053.8939700561962,65381.393479162936,66435.28744921915,3.8889076385837495,245.1486621742404,2014.0,432.0,1582.0,64.63414408363784,729.0968641450929,1709.0,1307.0,7.70656908363783,119.02706654856974,126.73363563220757,13034.99999999998,9074.0,56.92757500000001,610.0697975965234,706015.8853107413,63541.42967796671,63541.42967837192,51542.73507093662,11998.694607433565,234.47022021539453,10.92,0.9999854166666666,60.292051652011764
CBS-energy,45,ok,,28800.0,315.0,39.375,1564.8586073125769,65094.10570744497,66658.96431475756,4.967805102579609,211.61575972938905,2928.0,612.0,2316.0,94.98913274648903,1104.5704809683466,2471.0,1911.0,10.576582746489024,175.47069207550297,186.047274821992,19552.99999999997,13751.0,84.41255,929.0997888928434,692566.351698816,62330.971652893444,62330.97165327301,41845.13589447307,20485.835758800575,197.87610048658098,10.92,0.9999854166666666,39.83169556789392
CBS-energy,46,ok,,28800.0,942.0,117.75,4651.681422575349,65161.78010255181,69813.46152512718,4.938090682139436,74.11195490990146,8232.0,1620.0,6612.0,235.73686383108438,3366.5163132317853,6911.0,5424.0,28.523963831084384,523.588646849821,552.1126106809054,53891.99999999979,39524.0,207.21290000000008,2842.9276663819646,640446.0208736662,57640.141878629955,57640.141879122486,28741.158572119723,28898.983306988004,61.18911027507695,10.92,0.9999854166666666,12.391248807234675
CBS-time,42,ok,,28800.0,5647.0,705.875,24342.44417127108,66914.41128277026,91256.85545404135,4.310686058309027,16.160236489116585,47382.0,12025.0,35357.0,1497.2665638369197,17551.027789097738,37450.0,26700.0,206.68756383692173,2658.6948194439833,2865.382383280905,290363.419215755,197715.0,1290.5790000000015,14892.33296965375,280884.30868053605,25279.587781248247,25279.58778126367,15696.090626958714,9583.497154292849,4.4766403012685805,10.92,0.9999854166666666,1.0384983366254819
CBS-time,43,ok,,28800.0,5580.0,697.5,24573.872796432508,66909.37370929381,91483.24650572629,4.4039198559914885,16.39484704403697,47436.0,11840.0,35596.0,1466.6402024392337,17762.995086598705,37476.0,26883.0,203.1658274392352,2687.988026062843,2891.153853502078,290218.35206215637,199249.0,1263.4743750000018,15075.007060535869,280818.59571120894,25273.673614008803,25273.673614024156,15831.597812055863,9442.07580195633,4.529332188893218,10.92,0.9999854166666666,1.0284774330602557
CBS-time,44,ok,,28800.0,5640.0,705.0,24218.077568201235,66922.50586762524,91140.58343582648,4.293985384432843,16.159677914153633,47884.0,12088.0,35796.0,1492.396335337333,17370.41547517414,37661.0,26878.0,207.720960337335,2688.265848228363,2895.986808565698,287954.7438368622,195363.0,1284.6753750000028,14682.149626945782,280122.9707867261,25211.06737080535,25211.067370821213,16055.90364688433,9155.16372392497,4.470047406173974,10.92,0.9999854166666666,1.0410020076871744
CBS-time,45,ok,,28800.0,5683.0,710.375,24052.69442113025,66914.23560321408,90966.93002434433,4.232393880191844,16.00685025943064,47227.0,11961.0,35266.0,1482.7331356290065,17287.345893503003,37121.0,26447.0,205.30336062900795,2626.5512229763026,2831.8545836053104,287288.06156649103,195481.0,1277.4297750000026,14660.794670526711,284212.42846317065,25579.118561685358,25579.11856170123,16228.139934367207,9350.978627322113,4.5009886612178835,10.92,0.9999854166666666,1.0634616693600039
CBS-time,46,ok,,28800.0,5640.0,705.0,24235.942210903453,66906.1523528201,91142.0945637236,4.297152874273662,16.159945844631842,47259.0,12028.0,35231.0,1488.6476159429128,17448.775098402642,37325.0,26629.0,206.44504094291432,2657.3613197977597,2863.806360740674,288355.9408698589,196139.0,1282.2025750000016,14791.413778604867,282713.67162860476,25444.230446574427,25444.2304465902,15786.912890596592,9657.317555981324,4.511388377055,10.92,0.9999854166666666,1.0498552202003169
