#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/26,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;1;None/0,ParkPod/2,RepositionPod/0,Insert/8,Extract/15,Rest/1
119.89;8;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
179.9;8;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/12,Rest/2
239.99;6;None/0,ParkPod/2,RepositionPod/0,Insert/7,Extract/11,Rest/6
299.96;2;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/12,Rest/0
359.96;5;None/0,ParkPod/1,RepositionPod/0,Insert/9,Extract/16,Rest/0
419.99;10;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/14,Rest/1
479.97;6;None/0,ParkPod/3,RepositionPod/0,Insert/9,Extract/14,Rest/0
539.6;5;None/0,ParkPod/5,RepositionPod/0,Insert/6,Extract/12,Rest/3
599.93;5;None/0,ParkPod/2,RepositionPod/0,Insert/9,Extract/12,Rest/3
659.96;3;None/0,ParkPod/4,RepositionPod/0,Insert/8,Extract/14,Rest/0
719.98;3;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/13,Rest/0
779.89;4;None/0,ParkPod/6,RepositionPod/0,Insert/7,Extract/13,Rest/0
839.94;3;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/11,Rest/1
899.97;6;None/0,ParkPod/9,RepositionPod/0,Insert/6,Extract/10,Rest/1
959.96;3;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/13,Rest/0
1019.83;5;None/0,ParkPod/9,RepositionPod/0,Insert/6,Extract/11,Rest/0
1079.88;2;None/0,ParkPod/4,RepositionPod/0,Insert/9,Extract/9,Rest/4
1139.97;3;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/11,Rest/3
1199.81;2;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/10,Rest/2
1259.93;3;None/0,ParkPod/7,RepositionPod/0,Insert/5,Extract/12,Rest/2
1319.83;7;None/0,ParkPod/5,RepositionPod/0,Insert/8,Extract/13,Rest/0
1379.96;6;None/0,ParkPod/6,RepositionPod/0,Insert/8,Extract/12,Rest/0
1439.98;3;None/0,ParkPod/8,RepositionPod/0,Insert/8,Extract/10,Rest/0
1499.91;2;None/0,ParkPod/4,RepositionPod/0,Insert/7,Extract/13,Rest/2
1559.88;3;None/0,ParkPod/3,RepositionPod/0,Insert/7,Extract/12,Rest/4
1619.65;4;None/0,ParkPod/3,RepositionPod/0,Insert/8,Extract/13,Rest/2
1679.97;2;None/0,ParkPod/6,RepositionPod/0,Insert/6,Extract/14,Rest/0
1739.68;2;None/0,ParkPod/7,RepositionPod/0,Insert/7,Extract/11,Rest/1
1799.85;1;None/0,ParkPod/8,RepositionPod/0,Insert/6,Extract/10,Rest/2
