#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.33
59.85;200;200;59.81;59.85;59.85;59.85;0.29;0.33
119.98;200;200;80.59;76.39;119.98;114.74;0.29;0.36
179.8;200;200;118.52;68.65;179.8;171.42;0.29;0.42
239.97;200;200;103.02;70.24;239.97;223.75;0.32;0.39
299.91;200;200;130.95;81.46;299.91;251.84;0.32;0.44
359.96;200;200;127.59;62.09;359.96;320.37;0.3;0.36
419.68;200;200;162.34;54.72;419.68;357.46;0.33;0.45
479.97;200;200;132.78;67.91;479.96;424.02;0.32;0.37
539.87;200;200;154.77;45.92;539.85;417.17;0.3;0.38
599.93;200;200;138.67;61.79;599.9;491.9;0.3;0.39
659.67;200;200;134.35;66.56;659.64;565.82;0.33;0.41
719.94;200;200;128.84;68.27;695.6;527.91;0.31;0.5
779.97;200;200;120.2;83.61;713.15;616.45;0.31;0.41
839.86;200;200;158.76;49.52;751.94;476.25;0.31;0.34
899.87;200;200;168.03;51.21;777.17;661.73;0.29;0.42
959.99;200;200;162.76;63.66;770.62;796.11;0.28;0.39
1019.97;200;200;136.41;70.47;747.02;695.29;0.31;0.36
1079.86;200;200;178.98;66.94;789.44;753.99;0.32;0.32
1139.73;200;200;164.32;66.33;777.96;879.81;0.34;0.33
1199.96;200;200;136.94;76.79;746.01;826.16;0.31;0.31
1259.76;200;200;172.81;82.37;780.44;871.81;0.3;0.31
1319.96;200;200;178.94;81.33;792.64;1039.2;0.29;0.28
1379.97;200;200;209.52;82.91;830.48;1042.31;0.31;0.3
1439.87;200;200;165.68;57.25;811.84;781.21;0.29;0.36
1499.99;200;200;222.96;61.01;871.39;705.7;0.29;0.34
1559.93;200;200;173.94;68.51;837.93;1304.83;0.28;0.38
1619.89;200;200;209.43;49.75;874.87;858.78;0.27;0.27
1679.79;200;200;204.32;63.47;867.07;1119.4;0.27;0.25
1739.81;200;200;210.25;69.89;883.43;1031.05;0.28;0.29
1799.96;200;200;148.79;69.58;829.42;993.88;0.29;0.28
1859.91;200;200;147.12;83.46;827.43;957.62;0.3;0.34
