#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;875;0;0;0;0;0;0;0;0;0
599.93;0.71;878;0;0;0;0;0;0;0;0;0
1199.96;0.73;880;0;0;0;0;0;0;0;0;0
1799.96;0.75;884;0;0;0;0;0;0;0;0;0
2399.64;0.76;886;0;0;0;0;0;0;0;0;0
2999.9;0.77;886;0;0;0;0;0;0;0;0;0
3599.97;0.79;889;0;0;0;0;0;0;0;0;0
4199.97;0.8;892;0;0;0;0;0;0;0;0;0
4799.96;0.81;894;0;0;0;0;0;0;0;0;0
5399.89;0.82;895;0;0;0;0;0;0;0;0;0
5999.94;0.84;897;0;0;0;0;0;0;0;0;0
6600;0.84;899;0;0;0;0;0;0;0;0;0
7199.97;0.84;899;0;0;0;0;0;0;0;0;0
7799.88;0.84;899;0;0;0;0;0;0;0;0;0
8399.9;0.84;899;0;0;0;0;0;0;0;0;0
9000;0.84;899;0;0;0;0;0;0;0;0;0
9599.74;0.83;899;0;0;0;0;0;0;0;0;0
10199.89;0.83;899;0;0;0;0;0;0;0;0;0
10799.71;0.83;899;0;0;0;0;0;0;0;0;0
11400;0.83;899;0;0;0;0;0;0;0;0;0
11999.94;0.82;899;0;0;0;0;0;0;0;0;0
12599.79;0.82;899;0;0;0;0;0;0;0;0;0
13199.98;0.82;899;0;0;0;0;0;0;0;0;0
13800;0.82;899;0;0;0;0;0;0;0;0;0
14400;0.81;899;0;0;0;0;0;0;0;0;0
14999.82;0.81;899;0;0;0;0;0;0;0;0;0
15599.76;0.81;899;0;0;0;0;0;0;0;0;0
16199.98;0.81;899;0;0;0;0;0;0;0;0;0
16799.73;0.8;899;0;0;0;0;0;0;0;0;0
17399.77;0.8;899;0;0;0;0;0;0;0;0;0
17999.97;0.8;899;0;0;0;0;0;0;0;0;0
18599.78;0.8;899;0;0;0;0;0;0;0;0;0
19199.97;0.79;899;0;0;0;0;0;0;0;0;0
19800;0.79;899;0;0;0;0;0;0;0;0;0
20400;0.79;899;0;0;0;0;0;0;0;0;0
20999.92;0.79;899;0;0;0;0;0;0;0;0;0
21599.62;0.79;899;0;0;0;0;0;0;0;0;0
22199.92;0.78;899;0;0;0;0;0;0;0;0;0
22799.94;0.78;899;0;0;0;0;0;0;0;0;0
23399.98;0.78;899;0;0;0;0;0;0;0;0;0
23999.93;0.78;899;0;0;0;0;0;0;0;0;0
24599.75;0.77;899;0;0;0;0;0;0;0;0;0
25199.98;0.77;899;0;0;0;0;0;0;0;0;0
25799.96;0.77;899;0;0;0;0;0;0;0;0;0
26399.93;0.77;899;0;0;0;0;0;0;0;0;0
26999.85;0.76;899;0;0;0;0;0;0;0;0;0
27599.96;0.76;899;0;0;0;0;0;0;0;0;0
28199.97;0.76;899;0;0;0;0;0;0;0;0;0
28799.77;0.76;899;0;0;0;0;0;0;0;0;0
