#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;875;0;0;0;0;0;0;0;0;0
599.87;0.71;878;0;0;0;0;0;0;0;0;0
1199.87;0.73;883;0;0;0;0;0;0;0;0;0
1799.81;0.74;885;0;0;0;0;0;0;0;0;0
2399.99;0.75;885;0;0;0;0;0;0;0;0;0
2999.91;0.76;888;0;0;0;0;0;0;0;0;0
3599.98;0.76;890;0;0;0;0;0;0;0;0;0
4199.84;0.77;890;0;0;0;0;0;0;0;0;0
4799.93;0.77;892;0;0;0;0;0;0;0;0;0
5399.93;0.77;892;0;0;0;0;0;0;0;0;0
5999.96;0.77;892;0;0;0;0;0;0;0;0;0
6599.96;0.77;892;0;0;0;0;0;0;0;0;0
7199.98;0.77;892;0;0;0;0;0;0;0;0;0
7799.98;0.77;892;0;0;0;0;0;0;0;0;0
8399.98;0.77;892;0;0;0;0;0;0;0;0;0
8999.89;0.77;892;0;0;0;0;0;0;0;0;0
9599.98;0.77;892;0;0;0;0;0;0;0;0;0
10199.98;0.77;892;0;0;0;0;0;0;0;0;0
10799.98;0.77;892;0;0;0;0;0;0;0;0;0
11399.96;0.77;892;0;0;0;0;0;0;0;0;0
11999.91;0.77;892;0;0;0;0;0;0;0;0;0
12599.91;0.77;892;0;0;0;0;0;0;0;0;0
13199.87;0.77;892;0;0;0;0;0;0;0;0;0
13799.91;0.77;892;0;0;0;0;0;0;0;0;0
14399.76;0.77;892;0;0;0;0;0;0;0;0;0
15000;0.77;892;0;0;0;0;0;0;0;0;0
15599.89;0.77;892;0;0;0;0;0;0;0;0;0
16200;0.77;892;0;0;0;0;0;0;0;0;0
16799.76;0.77;892;0;0;0;0;0;0;0;0;0
17400;0.77;892;0;0;0;0;0;0;0;0;0
17999.89;0.77;892;0;0;0;0;0;0;0;0;0
18600;0.77;892;0;0;0;0;0;0;0;0;0
19199.89;0.77;892;0;0;0;0;0;0;0;0;0
19800;0.77;892;0;0;0;0;0;0;0;0;0
20399.89;0.77;892;0;0;0;0;0;0;0;0;0
21000;0.77;892;0;0;0;0;0;0;0;0;0
21599.89;0.77;892;0;0;0;0;0;0;0;0;0
22200;0.77;892;0;0;0;0;0;0;0;0;0
22799.89;0.77;892;0;0;0;0;0;0;0;0;0
23400;0.77;892;0;0;0;0;0;0;0;0;0
23999.76;0.77;892;0;0;0;0;0;0;0;0;0
24599.98;0.77;892;0;0;0;0;0;0;0;0;0
25199.84;0.77;892;0;0;0;0;0;0;0;0;0
25799.98;0.77;892;0;0;0;0;0;0;0;0;0
26400;0.77;892;0;0;0;0;0;0;0;0;0
26999.98;0.77;892;0;0;0;0;0;0;0;0;0
27600;0.77;892;0;0;0;0;0;0;0;0;0
28200;0.77;892;0;0;0;0;0;0;0;0;0
28800;0.77;892;0;0;0;0;0;0;0;0;0
