#TimeStamp;TripTime;Type
36;13;O
39;12;O
40;15;O
46;29;O
56;35;O
57;46;O
61;30;I
64;30;I
68;38;O
68;40;O
68;42;I
69;39;O
69;32;O
74;43;I
80;50;O
93;68;O
95;59;O
97;61;I
98;56;I
99;53;O
106;61;I
106;67;O
112;82;O
125;20;O
132;64;I
135;95;O
153;40;O
174;36;O
174;26;O
184;36;I
220;37;O
244;29;O
250;23;O
264;62;O
267;41;O
278;36;O
281;32;O
286;45;O
304;57;I
305;44;I
321;44;O
326;47;I
326;30;O
341;26;O
341;40;O
341;47;O
363;46;I
370;60;O
374;38;O
376;32;O
394;57;I
397;47;I
416;53;O
429;45;I
429;75;I
432;27;O
443;43;O
446;33;O
450;33;O
452;42;O
467;36;O
482;31;O
488;44;O
510;36;O
515;27;O
517;71;O
533;34;O
535;41;O
550;51;O
551;52;I
552;66;I
558;61;I
561;49;O
571;31;O
578;36;O
593;37;O
615;53;O
617;75;I
630;25;O
630;25;O
636;20;O
651;60;I
658;43;I
663;37;O
668;70;I
675;37;O
677;45;O
686;60;O
687;50;I
689;47;O
725;45;O
732;41;O
741;57;O
744;37;I
758;25;O
766;40;I
772;40;I
784;29;O
797;27;O
811;41;O
821;63;O
825;32;I
828;23;O
833;36;O
851;63;I
860;42;O
862;21;O
863;46;I
866;22;O
870;40;O
892;66;O
900;66;O
912;34;O
913;61;I
919;46;I
942;82;I
943;28;O
960;54;O
975;28;O
986;55;I
994;37;O
994;47;O
1006;44;I
1010;15;O
1016;28;O
1017;38;I
1027;41;O
1028;49;O
1051;64;O
1055;35;O
1056;37;I
1063;58;O
1068;60;O
1073;71;O
1082;29;O
1110;25;O
1112;30;O
1118;58;I
1121;33;O
1138;73;I
1140;33;O
1147;59;I
1147;46;O
1153;40;O
1169;51;O
1173;70;O
1190;57;O
1214;48;O
1221;32;O
1229;33;O
1235;62;I
1239;51;I
1258;30;I
1261;47;O
1264;39;O
1266;45;O
1267;35;I
1295;29;O
1297;25;O
1320;35;O
1363;60;I
1394;31;O
1395;20;O
1417;49;O
1422;67;I
1446;39;I
1454;41;I
1532;68;I
1592;46;I
1646;56;I
1692;60;I
1699;61;I
1748;57;I
1790;38;I
1875;48;I
1880;42;I
1906;56;I
1984;52;I
2080;48;I
2104;710;O
2116;822;O
2121;845;O
2145;709;O
2157;723;O
2162;1023;I
2165;848;O
2166;676;O
2170;727;I
2193;704;O
2195;240;I
2205;27;O
2209;42;O
2215;56;I
2239;33;I
2270;38;O
2306;34;O
2307;32;O
2317;62;I
2341;36;O
2397;59;O
2399;71;I
2421;48;O
2435;62;I
2455;32;O
2489;19;O
2501;26;O
2536;28;O
2543;60;I
2557;39;O
2566;56;I
2578;39;I
2582;45;O
2632;26;I
2706;27;I
2768;40;I
2789;51;I
2921;61;I
2962;28;I
3008;63;I
3074;44;I
3172;44;I
3184;27;I
3280;26;I
3282;67;I
3385;46;I
3423;44;I
3486;53;I
3571;20;I
3754;43;I
3949;50;I
4149;51;I
4371;61;I
4533;29;I
4755;51;I
4983;65;I
5214;50;I
5380;17;I
5548;27;I
