#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;124.77;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.85;131.27;0.22;PP/0.03,TA/0.05,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
119.95;132.65;0.23;PP/0.03,TA/0.05,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
179.79;143.97;0.31;PP/0.03,TA/0.12,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
239.75;144.88;0.32;PP/0.04,TA/0.12,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
299.96;149.2;0.34;PP/0.04,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
359.76;149.68;0.34;PP/0.04,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
419.71;150.57;0.35;PP/0.04,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
479.98;154.23;0.37;PP/0.04,TA/0.15,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
539.98;155.5;0.38;PP/0.04,TA/0.15,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
599.65;159.65;0.4;PP/0.04,TA/0.17,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
659.89;161.66;0.41;PP/0.04,TA/0.17,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
719.87;162.5;0.41;PP/0.04,TA/0.17,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
779.82;165.52;0.43;PP/0.04,TA/0.18,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
839.62;167.95;0.44;PP/0.04,TA/0.18,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
899.89;169.1;0.45;PP/0.05,TA/0.19,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
959.58;170.94;0.46;PP/0.05,TA/0.19,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1019.85;172.95;0.47;PP/0.05,TA/0.19,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1079.96;175.88;0.48;PP/0.05,TA/0.2,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1139.75;177.71;0.49;PP/0.05,TA/0.2,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1199.87;181.96;0.51;PP/0.05,TA/0.22,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1259.75;183.65;0.52;PP/0.05,TA/0.22,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1319.62;184.31;0.52;PP/0.05,TA/0.22,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1379.82;186.76;0.54;PP/0.05,TA/0.23,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1439.86;187.48;0.54;PP/0.05,TA/0.23,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1499.63;189.4;0.58;PP/0.06,TA/0.26,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1559.95;189.4;0.59;PP/0.06,TA/0.26,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1619.58;189.41;0.61;PP/0.06,TA/0.27,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1679.61;189.43;0.61;PP/0.06,TA/0.28,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
