#TimeStamp;Bot;Pod;OutputStation
52.23;0;83;0
62.5;0;83;0
72.92;0;83;0
83.34;0;83;0
93.76;0;83;0
104.18;0;83;0
114.6;0;83;0
125.02;0;83;0
135.44;0;83;0
145.73;0;83;0
155.86;0;83;0
166.15;0;83;0
235.05;0;165;0
245.15;0;165;0
255.57;0;165;0
265.68;0;165;0
348.98;0;179;0
359.25;0;179;0
369.67;0;179;0
380.09;0;179;0
390.51;0;179;0
400.85;0;179;0
410.8;0;179;0
481.3;0;157;0
491.54;0;157;0
501.96;0;157;0
512.38;0;157;0
522.53;0;157;0
532.49;0;157;0
542.58;0;157;0
619.85;0;126;0
629.94;0;126;0
640.06;0;126;0
650.17;0;126;0
660.48;0;126;0
670.59;0;126;0
726.98;0;119;0
736.76;0;119;0
795.5;0;34;0
854.11;0;49;0
864.38;0;49;0
874.67;0;49;0
884.8;0;49;0
895.22;0;49;0
905.64;0;49;0
916.06;0;49;0
926.48;0;49;0
983.47;0;165;0
1053.24;0;115;0
1122.52;0;67;0
1195.5;0;204;0
1205.65;0;204;0
1215.78;0;204;0
1226.2;0;204;0
1294.48;0;147;0
1304.24;0;147;0
1314.26;0;147;0
1324.57;0;147;0
1334.68;0;147;0
1344.99;0;147;0
1355.41;0;147;0
1365.83;0;147;0
1376.25;0;147;0
1447.39;0;93;0
1457.49;0;93;0
1467.91;0;93;0
1535.46;0;105;0
1601.26;0;179;0
1663.78;0;38;0
1738.48;0;172;0
1748.76;0;172;0
1759.05;0;172;0
1769.18;0;172;0
1779.6;0;172;0
1838.64;0;11;0
1848.42;0;11;0
1921.81;0;123;0
1932.08;0;123;0
1942.1;0;123;0
1952.5;0;123;0
1962.92;0;123;0
1973.34;0;123;0
2061.93;0;210;0
2072.2;0;210;0
2082.62;0;210;0
2092.91;0;210;0
2170.11;0;118;0
2238.31;0;119;0
2291.39;0;205;0
2345.8;0;124;0
2432.31;0;107;0
2494.97;0;84;0
2504.76;0;84;0
2574.32;0;237;0
2584.11;0;237;0
2594.11;0;237;0
2660.84;0;179;0
2723.23;0;34;0
2789.35;0;164;0
2847.88;0;118;0
2926.99;0;201;0
2937.13;0;201;0
3010.96;0;21;0
3103.98;0;2;0
3165.76;0;112;0
3238.2;0;103;0
3248.34;0;103;0
3258.34;0;103;0
3268.34;0;103;0
3278.34;0;103;0
3346.38;0;181;0
3397.15;0;228;0
3454.51;0;202;0
3464.66;0;202;0
3474.66;0;202;0
3549.22;0;140;0
3559.32;0;140;0
3569.43;0;140;0
3646.05;0;236;0
3656.2;0;236;0
3666.2;0;236;0
3727.5;0;5;0
3793.09;0;228;0
3858.75;0;130;0
3869.02;0;130;0
3879.44;0;130;0
3889.86;0;130;0
3900.24;0;130;0
3983.28;0;4;0
3993.55;0;4;0
4003.78;0;4;0
4013.97;0;4;0
4024.39;0;4;0
4034.81;0;4;0
4045.08;0;4;0
4055.23;0;4;0
4065.65;0;4;0
4075.94;0;4;0
4163.97;0;169;0
4174.06;0;169;0
4184.48;0;169;0
4194.9;0;169;0
4205.32;0;169;0
4215.43;0;169;0
4288.15;0;235;0
4298.43;0;235;0
4308.85;0;235;0
4319.27;0;235;0
4329.69;0;235;0
4340.02;0;235;0
4349.98;0;235;0
4416.72;0;228;0
4474.32;0;45;0
4484.6;0;45;0
4494.89;0;45;0
4505.02;0;45;0
4572.1;0;156;0
4651.11;0;200;0
4661.3;0;200;0
4744.34;0;157;0
4754.62;0;157;0
4765.04;0;157;0
4775.46;0;157;0
4785.88;0;157;0
4796.17;0;157;0
4862.15;0;178;0
4934.17;0;162;0
5023.4;0;197;0
5092.76;0;118;0
5102.81;0;118;0
5184.6;0;131;0
5194.75;0;131;0
5256.05;0;72;0
5265.83;0;72;0
5334.93;0;224;0
5345.08;0;224;0
5400;0;121;0
5457.76;0;207;0
5467.91;0;207;0
5477.91;0;207;0
5563.13;0;27;0
5573.41;0;27;0
5583.65;0;27;0
5593.83;0;27;0
5604.25;0;27;0
5614.67;0;27;0
5625.09;0;27;0
5635.51;0;27;0
5645.8;0;27;0
5655.8;0;27;0
5721.26;0;118;0
5800;0;85;0
5864.39;0;174;0
5922.81;0;124;0
5932.96;0;124;0
6019.55;0;189;0
6029.82;0;189;0
6040.24;0;189;0
6050.53;0;189;0
6060.66;0;189;0
6071.08;0;189;0
6081.5;0;189;0
6091.92;0;189;0
6102.1;0;189;0
6112.34;0;189;0
6122.76;0;189;0
6133.18;0;189;0
6143.36;0;189;0
6219.35;0;65;0
6300.78;0;237;0
6310.98;0;237;0
6392.12;0;201;0
6402.1;0;201;0
6412.29;0;201;0
6477.68;0;197;0
6545.61;0;32;0
6602.09;0;121;0
6686.11;0;220;0
6696.38;0;220;0
6706.67;0;220;0
6780.41;0;201;0
6858.16;0;14;0
6939.27;0;127;0
7024.84;0;100;0
7034.62;0;100;0
7044.62;0;100;0
7114.29;0;5;0
7187.53;0;58;0
7197.81;0;58;0
7208.09;0;58;0
7218.23;0;58;0
7292.93;0;156;0
7381.67;0;80;0
7454.76;0;72;0
7530.88;0;223;0
7540.84;0;223;0
7551.25;0;223;0
7561.3;0;223;0
7571.54;0;223;0
7581.67;0;223;0
7592.09;0;223;0
7664.14;0;124;0
7674.42;0;124;0
7684.71;0;124;0
7694.84;0;124;0
7705.26;0;124;0
7715.68;0;124;0
7778.68;0;161;0
7788.83;0;161;0
7849.56;0;197;0
7859.35;0;197;0
7927.59;0;74;0
7937.73;0;74;0
7994.13;0;126;0
8061.26;0;152;0
8139.14;0;53;0
8197.5;0;173;0
8262.55;0;153;0
8344.09;0;38;0
8354.23;0;38;0
8364.36;0;38;0
8374.78;0;38;0
8384.82;0;38;0
8460;0;131;0
8470.04;0;131;0
8480.42;0;131;0
8490.33;0;131;0
8500.46;0;131;0
8510.75;0;131;0
8577.29;0;46;0
8587.43;0;46;0
8597.56;0;46;0
8607.85;0;46;0
8617.98;0;46;0
8628.4;0;46;0
8697.08;0;112;0
8707.18;0;112;0
8717.29;0;112;0
8727.6;0;112;0
8809.1;0;218;0
8819.38;0;218;0
8829.8;0;218;0
8840.22;0;218;0
8850.65;0;218;0
8861.07;0;218;0
8871.36;0;218;0
8881.45;0;218;0
8953.07;0;155;0
8962.94;0;155;0
9031.03;0;222;0
9095.1;0;12;0
9180.42;0;200;0
9249.66;0;60;0
9350.78;0;66;0
9361.03;0;66;0
9438.74;0;129;0
9522.43;0;109;0
9611.82;0;180;0
9694.43;0;82;0
9704.23;0;82;0
9779.54;0;76;0
9851.65;0;134;0
9861.68;0;134;0
9928.91;0;9;0
9992.94;0;92;0
10053.05;0;207;0
10102.52;0;116;0
10169.34;0;65;0
10249.64;0;211;0
10316.53;0;118;0
10374.28;0;116;0
10428.74;0;49;0
10438.88;0;49;0
10520.42;0;196;0
10530.69;0;196;0
10540.42;0;196;0
10612.38;0;58;0
10697.31;0;6;0
10707.46;0;6;0
10796.11;0;42;0
10867.38;0;76;0
10877.16;0;76;0
10957.7;0;131;0
11047.58;0;187;0
11057.36;0;187;0
11067.67;0;187;0
11078.09;0;187;0
11088.51;0;187;0
11098.93;0;187;0
11109.35;0;187;0
11119.77;0;187;0
11129.69;0;187;0
11139.69;0;187;0
11210.89;0;12;0
11277.66;0;34;0
11334.45;0;147;0
11406.98;0;110;0
11417.12;0;110;0
11427.25;0;110;0
11437.54;0;110;0
11447.67;0;110;0
11458.09;0;110;0
11527.61;0;214;0
11537.88;0;214;0
11548.17;0;214;0
11605.24;0;215;0
11615.02;0;215;0
11689.86;0;236;0
11700.14;0;236;0
11710.56;0;236;0
11720.98;0;236;0
11731.4;0;236;0
11741.82;0;236;0
11752.24;0;236;0
11762.42;0;236;0
11827.1;0;18;0
11837.19;0;18;0
11847.3;0;18;0
11857.3;0;18;0
11867.61;0;18;0
11877.72;0;18;0
11888.03;0;18;0
11984.78;0;64;0
11994.92;0;64;0
12005.05;0;64;0
12015.47;0;64;0
12025.89;0;64;0
12036.31;0;64;0
12046.6;0;64;0
12056.73;0;64;0
12067.02;0;64;0
12146.5;0;32;0
12199.37;0;165;0
12254.24;0;116;0
12264.03;0;116;0
12312.28;0;197;0
12386.12;0;41;0
12460.42;0;174;0
12521.87;0;104;0
12604.58;0;226;0
12681.68;0;211;0
12764.97;0;135;0
12845.71;0;185;0
12921.71;0;5;0
12931.64;0;5;0
12988.51;0;205;0
13045.45;0;40;0
13097.3;0;147;0
13164.33;0;119;0
13174.42;0;119;0
13184.53;0;119;0
13258.17;0;79;0
13268.45;0;79;0
13278.74;0;79;0
13353.44;0;100;0
13363.36;0;100;0
13443.77;0;185;0
13453.86;0;185;0
13525.6;0;118;0
13535.7;0;118;0
13545.81;0;118;0
13611.55;0;60;0
13683.44;0;14;0
13693.53;0;14;0
13703.53;0;14;0
13796.16;0;21;0
13806.25;0;21;0
13816.67;0;21;0
13827.09;0;21;0
13837.51;0;21;0
13847.93;0;21;0
13858.35;0;21;0
13868.77;0;21;0
13879.19;0;21;0
13889.3;0;21;0
13899.3;0;21;0
13977.88;0;93;0
14052.82;0;56;0
14062.56;0;56;0
14072.6;0;56;0
14151.69;0;20;0
14161.76;0;20;0
14171.5;0;20;0
14181.68;0;20;0
14294.21;0;120;0
14304.49;0;120;0
14314.91;0;120;0
14325.33;0;120;0
14335.75;0;120;0
14346.17;0;120;0
14356.46;0;120;0
14425.82;0;27;0
14495.18;0;5;0
14552.26;0;5;0
14625.47;0;207;0
14635.61;0;207;0
14683.39;0;137;0
14752.79;0;67;0
14762.71;0;67;0
14844.55;0;206;0
14854.33;0;206;0
14864.33;0;206;0
14946.52;0;38;0
14956.66;0;38;0
14966.66;0;38;0
14976.66;0;38;0
14986.79;0;38;0
14997.08;0;38;0
15007.21;0;38;0
15017.63;0;38;0
15028.05;0;38;0
15100;0;74;0
15110.18;0;74;0
15120.42;0;74;0
15130.6;0;74;0
15140.84;0;74;0
15151.02;0;74;0
15161.07;0;74;0
15171.36;0;74;0
15239.48;0;92;0
15249.76;0;92;0
15260.18;0;92;0
15270.6;0;92;0
15280.84;0;92;0
15339.13;0;82;0
15349.41;0;82;0
15359.83;0;82;0
15370;0;82;0
15380.42;0;82;0
15390.71;0;82;0
15460.42;0;3;0
15470.61;0;3;0
15481.03;0;3;0
15561.26;0;131;0
15571.41;0;131;0
15581.83;0;131;0
15592.25;0;131;0
15602.67;0;131;0
15613.09;0;131;0
15623.36;0;131;0
15633.2;0;131;0
15697.34;0;228;0
15754.69;0;147;0
15820.42;0;207;0
15875.81;0;173;0
15885.6;0;173;0
15949.44;0;217;0
15959.71;0;217;0
15969.87;0;217;0
16044.7;0;234;0
16116.99;0;106;0
16200.42;0;201;0
16284.13;0;232;0
16381.58;0;193;0
16391.81;0;193;0
16402.1;0;193;0
16412;0;193;0
16422.23;0;193;0
16432.65;0;193;0
16443.07;0;193;0
16453.49;0;193;0
16463.6;0;193;0
16557.58;0;37;0
16654.79;0;8;0
16664.89;0;8;0
16674.99;0;8;0
16746.35;0;222;0
16756.14;0;222;0
16832.5;0;216;0
16842.73;0;216;0
16853.02;0;216;0
16863.15;0;216;0
16920.86;0;49;0
16978.34;0;27;0
17057.43;0;40;0
17108.11;0;32;0
17151.85;0;205;0
17202.52;0;118;0
17265.38;0;228;0
17275.53;0;228;0
17347.74;0;206;0
17428.93;0;224;0
17497.19;0;155;0
17564.14;0;166;0
17574.24;0;166;0
17584.35;0;166;0
17690.25;0;90;0
17758.66;0;27;0
17768.45;0;27;0
17840;0;198;0
17850.04;0;198;0
17860.42;0;198;0
17937.87;0;201;0
18007.35;0;147;0
18084.57;0;155;0
18169.5;0;220;0
18179.65;0;220;0
18264.22;0;14;0
18344.56;0;237;0
18354.7;0;237;0
18364.83;0;237;0
18375.12;0;237;0
18385.25;0;237;0
