#TimeStamp;TripTime;Type
47;28;O
228;21;O
344;34;O
474;24;O
613;26;O
720;11;O
788;13;O
849;15;O
978;17;O
1048;31;O
1116;16;O
1190;21;O
1288;21;O
1441;18;O
1530;22;O
1594;19;O
1658;21;O
1733;34;O
1832;19;O
1916;25;O
2057;31;O
2165;31;O
2231;18;O
2286;6;O
2341;19;O
2427;30;O
2488;9;O
2567;11;O
2654;19;O
2718;17;O
2783;20;O
2841;13;O
2922;26;O
3004;17;O
3099;34;O
3159;12;O
3233;20;O
3341;13;O
3392;14;O
3449;20;O
3542;27;O
3641;31;O
3721;12;O
3788;14;O
3854;21;O
3978;27;O
4157;32;O
4283;27;O
4412;14;O
4469;21;O
4567;23;O
4646;27;O
4739;33;O
4857;29;O
4929;27;O
5017;33;O
5086;14;O
5179;30;O
5249;15;O
5330;20;O
5395;18;O
5452;22;O
5558;39;O
5714;14;O
5795;28;O
5859;30;O
5917;17;O
6014;35;O
6214;27;O
6296;29;O
6387;26;O
6470;10;O
6540;14;O
6597;19;O
6681;38;O
6775;26;O
6851;19;O
6932;33;O
7018;23;O
7107;12;O
7182;20;O
7286;22;O
7376;35;O
7448;14;O
7526;30;O
7659;19;O
7773;21;O
7843;9;O
7922;14;O
7987;15;O
8056;22;O
8132;23;O
8191;20;O
8256;20;O
8339;29;O
8454;31;O
8572;24;O
8690;11;O
8804;25;O
8948;26;O
9024;17;O
9088;12;O
9175;27;O
9243;20;O
9345;33;O
9432;19;O
9517;34;O
9606;34;O
9688;24;O
9772;16;O
9846;22;O
9924;20;O
9988;25;O
10048;23;O
10096;10;O
10164;24;O
10243;22;O
10310;12;O
10367;9;O
10423;16;O
10515;29;O
10605;23;O
10692;24;O
10791;27;O
10860;15;O
10952;31;O
11041;38;O
11204;11;O
11272;18;O
11329;18;O
11402;26;O
11522;23;O
11598;16;O
11685;31;O
11820;22;O
11979;35;O
12141;14;O
12194;17;O
12247;10;O
12305;10;O
12379;20;O
12455;30;O
12517;21;O
12599;33;O
12675;22;O
12758;29;O
12840;33;O
12915;14;O
12983;7;O
13040;27;O
13092;17;O
13157;17;O
13253;27;O
13348;23;O
13437;21;O
13519;13;O
13605;18;O
13677;20;O
13789;27;O
13971;17;O
14046;25;O
14145;25;O
14289;35;O
14419;10;O
14488;13;O
14545;13;O
14620;23;O
14676;9;O
14747;27;O
14838;24;O
14941;29;O
15095;15;O
15234;24;O
15334;21;O
15454;13;O
15556;31;O
15692;14;O
15749;17;O
15815;23;O
15869;20;O
15944;24;O
16039;26;O
16112;24;O
16195;26;O
16279;29;O
16375;26;O
16551;36;O
16648;33;O
16739;18;O
16827;18;O
16916;15;O
16971;11;O
17052;27;O
17103;14;O
17147;8;O
17195;13;O
17260;14;O
17341;24;O
17424;19;O
17492;25;O
17557;18;O
17683;34;O
17751;10;O
17834;18;O
17933;26;O
18002;18;O
18079;26;O
18164;38;O
18257;19;O
18339;29;O
18476;18;O
18607;21;O
18695;27;O
18772;27;O
18870;34;O
19016;23;O
19103;11;O
19196;22;O
19301;32;O
19400;17;O
19476;25;O
19559;33;O
19618;9;O
19688;18;O
19759;21;O
19842;23;O
19942;11;O
20028;24;O
20115;14;O
20195;27;O
20327;24;O
20471;28;O
20584;18;O
20718;20;O
20789;27;O
20876;31;O
20964;19;O
21035;19;O
21104;6;O
21184;21;O
21292;14;O
21368;10;O
21447;23;O
21517;31;O
21599;30;O
21672;33;O
21732;14;O
21807;12;O
21884;31;O
21984;35;O
22103;17;O
22159;10;O
22253;17;O
22324;28;O
22404;26;O
22505;19;O
22589;21;O
22670;27;O
22819;31;O
22896;22;O
23061;32;O
23204;13;O
23276;18;O
23373;32;O
23462;24;O
23532;18;O
23594;19;O
23669;27;O
23736;15;O
23806;21;O
23879;16;O
23957;26;O
24033;18;O
24108;7;O
24155;15;O
24203;9;O
24265;20;O
24333;11;O
24429;29;O
24500;10;O
24576;13;O
24634;7;O
24691;28;O
24805;35;O
24879;20;O
24976;28;O
25098;9;O
25157;7;O
25216;14;O
25274;10;O
25378;38;O
25467;30;O
25585;26;O
25705;35;O
25895;28;O
26020;18;O
26118;24;O
26203;17;O
26276;17;O
26339;19;O
26402;23;O
26469;27;O
26554;27;O
26691;27;O
26803;26;O
26873;19;O
26966;36;O
27035;7;O
27096;17;O
27221;15;O
27339;34;O
27459;18;O
27539;12;O
27624;27;O
27713;21;O
27801;14;O
27860;14;O
27948;29;O
28073;29;O
28159;20;O
28238;17;O
28313;20;O
28388;19;O
28468;14;O
28526;11;O
28619;29;O
28702;19;O
