#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/16;0/0;0/16;0/0;0/1;0/0;0/0;0/0;0/0
59.85;0;0;1;1;0/59.85;0/52.5;0/59.85;0/59.85;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/1
119.95;0;0;1;1;0/119.95;0/56.81;0/119.95;0/119.95;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/7
179.69;0;0;1;1;0/179.69;0/72.09;0/179.69;0/179.69;0/17;0/14;0/17;0/17;0/0;0/1;0/0;0/0;0/0;0/11
239.66;0;1;1;1;0/239.66;0/118.27;0/239.66;0/239.66;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/1;0/0;0/13
299.82;0;1;1;1;0/299.82;0/143.55;0/299.82;0/299.82;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/1;0/0;0/16
359.67;0;2;1;1;0/359.67;0/193.53;0/359.67;0/359.67;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/18
419.96;0;2;1;1;0/419.96;0/196.11;0/419.96;0/419.96;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/2;0/0;0/23
479.84;0;2;1;1;0/479.84;0/234.44;0/479.84;0/479.84;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/2;0/0;0/25
539.83;0;3;1;1;0/539.83;0/259.05;0/539.83;0/539.83;0/17;0/18;0/17;0/21;0/0;0/1;0/0;0/3;0/0;0/29
599.99;0;3;1;1;0/599.99;0/286.56;0/599.99;0/599.99;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/3;0/0;0/32
659.83;0;4;1;1;0/659.83;0/327.02;0/659.83;0/659.83;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/4;0/0;0/34
719.85;0;5;1;1;0/719.85;0/364.26;0/719.85;0/719.85;0/17;0/15;0/17;0/16;0/0;0/1;0/0;0/5;0/0;0/37
779.74;0;5;1;1;0/779.74;0/368.1;0/779.74;0/779.74;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/5;0/0;0/42
839.95;0;6;1;1;0/839.95;0/418.39;0/839.95;0/839.95;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/6;0/0;0/43
899.73;0;7;1;1;0/899.73;0/461.74;0/899.73;0/899.73;0/17;0/15;0/17;0/15;0/0;0/1;0/0;0/7;0/0;0/45
959.82;0;8;1;1;0/959.82;0/511.14;0/959.82;0/959.82;0/17;0/15;0/17;0/15;0/0;0/1;0/0;0/8;0/0;0/46
1019.79;0;9;1;1;0/1019.79;0/567.9;0/1019.79;0/1019.79;0/17;0/15;0/17;0/15;0/0;0/1;0/0;0/9;0/0;0/47
1079.58;0;9;1;1;0/1079.58;0/618.61;0/1079.58;0/1079.58;0/17;0/14;0/17;0/17;0/0;0/1;0/0;0/9;0/0;0/47
1139.76;0;10;1;1;0/1139.76;0/630.34;0/1139.76;0/1139.76;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/10;0/0;0/52
1199.6;0;11;1;1;0/1199.6;0/676.6;0/1199.6;0/1199.6;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/11;0/0;0/54
1259.99;0;11;1;1;0/1259.99;0/730.75;0/1259.99;0/1259.99;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/11;0/0;0/54
1319.64;0;12;1;1;0/1319.64;0/780.48;0/1319.64;0/1319.64;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/12;0/0;0/55
1379.93;0;13;1;1;0/1379.93;0/821.13;0/1379.93;0/1379.93;0/17;0/17;0/17;0/18;0/0;0/1;0/0;0/13;0/0;0/57
1439.91;0;14;1;1;0/1439.91;0/871.2;0/1439.91;0/1439.91;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/14;0/0;0/58
1499.79;0;15;1;1;0/1499.79;0/911.29;0/1499.79;0/1499.79;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/15;0/0;0/60
1559.85;0;16;1;1;0/1559.85;0/959.38;0/1559.85;0/1559.85;0/17;0/17;0/17;0/17;0/0;0/1;0/0;0/16;0/0;0/62
1619.84;0;16;1;1;0/1619.84;0/1011.56;0/1619.84;0/1619.84;0/17;0/17;0/17;0/20;0/0;0/1;0/0;0/16;0/0;0/62
1679.6;0;17;1;1;0/1679.6;0/1042.21;0/1679.6;0/1679.6;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/17;0/0;0/65
1740;0;18;1;1;0/1740;0/1083.02;0/1740;0/1740;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/18;0/0;0/67
1799.72;0;19;1;1;0/1799.72;0/1139.08;0/1799.72;0/1799.72;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/19;0/0;0/68
1859.76;0;19;1;1;0/1859.76;0/1192.87;0/1859.76;0/1859.76;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/19;0/0;0/68
1919.85;0;20;1;1;0/1919.85;0/1220.83;0/1919.85;0/1919.85;0/17;0/18;0/17;0/20;0/0;0/1;0/0;0/20;0/0;0/72
1979.85;0;20;1;1;0/1979.85;0/1224.09;0/1979.85;0/1979.85;0/17;0/21;0/17;0/21;0/0;0/1;0/0;0/20;0/0;0/77
2039.78;0;21;1;1;0/2039.78;0/1278.31;0/2039.78;0/2039.78;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/21;0/0;0/78
2099.82;0;21;1;1;0/2099.82;0/1334.4;0/2099.82;0/2099.82;0/17;0/20;0/17;0/21;0/0;0/1;0/0;0/21;0/0;0/78
2159.83;0;23;1;1;0/2159.83;0/1377.52;0/2159.83;0/2159.83;0/17;0/20;0/17;0/20;0/0;0/1;0/0;0/23;0/0;0/80
