#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;640;0;0;0;0;0;0;0;0;0
599.86;0.7;640;0;0;0;0;0;0;0;0;0
1199.94;0.7;640;0;0;0;0;0;0;0;0;0
1800;0.7;640;0;0;0;0;0;0;0;0;0
2399.71;0.7;640;0;0;0;0;0;0;0;0;0
2999.81;0.7;640;0;0;0;0;0;0;0;0;0
3599.6;0.7;640;0;0;0;0;0;0;0;0;0
4199.76;0.69;640;0;0;0;0;0;0;0;0;0
4799.69;0.69;640;0;0;0;0;0;0;0;0;0
5399.63;0.69;640;0;0;0;0;0;0;0;0;0
5999.7;0.69;640;0;0;0;0;0;0;0;0;0
6599.92;0.69;640;0;0;0;0;0;0;0;0;0
7199.65;0.69;640;0;0;0;0;0;0;0;0;0
7799.82;0.69;640;0;0;0;0;0;0;0;0;0
8399.8;0.69;640;0;0;0;0;0;0;0;0;0
9000;0.69;640;0;0;0;0;0;0;0;0;0
9599.67;0.69;640;0;0;0;0;0;0;0;0;0
10199.66;0.69;640;0;0;0;0;0;0;0;0;0
10799.7;0.69;640;0;0;0;0;0;0;0;0;0
11399.96;0.69;640;0;0;0;0;0;0;0;0;0
11999.96;0.69;640;0;0;0;0;0;0;0;0;0
12599.9;0.69;640;0;0;0;0;0;0;0;0;0
13199.91;0.69;640;0;0;0;0;0;0;0;0;0
13799.72;0.68;640;0;0;0;0;0;0;0;0;0
14399.68;0.68;640;0;0;0;0;0;0;0;0;0
14999.67;0.68;640;0;0;0;0;0;0;0;0;0
15600;0.68;640;0;0;0;0;0;0;0;0;0
16199.63;0.68;640;0;0;0;0;0;0;0;0;0
16799.75;0.68;640;0;0;0;0;0;0;0;0;0
17399.65;0.68;640;0;0;0;0;0;0;0;0;0
17999.84;0.68;640;0;0;0;0;0;0;0;0;0
18599.9;0.68;640;0;0;0;0;0;0;0;0;0
19199.73;0.68;640;0;0;0;0;0;0;0;0;0
19799.76;0.68;640;0;0;0;0;0;0;0;0;0
20399.73;0.68;640;0;0;0;0;0;0;0;0;0
20999.76;0.68;640;0;0;0;0;0;0;0;0;0
21599.92;0.68;640;0;0;0;0;0;0;0;0;0
22199.81;0.68;640;0;0;0;0;0;0;0;0;0
22800;0.67;640;0;0;0;0;0;0;0;0;0
23399.86;0.67;640;0;0;0;0;0;0;0;0;0
23999.94;0.67;640;0;0;0;0;0;0;0;0;0
24599.76;0.67;640;0;0;0;0;0;0;0;0;0
25199.97;0.67;640;0;0;0;0;0;0;0;0;0
25799.7;0.67;640;0;0;0;0;0;0;0;0;0
26399.6;0.67;640;0;0;0;0;0;0;0;0;0
26999.99;0.67;640;0;0;0;0;0;0;0;0;0
27599.59;0.67;640;0;0;0;0;0;0;0;0;0
28199.7;0.67;640;0;0;0;0;0;0;0;0;0
28799.91;0.67;640;0;0;0;0;0;0;0;0;0
