method,seed,status,error,sim_duration_sec,total_orders_completed,throughput_per_hour,total_energy_mech_kJ,total_energy_idle_kJ,total_energy_with_idle_kJ,energy_per_order_mech_kJ,energy_per_order_with_idle_kJ,stopgo_count_total,stopgo_count_empty,stopgo_count_loaded,stopgo_energy_empty_kJ,stopgo_energy_loaded_kJ,turn_count,turn_count_loaded,turn_energy_empty_kJ,turn_energy_loaded_kJ,turn_energy_kJ,total_travel_distance_m,loaded_distance_m,move_energy_empty_kJ,move_energy_loaded_kJ,total_wait_time_seconds,wait_energy_kJ,e_support_kJ,e_support_loaded_kJ,e_support_empty_kJ,e_support_per_order_kJ,time_idle_sec,robot_utilization,e_support_to_mech_ratio
CBS-time,42,ok,,1800.0,52.0,104.0,182.97945798072794,160.7919909114171,343.7714488921451,3.518835730398614,6.610989401772021,165.0,33.0,132.0,13.352197093064406,143.53296227886352,165.0,132.0,3.2442970930644073,30.292145871264765,33.53644296432917,1071.0000000000036,891.0,10.107899999999999,113.24081640759874,681.0858153510267,61.2977233815924,61.297723381590174,57.6789233815905,3.618799999999902,1.178802372722888,0.42,0.9997666666666667,0.33499784105845515
CBS-time,43,ok,,1800.0,44.0,88.0,198.2255000676401,160.69680000000739,358.9223000676475,4.505125001537275,8.157325001537442,180.0,34.0,146.0,13.182451361116636,156.34757542039608,180.0,146.0,3.247501361116637,33.34686393310517,36.5943652942218,1133.5291558772867,960.0,9.934949999999999,123.00071148729093,616.6087013060677,55.4947831175461,55.49478311754427,51.55898311754437,3.935800000000139,1.261245070853279,0.42,0.9997666666666667,0.27995784144122676
CBS-time,44,ok,,1800.0,51.0,102.0,170.26574161101013,160.8376662350989,331.103407846109,3.3385439531570613,6.4922236832570395,160.0,30.0,130.0,15.291130526704968,132.48813161063543,160.0,130.0,2.852080526704968,28.611355614491924,31.46343614119689,1063.9256734567948,845.0,12.43905,103.87677599614352,700.8151803899084,63.07336623509176,63.07336623508957,59.74839999999844,3.324966235091357,1.236732671276266,0.42,0.9997666666666667,0.37044073363382324
CBS-time,45,ok,,1800.0,50.0,100.0,187.3726169841231,160.7704584412351,348.1430754253582,3.747452339682462,6.962861508507164,164.0,35.0,129.0,16.028407413947356,142.8738902215614,164.0,129.0,3.312457413947359,30.2847694577689,33.59722687171626,1077.4700000000007,857.0,12.715949999999998,112.58912076379251,683.8986075146546,61.55087467631891,61.550874676316454,57.809074676316584,3.7418000000001377,1.2310174935263292,0.42,0.9997666666666667,0.32849450291625015
CBS-time,46,ok,,1800.0,49.0,98.0,189.35148348672993,160.70441623509876,350.0558997218287,3.8643159895251005,7.143997953506709,169.0,31.0,138.0,13.548516337598489,149.04305068041654,169.0,138.0,3.1172913375984947,31.60822970978477,34.72552104738327,1108.6423592719398,924.0,10.431224999999994,117.43482097063176,648.8815656823366,58.39934091141029,58.399340911408146,54.673540911408274,3.725800000000125,1.1918232839062888,0.42,0.9997666666666667,0.30841765713180097
CBS-energy,42,ok,,1800.0,52.0,104.0,182.011635958831,160.8205909114169,342.83222687024784,3.5002237684390574,6.592927439812458,165.0,33.0,132.0,13.433053508565933,143.2795868616398,165.0,132.0,3.325153508565935,30.184595346424803,33.50974885499074,1068.3031818568338,890.0,10.107899999999999,113.094991515215,681.5137950974798,61.33624155877318,61.33624155877097,57.68704155877106,3.649200000000127,1.1795431068994418,0.42,0.9997666666666667,0.33699077114303033
CBS-energy,43,ok,,1800.0,44.0,88.0,198.46517786849213,160.69335000000757,359.15852786849973,4.510572224283912,8.162693815193176,181.0,34.0,147.0,13.250578180110507,156.51912640225436,181.0,147.0,3.3156281801105076,33.545454344984414,36.86108252509492,1129.0000000000055,960.0,9.934949999999999,122.97367205726994,616.6584199318277,55.49925779386449,55.49925779386265,51.563457793862774,3.935800000000139,1.261346768042333,0.42,0.9997666666666667,0.2796422948847873
CBS-energy,44,ok,,1800.0,51.0,102.0,170.5787833578157,160.87095000000764,331.44973335782333,3.344682026623837,6.499014379565163,161.0,30.0,131.0,15.320349806614272,132.7719540775317,161.0,131.0,2.881299806614273,28.918128061128396,31.79942786774267,1058.284718625765,845.0,12.43905,103.8538260164033,701.0583333333393,63.09525000000054,63.09524999999832,59.77334999999837,3.321900000000138,1.2371617647058495,0.42,0.9997666666666667,0.3698892016813496
CBS-energy,45,ok,,1800.0,50.0,100.0,187.50107330632204,160.75760000000722,348.2586733063293,3.750021466126441,6.965173466126585,165.0,35.0,130.0,16.110770422882823,142.91998353482484,165.0,130.0,3.3948204228828245,30.361909415663902,33.756729838546725,1071.3569372515165,857.0,12.715949999999998,112.55807411916095,684.5333333333399,61.60800000000059,61.607999999998164,57.86619999999831,3.7418000000001377,1.2321599999999633,0.42,0.9997666666666667,0.32857411914303375
CBS-energy,46,ok,,1800.0,49.0,98.0,189.28731094608008,160.6560831175532,349.94339406363326,3.863006345838369,7.1417019196659846,169.0,31.0,138.0,13.60017778438511,148.92721669298004,169.0,138.0,3.1689527843851164,31.640177333642896,34.809130118028015,1103.7512338159213,923.0,10.431224999999994,117.28703935933713,650.2373160136431,58.521358441227875,58.521358441225615,54.68637532368,3.834983117545828,1.194313437576033,0.42,0.9997666666666667,0.30916683294156927
