#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;45.50;9.50;False;False;True;False;147;34.50;1.50;True;False;False;False;2;19.09388888888884;2.5849394142282115E-26;19.093888888888728;19.093888888888955
12;45.50;9.50;False;False;True;False;166;29.50;2.50;True;False;False;False;1;21.807128430809826;0;21.807128430809826;21.807128430809826
12;45.50;9.50;False;False;True;False;219;34.50;4.50;True;False;False;False;1;20.839999999999918;0;20.839999999999918;20.839999999999918
12;45.50;9.50;False;False;True;False;243;34.50;5.50;True;False;False;False;2;16.42722222222227;1.6155871338926322E-25;16.427222222221985;16.427222222222554
12;45.50;9.50;False;False;True;False;289;32.50;7.50;True;False;False;False;1;22.578333333334058;0;22.578333333334058;22.578333333334058
12;45.50;9.50;False;False;True;False;290;33.50;7.50;True;False;False;False;1;23.06333333333555;0;23.06333333333555;23.06333333333555
12;45.50;9.50;False;False;True;False;303;22.50;8.50;True;False;False;False;1;20.128888888888923;0;20.128888888888923;20.128888888888923
12;45.50;9.50;False;False;True;False;304;23.50;8.50;True;False;False;False;1;19.473888888887814;0;19.473888888887814;19.473888888887814
12;45.50;9.50;False;False;True;False;308;27.50;8.50;True;False;False;False;1;16.795555555555524;0;16.795555555555524;16.795555555555524
12;45.50;9.50;False;False;True;False;353;24.50;10.50;True;False;False;False;1;18.79555555555561;0;18.79555555555561;18.79555555555561
12;45.50;9.50;False;False;True;False;363;34.50;10.50;True;False;False;False;1;12.12888888888881;0;12.12888888888881;12.12888888888881
12;45.50;9.50;False;False;True;False;379;26.50;11.50;True;False;False;False;1;21.62287156919251;0;21.62287156919251;21.62287156919251
12;45.50;9.50;False;False;True;False;427;26.50;13.50;True;False;False;False;1;22.96111111111304;0;22.96111111111304;22.96111111111304
12;45.50;9.50;False;False;True;False;456;31.50;14.50;True;False;False;False;1;22.378888888888696;0;22.378888888888696;22.378888888888696
12;45.50;9.50;False;False;True;False;502;29.50;16.50;True;False;False;False;1;23.712590194950963;0;23.712590194950963;23.712590194950963
12;45.50;9.50;False;False;True;False;504;31.50;16.50;True;False;False;False;1;22.378888888888696;0;22.378888888888696;22.378888888888696
140;27.50;1.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;10.152777777777374;0;10.152777777777374;10.152777777777374
147;34.50;1.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;22.731111111110863;0;22.731111111110863;22.731111111110863
147;34.50;1.50;True;False;False;False;304;23.50;8.50;True;False;False;False;1;15.703888888889082;0;15.703888888889082;15.703888888889082
147;34.50;1.50;True;False;False;False;528;31.50;17.50;True;False;False;False;1;16.60138529242954;0;16.60138529242954;16.60138529242954
166;29.50;2.50;True;False;False;False;222;13.50;5.50;True;False;False;False;1;16.5172222222227;0;16.5172222222227;16.5172222222227
219;34.50;4.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;20.433333333333053;0;20.433333333333053;20.433333333333053
219;34.50;4.50;True;False;False;False;363;34.50;10.50;True;False;False;False;1;5.405555555555111;0;5.405555555555111;5.405555555555111
222;13.50;5.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;35.725000000000364;0;35.725000000000364;35.725000000000364
243;34.50;5.50;True;False;False;False;12;45.50;9.50;False;False;True;False;2;19.45666666666682;0.3085487654316566;19.063888888889323;19.849444444444316
243;34.50;5.50;True;False;False;False;147;34.50;1.50;True;False;False;False;1;4.4494444444441115;0;4.4494444444441115;4.4494444444441115
243;34.50;5.50;True;False;False;False;382;29.50;11.50;True;False;False;False;1;10.889812417171925;0;10.889812417171925;10.889812417171925
274;17.50;7.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;33.68333333333334;0;33.68333333333334;33.68333333333334
289;32.50;7.50;True;False;False;False;424;23.50;13.50;True;False;False;False;1;13.630555555556612;0;13.630555555556612;13.630555555556612
290;33.50;7.50;True;False;False;False;243;34.50;5.50;True;False;False;False;1;5.814444444444916;0;5.814444444444916;5.814444444444916
303;22.50;8.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;38.91120490252092;0;38.91120490252092;38.91120490252092
303;22.50;8.50;True;False;False;False;140;27.50;1.50;True;False;False;False;1;11.783239541921603;0;11.783239541921603;11.783239541921603
304;23.50;8.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;39.30833333333345;0;39.30833333333345;39.30833333333345
304;23.50;8.50;True;False;False;False;386;33.50;11.50;True;False;False;False;1;12.942777777778588;0;12.942777777778588;12.942777777778588
308;27.50;8.50;True;False;False;False;418;17.50;13.50;True;False;False;False;1;14.081111111110971;0;14.081111111110971;14.081111111110971
353;24.50;10.50;True;False;False;False;365;12.50;11.50;True;False;False;False;1;12.173795097476273;0;12.173795097476273;12.173795097476273
363;34.50;10.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;12.03999999999985;0;12.03999999999985;12.03999999999985
363;34.50;10.50;True;False;False;False;243;34.50;5.50;True;False;False;False;1;5.91444444444403;0;5.91444444444403;5.91444444444403
365;12.50;11.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;30.387683986364948;0;30.387683986364948;30.387683986364948
379;26.50;11.50;True;False;False;False;412;11.50;13.50;True;False;False;False;1;15.462871569192657;0;15.462871569192657;15.462871569192657
382;29.50;11.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;19.821666666667397;0;19.821666666667397;19.821666666667397
386;33.50;11.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;17.113333333334253;0;17.113333333334253;17.113333333334253
412;11.50;13.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;32.4466666666674;0;32.4466666666674;32.4466666666674
418;17.50;13.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;27.910555555555447;0;27.910555555555447;27.910555555555447
424;23.50;13.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;24.446666666667397;0;24.446666666667397;24.446666666667397
427;26.50;13.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;21.821666666666374;0;21.821666666666374;21.821666666666374
427;26.50;13.50;True;False;False;False;303;22.50;8.50;True;False;False;False;1;10.228888888889287;0;10.228888888889287;10.228888888889287
456;31.50;14.50;True;False;False;False;219;34.50;4.50;True;False;False;False;1;12.517222222221903;0;12.517222222221903;12.517222222221903
502;29.50;16.50;True;False;False;False;602;33.50;20.50;True;False;False;False;1;8.937222222222772;0;8.937222222222772;8.937222222222772
504;31.50;16.50;True;False;False;False;427;26.50;13.50;True;False;False;False;1;9.295000000000414;0;9.295000000000414;9.295000000000414
528;31.50;17.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;24.077222222221963;0;24.077222222221963;24.077222222221963
602;33.50;20.50;True;False;False;False;12;45.50;9.50;False;False;True;False;1;30.868888888889614;0;30.868888888889614;30.868888888889614
