#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;1;1;0/0;0/0;0/0;0/0;0/0;0/16;0/0;0/16;0/0;0/1;0/0;0/0;0/0;0/0
59.85;0;0;1;1;0/59.85;0/52.5;0/59.85;0/59.85;0/17;0/13;0/17;0/15;0/0;0/1;0/0;0/0;0/0;0/1
119.95;0;0;1;1;0/119.95;0/56.81;0/119.95;0/119.95;0/17;0/14;0/17;0/16;0/0;0/1;0/0;0/0;0/0;0/7
179.73;0;0;1;1;0/179.73;0/72.13;0/179.73;0/179.73;0/17;0/15;0/17;0/17;0/0;0/1;0/0;0/0;0/0;0/11
239.75;0;1;1;1;0/239.75;0/116.69;0/239.75;0/239.75;0/17;0/15;0/17;0/16;0/0;0/1;0/0;0/1;0/0;0/13
299.93;0;1;1;1;0/299.93;0/143.73;0/299.93;0/299.93;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/1;0/0;0/16
359.77;0;2;1;1;0/359.77;0/192.44;0/359.77;0/359.77;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/2;0/0;0/18
419.77;0;2;1;1;0/419.77;0/194.43;0/419.77;0/419.77;0/17;0/19;0/17;0/19;0/0;0/1;0/0;0/2;0/0;0/23
479.82;0;2;1;1;0/479.82;0/254.49;0/479.82;0/479.82;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/2;0/0;0/23
539.61;0;3;1;1;0/539.61;0/257.83;0/539.61;0/539.61;0/17;0/19;0/17;0/20;0/0;0/1;0/0;0/3;0/0;0/29
599.69;0;3;1;1;0/599.69;0/306.28;0/599.69;0/599.69;0/17;0/17;0/17;0/19;0/0;0/1;0/0;0/3;0/0;0/30
659.94;0;4;1;1;0/659.94;0/347.04;0/659.94;0/659.94;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/4;0/0;0/32
719.91;0;5;1;1;0/719.91;0/363.45;0/719.91;0/719.91;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/5;0/0;0/37
779.67;0;5;1;1;0/779.67;0/397.96;0/779.67;0/779.67;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/5;0/0;0/39
839.58;0;7;1;1;0/839.58;0/439.31;0/839.58;0/839.58;0/17;0/16;0/17;0/16;0/0;0/1;0/0;0/7;0/0;0/41
899.73;0;8;1;1;0/899.73;0/488.21;0/899.73;0/899.73;0/17;0/18;0/17;0/18;0/0;0/1;0/0;0/8;0/0;0/42
959.93;0;9;1;1;0/959.93;0/540.82;0/959.93;0/959.93;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/9;0/0;0/43
1019.64;0;9;1;1;0/1019.64;0/588.38;0/1019.64;0/1019.64;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/9;0/0;0/44
1079.59;0;10;1;1;0/1079.59;0/638.41;0/1079.59;0/1079.59;0/17;0/15;0/17;0/18;0/0;0/1;0/0;0/10;0/0;0/45
1139.73;0;11;1;1;0/1139.73;0/655.7;0/1139.73;0/1139.73;0/17;0/16;0/17;0/17;0/0;0/1;0/0;0/11;0/0;0/50
1199.94;0;11;1;1;0/1199.94;0/700.4;0/1199.94;0/1199.94;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/11;0/0;0/51
1259.75;0;12;1;1;0/1259.75;0/730.6;0/1259.75;0/1259.75;0/17;0/16;0/17;0/18;0/0;0/1;0/0;0/12;0/0;0/54
1319.96;0;12;1;1;0/1319.96;0/752.12;0/1319.96;0/1319.96;0/17;0/15;0/17;0/18;0/0;0/1;0/0;0/12;0/0;0/58
1379.65;0;13;1;1;0/1379.65;0/801.71;0/1379.65;0/1379.65;0/17;0/15;0/17;0/16;0/0;0/1;0/0;0/13;0/0;0/60
1439.76;0;13;1;1;0/1439.76;0/804.71;0/1439.76;0/1439.76;0/17;0/15;0/17;0/17;0/0;0/1;0/0;0/13;0/0;0/65
1499.82;0;13;1;1;0/1499.82;0/824.87;0/1499.82;0/1499.82;0/17;0/18;0/17;0/18;0/0;0/1;0/0;0/13;0/0;0/69
1559.63;0;14;1;1;0/1559.63;0/874.77;0/1559.63;0/1559.63;0/17;0/18;0/17;0/19;0/0;0/1;0/0;0/14;0/0;0/70
1619.79;0;15;1;1;0/1619.79;0/924.97;0/1619.79;0/1619.79;0/17;0/18;0/17;0/19;0/0;0/1;0/0;0/15;0/0;0/71
1679.8;0;16;1;1;0/1679.8;0/975.06;0/1679.8;0/1679.8;0/17;0/21;0/17;0/21;0/0;0/1;0/0;0/16;0/0;0/72
1739.96;0;17;1;1;0/1739.96;0/1034.37;0/1739.96;0/1739.96;0/17;0/19;0/17;0/20;0/0;0/1;0/0;0/17;0/0;0/73
1799.7;0;17;1;1;0/1799.7;0/1075.17;0/1799.7;0/1799.7;0/17;0/19;0/17;0/20;0/0;0/1;0/0;0/17;0/0;0/74
