#TimeStamp;Runtime;Requests
0.88;0.04;1
18.97;0;1
149.49;0;1
169.23;0;1
185.98;0;1
258.45;0;1
280.31;0;1
298.91;0;1
403.38;0;1
425.12;0;1
440;0;1
545.6;0;1
568.01;0;1
583.76;0;1
614.21;0;1
639.53;0;1
654.65;0;1
751.08;0;1
774.4;0;1
781.65;0;1
807.65;0;1
829.69;0;1
844.8;0;1
884.77;0;1
910.08;0;1
914.61;0;1
942.49;0;1
967.82;0;1
982.27;0;1
1008.01;0;1
1032.54;0;1
1039.79;0;1
1079.49;0;1
1104.15;0;1
1124.23;0;1
1151.44;0;1
1176.25;0;1
1178.49;0;1
1213.08;0;1
1237.6;0;1
1249.52;0;1
1332.41;0;1
1358.39;0;1
1375.1;0;1
1440.11;0;1
1466.6;0;1
1478.34;0;1
1582.73;0;1
1608.6;0;1
1618.33;0;1
1645.42;0;1
1669.94;0;1
1676.52;0;1
1701.48;0;1
1726.02;0;1
1737.76;0;1
1780.6;0;1
