#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;125.07;0.08;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.85;131.52;0.22;PP/0.04,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
119.95;132.91;0.23;PP/0.04,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
179.79;144.23;0.32;PP/0.04,TA/0.12,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
239.75;145.14;0.32;PP/0.04,TA/0.12,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
299.96;149.45;0.35;PP/0.04,TA/0.14,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
359.76;149.93;0.35;PP/0.04,TA/0.14,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
419.71;150.83;0.36;PP/0.04,TA/0.14,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
479.98;154.49;0.38;PP/0.05,TA/0.15,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
539.98;155.76;0.39;PP/0.05,TA/0.15,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
599.65;159.91;0.41;PP/0.05,TA/0.17,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
659.89;161.92;0.42;PP/0.05,TA/0.17,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
719.87;162.75;0.42;PP/0.05,TA/0.17,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
779.82;165.78;0.44;PP/0.05,TA/0.18,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
839.62;168.21;0.45;PP/0.05,TA/0.19,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
899.89;169.36;0.46;PP/0.05,TA/0.19,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
959.58;171.19;0.47;PP/0.05,TA/0.2,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1019.85;173.21;0.48;PP/0.05,TA/0.2,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1079.96;176.14;0.5;PP/0.06,TA/0.21,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1139.75;177.96;0.51;PP/0.06,TA/0.21,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1199.87;182.16;0.53;PP/0.06,TA/0.23,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1259.75;183.86;0.54;PP/0.06,TA/0.23,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1319.62;184.5;0.55;PP/0.06,TA/0.23,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1379.82;186.97;0.56;PP/0.06,TA/0.24,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1439.86;187.69;0.56;PP/0.06,TA/0.24,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1499.63;189.62;0.6;PP/0.06,TA/0.27,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1559.95;189.62;0.61;PP/0.06,TA/0.27,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1619.58;189.62;0.63;PP/0.06,TA/0.29,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1679.61;189.62;0.63;PP/0.06,TA/0.29,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1739.85;189.68;0.64;PP/0.07,TA/0.29,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
1799.73;189.7;0.65;PP/0.07,TA/0.29,IS/0,PS/0.05,RB/0.01,OB/0.02,RP/0
