#TimeStamp;Bot;Pod;OutputStation
52.23;0;83;0
62.5;0;83;0
72.92;0;83;0
83.34;0;83;0
93.76;0;83;0
104.18;0;83;0
114.6;0;83;0
125.02;0;83;0
135.44;0;83;0
145.86;0;83;0
156.15;0;83;0
225.05;0;165;0
235.15;0;165;0
245.57;0;165;0
255.68;0;165;0
265.68;0;165;0
348.98;0;179;0
359.25;0;179;0
369.67;0;179;0
380.09;0;179;0
390.51;0;179;0
400.93;0;179;0
411.35;0;179;0
421.73;0;179;0
431.64;0;179;0
502.1;0;157;0
512.38;0;157;0
522.8;0;157;0
533.22;0;157;0
543.33;0;157;0
553.33;0;157;0
563.33;0;157;0
621.68;0;119;0
631.77;0;119;0
696.11;0;49;0
706.38;0;49;0
716.67;0;49;0
726.8;0;49;0
737.22;0;49;0
747.64;0;49;0
758.06;0;49;0
768.48;0;49;0
825.05;0;165;0
882.9;0;175;0
893.04;0;175;0
952.15;0;204;0
1018.68;0;130;0
1088.4;0;93;0
1098.19;0;93;0
1108.5;0;93;0
1118.92;0;93;0
1129.34;0;93;0
1139.76;0;93;0
1195.83;0;67;0
1266.19;0;134;0
1333.12;0;156;0
1343.36;0;156;0
1408.69;0;32;0
1469.2;0;115;0
1479.35;0;115;0
1547.47;0;123;0
1557.62;0;123;0
1632.17;0;172;0
1642.1;0;172;0
1652.24;0;172;0
1710.98;0;11;0
1720.84;0;11;0
1795.95;0;126;0
