#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/1,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
119.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
179.69;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
239.66;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
299.82;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
359.67;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
419.59;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
479.76;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
539.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
599.86;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
659.98;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
719.75;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
779.59;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
839.93;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
899.59;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
959.68;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1019.65;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1079.6;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1139.84;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1199.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1259.62;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1319.74;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1379.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1439.8;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1499.92;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1559.8;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1619.58;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1679.7;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1739.73;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1800;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
