#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;200;200;0;0;0;0;0;0.42
59.85;200;200;59.81;59.85;59.85;59.85;0.27;0.42
119.95;200;200;119.91;93.43;119.95;119.95;0.27;0.34
179.69;200;200;179.65;145.59;179.69;172.11;0.27;0.35
239.66;200;200;239.61;184.22;239.66;219.77;0.27;0.33
299.82;200;200;299.78;230.63;299.82;292.25;0.27;0.33
359.67;200;200;359.63;246.78;359.67;352.73;0.27;0.34
419.59;200;200;419.54;314.93;419.59;412.01;0.27;0.29
479.76;200;200;479.72;375.11;479.76;472.18;0.27;0.29
539.97;200;200;539.92;413.16;539.97;532.39;0.27;0.33
599.86;200;200;599.81;473.04;599.86;592.28;0.27;0.33
659.98;200;200;659.94;522.33;659.98;652.4;0.27;0.32
719.75;200;200;719.7;475.05;719.75;712.8;0.27;0.34
779.59;200;200;779.55;573.98;779.59;772.02;0.27;0.33
839.93;200;200;839.89;630.03;839.93;832.35;0.27;0.29
899.59;200;200;899.54;634.9;899.59;892.01;0.27;0.29
959.68;200;200;959.63;694.99;959.68;952.1;0.27;0.29
1019.65;200;200;1019.6;738.52;1019.65;1012.07;0.27;0.29
1079.6;200;200;1079.55;704.08;1079.6;1072.02;0.27;0.32
1139.84;200;200;1139.8;742.28;1139.84;1064.31;0.27;0.34
1199.94;200;200;1199.9;799.54;1199.94;1124.41;0.27;0.37
1259.62;200;200;1259.58;687.32;1259.62;1259.62;0.27;0.38
1319.74;200;200;1319.69;802.66;1319.74;1319.74;0.27;0.35
1379.94;200;200;1379.89;862.85;1379.94;1379.94;0.27;0.35
1439.8;200;200;1439.75;862.79;1439.8;1439.8;0.27;0.31
1499.92;200;200;1499.88;915.42;1499.92;1373.31;0.27;0.31
1559.8;200;200;1559.76;939.5;1559.8;1433.19;0.27;0.3
1619.58;200;200;1619.54;969.68;1619.58;1492.97;0.27;0.27
1679.7;200;200;1679.66;877.83;1679.7;1553.09;0.27;0.29
1739.73;200;200;1739.69;937.86;1739.73;1613.12;0.27;0.29
1800;200;200;1799.95;983.2;1800;1673.38;0.27;0.29
