#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;124.91;0.08;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.85;131.56;0.22;PP/0.04,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
119.95;132.95;0.23;PP/0.04,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
179.69;144.22;0.31;PP/0.04,TA/0.11,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
239.66;144.96;0.31;PP/0.04,TA/0.11,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
299.82;149.27;0.33;PP/0.04,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
359.67;150.07;0.34;PP/0.04,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
419.59;151.01;0.34;PP/0.05,TA/0.13,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
479.76;154.73;0.37;PP/0.05,TA/0.14,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
539.97;155.5;0.37;PP/0.05,TA/0.14,IS/0,PS/0.03,RB/0.01,OB/0.02,RP/0
599.86;159.71;0.4;PP/0.05,TA/0.16,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
659.98;164.04;0.42;PP/0.05,TA/0.18,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
719.75;164.97;0.43;PP/0.05,TA/0.18,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
779.59;169.9;0.46;PP/0.05,TA/0.21,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
839.93;171.91;0.47;PP/0.05,TA/0.21,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
899.59;173.66;0.48;PP/0.05,TA/0.21,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
959.68;176.16;0.49;PP/0.06,TA/0.22,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1019.65;179.66;0.52;PP/0.06,TA/0.23,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1079.6;181.97;0.53;PP/0.06,TA/0.24,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1139.84;182.7;0.53;PP/0.06,TA/0.24,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1199.94;186.18;0.55;PP/0.06,TA/0.25,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1259.62;186.9;0.56;PP/0.06,TA/0.25,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1319.74;188.09;0.56;PP/0.06,TA/0.25,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1379.94;189.61;0.61;PP/0.06,TA/0.29,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1439.8;189.61;0.61;PP/0.06,TA/0.29,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1499.92;189.61;0.62;PP/0.06,TA/0.29,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1559.8;189.61;0.64;PP/0.06,TA/0.3,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1619.58;189.61;0.65;PP/0.07,TA/0.31,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1679.7;189.61;0.65;PP/0.07,TA/0.31,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1739.73;189.61;0.67;PP/0.07,TA/0.32,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
1800;189.61;0.68;PP/0.07,TA/0.33,IS/0,PS/0.04,RB/0.01,OB/0.02,RP/0
