#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/1,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.85;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
119.95;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
179.64;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
239.75;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
299.93;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
359.77;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
419.77;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
479.82;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
539.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
599.75;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
659.9;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
719.64;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
779.61;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
839.88;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
899.59;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
959.7;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1019.99;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1079.85;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1139.88;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1199.74;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1259.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1319.91;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1379.72;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1439.73;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1499.89;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1559.9;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1619.95;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1679.76;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
1739.62;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/1,Rest/0
1799.92;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/0,Rest/0
